Gold_term,Pre_term,Method,Score
algorithm,algorithm,hard_match,1.0000
cel ascii format,dataformat,top3_avg(jaro_winkler+semantic+sequence_match),0.6729
data,data,hard_match,1.0000
data item,dataexport,top3_avg(jaro_winkler+semantic+sequence_match),0.6783
format,format,hard_match,1.0000
platform,platform,hard_match,1.0000
software,software,hard_match,1.0000
software developer role,softwaretool,top3_avg(jaro_winkler+sequence_match+semantic),0.7331
task,task,hard_match,1.0000
text editing,editing,top3_avg(semantic+jaro_winkler+sequence_match),0.8031
version,version,hard_match,1.0000
web service,webservice,hard_match,1.0000
xml,xml,hard_match,1.0000
