Gold_term,Pre_term,Method,Score
has billing date,hasbillingdate,hard_match,1.0000
has billing period,hasbillingdateperiod,top3_avg(jaro_winkler+sequence_match+semantic),0.9005
has duration,hasduration,hard_match,1.0000
has fabrication number,hasfabricationnumber,hard_match,1.0000
has firmware version,hasfirmwareversion,hard_match,1.0000
has hardware version,hashardwareversion,hard_match,1.0000
has manufacturer,hasmanufacturer,hard_match,1.0000
has measurement,measures,top3_avg(semantic+jaro_winkler+sequence_match),0.7330
has model,hasmodel,hard_match,1.0000
has period,hastariffperiod,top3_avg(jaro_winkler+sequence_match+semantic),0.7722
has property,hasproperty,hard_match,1.0000
has start timestamp,hasstartdatetime,top3_avg(jaro_winkler+semantic+sequence_match),0.8157
has timestamp,hastemporalsetting,top3_avg(jaro_winkler+semantic+sequence_match),0.6000
has version,hasversion,hard_match,1.0000
hasgeometry,hasgeolocation,top3_avg(jaro_winkler+semantic+sequence_match),0.7062
operates at radio frequency,hasradiofrequencylevel,top3_avg(jaro_winkler+sequence_match+semantic),0.6884
requires power,haspower,top3_avg(semantic+sequence_match+jaro_winkler),0.6569
