gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
Achievement,Achievement,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
Game,Game,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
Genre,Genre,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
Item,Item,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
Player,Player,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
playing area,Playing Area,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
in-app purchase event,In App Purchase,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9444; levenshtein=0.7222; semantic=0.8778; sequence_match=0.8387,False,0.887,True,selected
Completion,Location,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8107; levenshtein=0.5000; semantic=0.5398; sequence_match=0.5556,False,0.6354,True,selected
Session,Game Play Session,semantic+sequence_match+jaro_winkler,jaro_winkler=0.4730; levenshtein=0.4667; semantic=0.7749; sequence_match=0.6364,False,0.6281,True,selected
Achievement,Achievement Type,jaro_winkler+sequence_match+semantic,jaro_winkler=0.9467; levenshtein=0.7333; semantic=0.8043; sequence_match=0.8462,False,0.8657,False,gold already mapped to 'Achievement'
Player,Player Game Item,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8857; levenshtein=0.4286; semantic=0.6888; sequence_match=0.6000,False,0.7248,False,gold already mapped to 'Player'
game product,Game,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8727; levenshtein=0.3636; semantic=0.7258; sequence_match=0.5333,False,0.7106,False,pred already taken by 'Game' (higher averaged score)
Player,Player Item Usage,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8800; levenshtein=0.4000; semantic=0.6503; sequence_match=0.5714,False,0.7006,False,gold already mapped to 'Player'
Player,Player IAP Event,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8857; levenshtein=0.4286; semantic=0.5961; sequence_match=0.6000,False,0.6939,False,gold already mapped to 'Player'
Game,Game Play Session,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8533; levenshtein=0.2667; semantic=0.7638; sequence_match=0.4211,False,0.6794,False,gold already mapped to 'Game'
Player,Playing Area,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8576; levenshtein=0.4545; semantic=0.5741; sequence_match=0.5882,False,0.6733,False,gold already mapped to 'Player'
playing area,Player,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8576; levenshtein=0.4545; semantic=0.5741; sequence_match=0.5882,False,0.6733,False,gold already mapped to 'Playing Area'
in-app purchase event,Player IAP Event,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7857; levenshtein=0.4444; semantic=0.7290; sequence_match=0.5000,False,0.6716,False,gold already mapped to 'In App Purchase'
Achievement,Player Game Achievement,semantic+sequence_match+levenshtein,jaro_winkler=0.4975; levenshtein=0.5238; semantic=0.7679; sequence_match=0.6875,False,0.6597,False,gold already mapped to 'Achievement'
Player,Player Game Achievement,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8571; levenshtein=0.2857; semantic=0.6696; sequence_match=0.4444,False,0.6571,False,gold already mapped to 'Player'
playing area,Player Game Item,jaro_winkler+sequence_match+levenshtein,jaro_winkler=0.8478; levenshtein=0.5000; semantic=0.4887; sequence_match=0.5600,False,0.6359,False,gold already mapped to 'Playing Area'
Collection,Location,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8107; levenshtein=0.5000; semantic=0.5273; sequence_match=0.5556,False,0.6312,False,pred already taken by 'Completion' (higher averaged score)
Item,Player Game Item,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5476; levenshtein=0.2857; semantic=0.7906; sequence_match=0.4444,False,0.5942,False,top-3 avg score 0.5942 < final_threshold 0.6
Game,Player Game Item,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5952; levenshtein=0.2857; semantic=0.7352; sequence_match=0.4444,False,0.5916,False,top-3 avg score 0.5916 < final_threshold 0.6
Loyalty,Location,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6905; levenshtein=0.3750; semantic=0.5448; sequence_match=0.5333,False,0.5895,False,top-3 avg score 0.5895 < final_threshold 0.6
Item,Player Item Usage,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6722; levenshtein=0.2667; semantic=0.6651; sequence_match=0.4211,False,0.5861,False,top-3 avg score 0.5861 < final_threshold 0.6
hard mode,Game,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5833; levenshtein=0.3750; semantic=0.6585; sequence_match=0.5000,False,0.5806,False,top-3 avg score 0.5806 < final_threshold 0.6
Achievement,Player IAP Event,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6829; levenshtein=0.4286; semantic=0.4886; sequence_match=0.5600,False,0.5772,False,top-3 avg score 0.5772 < final_threshold 0.6
playing area,Player Game Achievement,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6951; levenshtein=0.3810; semantic=0.5279; sequence_match=0.5000,False,0.5743,False,top-3 avg score 0.5743 < final_threshold 0.6
Feature,Genre,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6762; levenshtein=0.4286; semantic=0.5466; sequence_match=0.5000,False,0.5743,False,top-3 avg score 0.5743 < final_threshold 0.6
game product,Player Game Item,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6169; levenshtein=0.2143; semantic=0.7043; sequence_match=0.4000,False,0.5737,False,top-3 avg score 0.5737 < final_threshold 0.6
Completion,Game Play Session,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6746; levenshtein=0.4667; semantic=0.4836; sequence_match=0.5600,False,0.5727,False,top-3 avg score 0.5727 < final_threshold 0.6
Curiosity,Ability,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6720; levenshtein=0.4444; semantic=0.5456; sequence_match=0.5000,False,0.5725,False,top-3 avg score 0.5725 < final_threshold 0.6
in-app purchase event,Achievement,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6616; levenshtein=0.3889; semantic=0.4966; sequence_match=0.5517,False,0.57,False,top-3 avg score 0.5700 < final_threshold 0.6
Virtuosity,Ability,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5738; levenshtein=0.3000; semantic=0.6588; sequence_match=0.4706,False,0.5677,False,top-3 avg score 0.5677 < final_threshold 0.6
special play style,Player,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6486; levenshtein=0.2500; semantic=0.5981; sequence_match=0.4545,False,0.5671,False,top-3 avg score 0.5671 < final_threshold 0.6
Game,Genre,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6333; levenshtein=0.4000; semantic=0.6180; sequence_match=0.4444,False,0.5653,False,top-3 avg score 0.5653 < final_threshold 0.6
Genre,Game,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6333; levenshtein=0.4000; semantic=0.6180; sequence_match=0.4444,False,0.5653,False,top-3 avg score 0.5653 < final_threshold 0.6
Game,Player,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6111; levenshtein=0.3333; semantic=0.6809; sequence_match=0.4000,False,0.564,False,top-3 avg score 0.5640 < final_threshold 0.6
Player,Game,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6111; levenshtein=0.3333; semantic=0.6809; sequence_match=0.4000,False,0.564,False,top-3 avg score 0.5640 < final_threshold 0.6
special play style,Game Play Session,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6361; levenshtein=0.1875; semantic=0.5845; sequence_match=0.4516,False,0.5574,False,top-3 avg score 0.5574 < final_threshold 0.6
playing area,Game Play Session,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5582; levenshtein=0.2667; semantic=0.6463; sequence_match=0.4615,False,0.5553,False,top-3 avg score 0.5553 < final_threshold 0.6
Player,Game Play Session,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5889; levenshtein=0.3333; semantic=0.5925; sequence_match=0.4762,False,0.5525,False,top-3 avg score 0.5525 < final_threshold 0.6
Achievement,Item,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6742; levenshtein=0.2727; semantic=0.5751; sequence_match=0.4000,False,0.5498,False,top-3 avg score 0.5498 < final_threshold 0.6
Item,Achievement,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6742; levenshtein=0.2727; semantic=0.5751; sequence_match=0.4000,False,0.5498,False,top-3 avg score 0.5498 < final_threshold 0.6
playing area,Player Item Usage,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6702; levenshtein=0.4000; semantic=0.4339; sequence_match=0.5385,False,0.5475,False,top-3 avg score 0.5475 < final_threshold 0.6
game product,Game Play Session,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5960; levenshtein=0.3333; semantic=0.5787; sequence_match=0.4615,False,0.5454,False,top-3 avg score 0.5454 < final_threshold 0.6
Leaderboard,Player,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5934; levenshtein=0.2727; semantic=0.5688; sequence_match=0.4706,False,0.5443,False,top-3 avg score 0.5443 < final_threshold 0.6
Completion,Achievement,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5182; levenshtein=0.1818; semantic=0.7289; sequence_match=0.3810,False,0.5427,False,top-3 avg score 0.5427 < final_threshold 0.6
Achievement,Game,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5606; levenshtein=0.1818; semantic=0.6667; sequence_match=0.4000,False,0.5424,False,top-3 avg score 0.5424 < final_threshold 0.6
Game,Achievement,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5606; levenshtein=0.1818; semantic=0.6667; sequence_match=0.4000,False,0.5424,False,top-3 avg score 0.5424 < final_threshold 0.6
Paragon,Player IAP Event,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6905; levenshtein=0.3571; semantic=0.4579; sequence_match=0.4762,False,0.5415,False,top-3 avg score 0.5415 < final_threshold 0.6
playing area,Player IAP Event,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6829; levenshtein=0.4286; semantic=0.4490; sequence_match=0.4800,False,0.5373,False,top-3 avg score 0.5373 < final_threshold 0.6
Game,Player Game Achievement,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5635; levenshtein=0.1905; semantic=0.7280; sequence_match=0.3200,False,0.5372,False,top-3 avg score 0.5372 < final_threshold 0.6
Paragon,Playing Area,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6563; levenshtein=0.2727; semantic=0.4772; sequence_match=0.4444,False,0.526,False,top-3 avg score 0.5260 < final_threshold 0.6
Paragon,Player,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5397; levenshtein=0.2857; semantic=0.5729; sequence_match=0.4615,False,0.5247,False,top-3 avg score 0.5247 < final_threshold 0.6
Collection,Kill Count Record,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7556; levenshtein=0.2667; semantic=0.4121; sequence_match=0.4000,False,0.5226,False,top-3 avg score 0.5226 < final_threshold 0.6
Paragon,Player Game Item,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6238; levenshtein=0.2857; semantic=0.5569; sequence_match=0.3810,False,0.5206,False,top-3 avg score 0.5206 < final_threshold 0.6
Loyalty,Ability,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6190; levenshtein=0.2857; semantic=0.5130; sequence_match=0.4286,False,0.5202,False,top-3 avg score 0.5202 < final_threshold 0.6
playing area,Location,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6212; levenshtein=0.0909; semantic=0.5140; sequence_match=0.4211,False,0.5187,False,top-3 avg score 0.5187 < final_threshold 0.6
special play style,Player Item Usage,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6306; levenshtein=0.1250; semantic=0.5377; sequence_match=0.3871,False,0.5184,False,top-3 avg score 0.5184 < final_threshold 0.6
Veteran,Achievement,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5671; levenshtein=0.2727; semantic=0.6508; sequence_match=0.3333,False,0.5171,False,top-3 avg score 0.5171 < final_threshold 0.6
special play style,Player Game Item,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6240; levenshtein=0.1250; semantic=0.5189; sequence_match=0.4000,False,0.5143,False,top-3 avg score 0.5143 < final_threshold 0.6
special play style,Playing Area,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5960; levenshtein=0.1875; semantic=0.5625; sequence_match=0.3704,False,0.5096,False,top-3 avg score 0.5096 < final_threshold 0.6
Session,Location,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6012; levenshtein=0.3750; semantic=0.5182; sequence_match=0.4000,False,0.5065,False,top-3 avg score 0.5065 < final_threshold 0.6
in-app purchase event,Achievement Type,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6074; levenshtein=0.1667; semantic=0.4270; sequence_match=0.4848,False,0.5064,False,top-3 avg score 0.5064 < final_threshold 0.6
Veteran,Achievement Type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6159; levenshtein=0.2000; semantic=0.5299; sequence_match=0.3636,False,0.5031,False,top-3 avg score 0.5031 < final_threshold 0.6
Completion,Player,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6000; levenshtein=0.2000; semantic=0.5281; sequence_match=0.3750,False,0.501,False,top-3 avg score 0.5010 < final_threshold 0.6
