Redundancy results:
{'Concept 1': 'API', 'Concept 2': 'Agent', 'IC 1': 1.0, 'IC 2': 0.654313, 'IC AbsDiff': 0.345687, 'Text Similarity': 0.0, 'Hybird Similarity': 0.0}
{'Concept 1': 'API', 'Concept 2': 'Algorithm', 'IC 1': 1.0, 'IC 2': 1.0, 'IC AbsDiff': 0.0, 'Text Similarity': 0.036306, 'Hybird Similarity': 0.036306}
{'Concept 1': 'API', 'Concept 2': 'Community', 'IC 1': 1.0, 'IC 2': 1.0, 'IC AbsDiff': 0.0, 'Text Similarity': 0.038443, 'Hybird Similarity': 0.038443}
{'Concept 1': 'API', 'Concept 2': 'Data', 'IC 1': 1.0, 'IC 2': 1.0, 'IC AbsDiff': 0.0, 'Text Similarity': 0.0, 'Hybird Similarity': 0.0}
{'Concept 1': 'API', 'Concept 2': 'DesktopApplication', 'IC 1': 1.0, 'IC 2': 1.0, 'IC AbsDiff': 0.0, 'Text Similarity': 0.296701, 'Hybird Similarity': 0.296701}
{'Concept 1': 'API', 'Concept 2': 'Example', 'IC 1': 1.0, 'IC 2': 1.0, 'IC AbsDiff': 0.0, 'Text Similarity': 0.0, 'Hybird Similarity': 0.0}
{'Concept 1': 'API', 'Concept 2': 'Hardware', 'IC 1': 1.0, 'IC 2': 1.0, 'IC AbsDiff': 0.0, 'Text Similarity': 0.036306, 'Hybird Similarity': 0.036306}
{'Concept 1': 'API', 'Concept 2': 'Homepage', 'IC 1': 1.0, 'IC 2': 1.0, 'IC AbsDiff': 0.0, 'Text Similarity': 0.0, 'Hybird Similarity': 0.0}
{'Concept 1': 'API', 'Concept 2': 'License', 'IC 1': 1.0, 'IC 2': 0.654313, 'IC AbsDiff': 0.345687, 'Text Similarity': 0.038443, 'Hybird Similarity': 0.025153}
{'Concept 1': 'API', 'Concept 2': 'OpenSourceLicense', 'IC 1': 1.0, 'IC 2': 1.0, 'IC AbsDiff': 0.0, 'Text Similarity': 0.0, 'Hybird Similarity': 0.0}
{'Concept 1': 'API', 'Concept 2': 'OperatingSystem', 'IC 1': 1.0, 'IC 2': 1.0, 'IC AbsDiff': 0.0, 'Text Similarity': 0.048185, 'Hybird Similarity': 0.048185}
{'Concept 1': 'API', 'Concept 2': 'Organization', 'IC 1': 1.0, 'IC 2': 1.0, 'IC AbsDiff': 0.0, 'Text Similarity': 0.0, 'Hybird Similarity': 0.0}
{'Concept 1': 'API', 'Concept 2': 'Person', 'IC 1': 1.0, 'IC 2': 1.0, 'IC AbsDiff': 0.0, 'Text Similarity': 0.0, 'Hybird Similarity': 0.0}
{'Concept 1': 'API', 'Concept 2': 'Platform', 'IC 1': 1.0, 'IC 2': 0.654313, 'IC AbsDiff': 0.345687, 'Text Similarity': 0.048185, 'Hybird Similarity': 0.031528}
{'Concept 1': 'API', 'Concept 2': 'ProprietaryLicense', 'IC 1': 1.0, 'IC 2': 1.0, 'IC AbsDiff': 0.0, 'Text Similarity': 0.0, 'Hybird Similarity': 0.0}
{'Concept 1': 'API', 'Concept 2': 'Publication', 'IC 1': 1.0, 'IC 2': 1.0, 'IC AbsDiff': 0.0, 'Text Similarity': 0.0, 'Hybird Similarity': 0.0}
{'Concept 1': 'API', 'Concept 2': 'Repository', 'IC 1': 1.0, 'IC 2': 1.0, 'IC AbsDiff': 0.0, 'Text Similarity': 0.0, 'Hybird Similarity': 0.0}
{'Concept 1': 'API', 'Concept 2': 'Resource', 'IC 1': 1.0, 'IC 2': 0.493578, 'IC AbsDiff': 0.506422, 'Text Similarity': 0.038443, 'Hybird Similarity': 0.018974}
{'Concept 1': 'API', 'Concept 2': 'Software', 'IC 1': 1.0, 'IC 2': 0.563791, 'IC AbsDiff': 0.436209, 'Text Similarity': 0.108771, 'Hybird Similarity': 0.061324}
{'Concept 1': 'API', 'Concept 2': 'Standard', 'IC 1': 1.0, 'IC 2': 1.0, 'IC AbsDiff': 0.0, 'Text Similarity': 0.038443, 'Hybird Similarity': 0.038443}
