PropertyType,GoldPredicate,PredPredicate,GoldPredicateNorm,PredPredicateNorm,GoldType,PredType,TypeVerdict,GoldDomain,PredDomain,GoldDomainNorm,PredDomainNorm,DomainStatus,GoldRange,PredRange,GoldRangeNorm,PredRangeNorm,RangeStatus,FullMatch,Note
DatatypeProperty,has fabrication number,Fabrication Number,hasfabricationnumber,fabricationnumber,DatatypeProperty,DatatypeProperty,tp,,Water Meter,,watermeter,fp,xsd:http://www.w3.org/2000/01/rdf-schema#literal,xsd:string,literal,xsdstring,mismatch,NO,
DatatypeProperty,has firmware version,Firmware Version,hasfirmwareversion,firmwareversion,DatatypeProperty,DatatypeProperty,tp,,Water Meter,,watermeter,fp,xsd:http://www.w3.org/2000/01/rdf-schema#literal,xsd:string,literal,xsdstring,mismatch,NO,
DatatypeProperty,has manufacturer,Manufacturer,hasmanufacturer,manufacturer,DatatypeProperty,DatatypeProperty,tp,,Water Meter,,watermeter,fp,,xsd:string,,xsdstring,fp,NO,
DatatypeProperty,has model,Model,hasmodel,model,DatatypeProperty,DatatypeProperty,tp,,Water Meter,,watermeter,fp,,xsd:string,,xsdstring,fp,NO,
DatatypeProperty,has version,Version,hasversion,version,DatatypeProperty,DatatypeProperty,tp,,Water Meter,,watermeter,fp,xsd:http://www.w3.org/2000/01/rdf-schema#literal,xsd:string,literal,xsdstring,mismatch,NO,
ObjectProperty,has billing period,Has Billing Date Period,hasbillingperiod,hasbillingdateperiod,ObjectProperty,ObjectProperty,tp,Tariff,Water Meter,tariff,watermeter,mismatch,Temporal duration,Billing Date Period,temporalduration,billingdateperiod,mismatch,NO,
ObjectProperty,has measurement,Has Measurement Setting,hasmeasurement,hasmeasurementsetting,ObjectProperty,ObjectProperty,tp,,Water Meter,,watermeter,fp,,Measurement Setting,,measurementsetting,fp,NO,
ObjectProperty,has period,Has Tariff Period,hasperiod,hastariffperiod,ObjectProperty,ObjectProperty,tp,Tariff,Water Meter,tariff,watermeter,mismatch,Temporal duration,Tariff Period,temporalduration,tariffperiod,mismatch,NO,
ObjectProperty,has property,Has Physical Property,hasproperty,hasphysicalproperty,ObjectProperty,ObjectProperty,tp,,Water,,water,fp,,Physical Property,,physicalproperty,fp,NO,
ObjectProperty,measurement made by,Measures,measurementmadeby,measures,ObjectProperty,ObjectProperty,tp,,Water Meter,,watermeter,fp,,Water Distribution Infrastructure,,waterdistributioninfrastructure,fp,NO,
