side,dimension,sub,sup,status,raw_pred_sub,raw_pred_sup
gold,class,AssetCollection,Asset,FN,,
gold,class,Duty,Rule,FN,,
gold,class,Permission,Rule,FN,,
gold,class,Prohibition,Rule,FN,,
pred,class,Duty,Policy,FP,,
pred,class,LogicalConstraint,Constraint,FP,,
pred,class,Permission,Policy,FP,,
pred,class,Prohibition,Duty,FP,,
pred,class,Prohibition,Policy,FP,,
pred,class,,,untranslated,Aggregation,Permission
pred,class,,,untranslated,Aggregation,Policy
pred,class,,,untranslated,Aggregation,TransferRights
pred,class,,,untranslated,AndConstraint,Constraint
pred,class,,,untranslated,Container,Resource
pred,class,,,untranslated,Disaggregation,Permission
pred,class,,,untranslated,Disaggregation,Policy
pred,class,,,untranslated,Disaggregation,TransferRights
pred,class,,,untranslated,ExclusivePermission,Permission
pred,class,,,untranslated,ExclusivePermission,Policy
pred,class,,,untranslated,Sequencing,Permission
pred,class,,,untranslated,Sequencing,Policy
pred,class,,,untranslated,TransferRights,Permission
pred,class,,,untranslated,TransferRights,Policy
pred,class,,,untranslated,XorConstraint,Constraint
gold,property,and,operand,FN,,
gold,property,andSequence,operand,FN,,
gold,property,assignee,function,FN,,
gold,property,assigner,function,FN,,
gold,property,consequence,failure,FN,,
gold,property,or,operand,FN,,
gold,property,remedy,failure,FN,,
gold,property,target,relation,FN,,
gold,property,xone,operand,FN,,
pred,property,,,untranslated,hasAsset,hasPolicyAsset
pred,property,,,untranslated,hasDutyAsset,hasPolicyAsset
