Gold_term,Pre_term,Method,Score
Development status,Development Model,top3_avg(jaro_winkler+semantic+sequence_match),0.7435048738336252
Maintained,Maintenance Status,top3_avg(jaro_winkler+semantic+sequence_match),0.7277887221186076
algorithm,Algorithm,hard_match,1.0
data format specification,Data Format,top3_avg(jaro_winkler+semantic+sequence_match),0.7778052259444354
licence,License,top3_avg(jaro_winkler+levenshtein+semantic),0.9057853778203327
programming language,Programming Language,hard_match,1.0
software,Software,hard_match,1.0
software developer organization,Software Version,top3_avg(jaro_winkler+semantic+sequence_match),0.6907666595113713
software developer role,Developer,top3_avg(jaro_winkler+semantic+sequence_match),0.6613310362506376
software interface,Software Type,top3_avg(jaro_winkler+semantic+sequence_match),0.7574901218695874
