prop_type,gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
ObjectProperty,has achievement,has achievement,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
ObjectProperty,has item,has item,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
ObjectProperty,plays game,plays game,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
ObjectProperty,has game genre,has genre,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9083; levenshtein=0.6667; semantic=0.8370; sequence_match=0.8000,False,0.8484,True,selected
ObjectProperty,has playing area,game has playing area,semantic+sequence_match+levenshtein,jaro_winkler=0.7593; levenshtein=0.7778; semantic=0.8818; sequence_match=0.8750,False,0.8449,True,selected
ObjectProperty,is achievement in game,game has achievement,semantic+jaro_winkler+sequence_match,jaro_winkler=0.7192; levenshtein=0.3684; semantic=0.8788; sequence_match=0.6486,False,0.7489,True,selected
ObjectProperty,owns achievement,has achievement type,jaro_winkler+sequence_match+semantic,jaro_winkler=0.7944; levenshtein=0.6111; semantic=0.7089; sequence_match=0.7273,False,0.7435,True,selected
ObjectProperty,purchases game offering,purchase of item,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8788; levenshtein=0.4762; semantic=0.6364; sequence_match=0.6286,False,0.7146,True,selected
ObjectProperty,has achievement,has achievement type,jaro_winkler+sequence_match+semantic,jaro_winkler=0.9556; levenshtein=0.7778; semantic=0.7933; sequence_match=0.8750,False,0.8746,False,gold already mapped to 'has achievement'
ObjectProperty,owns achievement,has achievement,semantic+jaro_winkler+sequence_match,jaro_winkler=0.8579; levenshtein=0.8000; semantic=0.8760; sequence_match=0.8276,False,0.8538,False,pred already taken by 'has achievement'
ObjectProperty,has achievement,game has achievement,sequence_match+semantic+jaro_winkler,jaro_winkler=0.8069; levenshtein=0.7778; semantic=0.8383; sequence_match=0.8750,False,0.8401,False,gold already mapped to 'has achievement'
ObjectProperty,is achievement in game,has achievement,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7740; levenshtein=0.5789; semantic=0.7680; sequence_match=0.7273,False,0.7564,False,pred already taken by 'has achievement'
ObjectProperty,owns item,has item,semantic+jaro_winkler+sequence_match,jaro_winkler=0.7798; levenshtein=0.6250; semantic=0.7878; sequence_match=0.6667,False,0.7448,False,pred already taken by 'has item'
ObjectProperty,owns achievement,game has achievement,semantic+sequence_match+jaro_winkler,jaro_winkler=0.6833; levenshtein=0.6667; semantic=0.7882; sequence_match=0.7273,False,0.7329,False,gold already mapped to 'has achievement type'
ObjectProperty,has playing area,has play record,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8670; levenshtein=0.5714; semantic=0.6090; sequence_match=0.6667,False,0.7142,False,gold already mapped to 'game has playing area'
ObjectProperty,has feature,has genre,jaro_winkler+sequence_match+levenshtein,jaro_winkler=0.8483; levenshtein=0.6000; semantic=0.5514; sequence_match=0.6667,False,0.705,False,pred already taken by 'has game genre'
ObjectProperty,is achievement in game,has achievement type,jaro_winkler+sequence_match+semantic,jaro_winkler=0.7509; levenshtein=0.6316; semantic=0.6515; sequence_match=0.7027,False,0.7017,False,gold already mapped to 'game has achievement'
ObjectProperty,purchases game offering,purchase by player,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8423; levenshtein=0.4762; semantic=0.6408; sequence_match=0.5946,False,0.6926,False,top-3 avg score 0.6926 < final_threshold 0.7
ObjectProperty,has achievement,has item,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8333; levenshtein=0.4286; semantic=0.6448; sequence_match=0.5714,False,0.6832,False,top-3 avg score 0.6832 < final_threshold 0.7
ObjectProperty,has item,has achievement,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8333; levenshtein=0.4286; semantic=0.6448; sequence_match=0.5714,False,0.6832,False,top-3 avg score 0.6832 < final_threshold 0.7
ObjectProperty,involves player,inventory of player,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6897; levenshtein=0.5882; semantic=0.7137; sequence_match=0.6452,False,0.6829,False,top-3 avg score 0.6829 < final_threshold 0.7
ObjectProperty,has item,has friend,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8296; levenshtein=0.4444; semantic=0.5748; sequence_match=0.6250,False,0.6765,False,top-3 avg score 0.6765 < final_threshold 0.7
ObjectProperty,has character,has item,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7972; levenshtein=0.4167; semantic=0.6592; sequence_match=0.5263,False,0.6609,False,top-3 avg score 0.6609 < final_threshold 0.7
ObjectProperty,has item,purchase of item,semantic+sequence_match+jaro_winkler,jaro_winkler=0.6190; levenshtein=0.5000; semantic=0.6744; sequence_match=0.6667,False,0.6534,False,top-3 avg score 0.6534 < final_threshold 0.7
ObjectProperty,has game genre,plays game,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7222; levenshtein=0.3333; semantic=0.6653; sequence_match=0.5714,False,0.653,False,top-3 avg score 0.6530 < final_threshold 0.7
ObjectProperty,has leaderboard,has play record,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8095; levenshtein=0.5000; semantic=0.5417; sequence_match=0.5926,False,0.6479,False,top-3 avg score 0.6479 < final_threshold 0.7
ObjectProperty,has playing area,plays game,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6951; levenshtein=0.5000; semantic=0.6305; sequence_match=0.6087,False,0.6448,False,top-3 avg score 0.6448 < final_threshold 0.7
ObjectProperty,has feature,has friend,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8200; levenshtein=0.4000; semantic=0.5878; sequence_match=0.5263,False,0.6447,False,top-3 avg score 0.6447 < final_threshold 0.7
ObjectProperty,plays game,game has playing area,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6852; levenshtein=0.3889; semantic=0.6998; sequence_match=0.5185,False,0.6345,False,top-3 avg score 0.6345 < final_threshold 0.7
ObjectProperty,is friend with player,inventory of player,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6797; levenshtein=0.4444; semantic=0.6407; sequence_match=0.5714,False,0.6306,False,top-3 avg score 0.6306 < final_threshold 0.7
ObjectProperty,has game genre,has achievement,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8065; levenshtein=0.3571; semantic=0.5386; sequence_match=0.5385,False,0.6279,False,top-3 avg score 0.6279 < final_threshold 0.7
ObjectProperty,is friend with player,has friend,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6270; levenshtein=0.3333; semantic=0.7202; sequence_match=0.5185,False,0.6219,False,top-3 avg score 0.6219 < final_threshold 0.7
ObjectProperty,has playing area,has location,jaro_winkler+sequence_match+semantic,jaro_winkler=0.7985; levenshtein=0.2857; semantic=0.5037; sequence_match=0.5600,False,0.6207,False,top-3 avg score 0.6207 < final_threshold 0.7
ObjectProperty,has playing area,has genre,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8208; levenshtein=0.4286; semantic=0.4903; sequence_match=0.5455,False,0.6189,False,top-3 avg score 0.6189 < final_threshold 0.7
ObjectProperty,has achievement,has friend,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6984; levenshtein=0.4286; semantic=0.6360; sequence_match=0.5217,False,0.6187,False,top-3 avg score 0.6187 < final_threshold 0.7
