role,gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
class,wine,wine,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0000,True,selected
class,bordeaux,bordeaux,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0000,True,selected
class,vintage,vintage,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0000,True,selected
class,vintageyear,vintageyear,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0000,True,selected
class,winegrape,grape,semantic+sequence_match+levenshtein,jaro_winkler=0.4370; levenshtein=0.5556; semantic=0.9216; sequence_match=0.7143,False,0.7305,True,selected
class,winedescriptor,winecolor,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8270; levenshtein=0.5000; semantic=0.6726; sequence_match=0.6087,False,0.7028,True,selected
class,vintage,vintageyear,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9273; levenshtein=0.6364; semantic=0.8827; sequence_match=0.7778,False,0.8626,False,gold already mapped to 'vintage'
class,vintageyear,vintage,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9273; levenshtein=0.6364; semantic=0.8827; sequence_match=0.7778,False,0.8626,False,gold already mapped to 'vintageyear'
class,redbordeaux,bordeaux,semantic+sequence_match+jaro_winkler,jaro_winkler=0.8258; levenshtein=0.7273; semantic=0.8628; sequence_match=0.8421,False,0.8436,False,pred already taken by 'bordeaux' (higher averaged score)
class,winegrape,wine,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8889; levenshtein=0.4444; semantic=0.8630; sequence_match=0.6154,False,0.7891,False,pred already taken by 'wine' (higher averaged score)
class,wine,winecolor,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8889; levenshtein=0.4444; semantic=0.7956; sequence_match=0.6154,False,0.7666,False,gold already mapped to 'wine'
class,whitebordeaux,bordeaux,jaro_winkler+sequence_match+semantic,jaro_winkler=0.7885; levenshtein=0.6154; semantic=0.7494; sequence_match=0.7619,False,0.7666,False,pred already taken by 'bordeaux' (higher averaged score)
class,winegrape,winecolor,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8222; levenshtein=0.4444; semantic=0.7754; sequence_match=0.5556,False,0.7177,False,gold already mapped to 'grape'
class,redwine,wine,semantic+sequence_match+levenshtein,jaro_winkler=0.4643; levenshtein=0.5714; semantic=0.8363; sequence_match=0.7273,False,0.7117,False,pred already taken by 'wine' (higher averaged score)
class,whitewine,wine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6944; levenshtein=0.4444; semantic=0.7709; sequence_match=0.6154,False,0.6936,False,pred already taken by 'wine' (higher averaged score)
class,winedescriptor,wine,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8571; levenshtein=0.2857; semantic=0.7451; sequence_match=0.4444,False,0.6822,False,gold already mapped to 'winecolor'
class,bordeaux,body,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7667; levenshtein=0.3750; semantic=0.5258; sequence_match=0.5000,False,0.5975,False,top-3 avg score 0.5975 < final_threshold 0.6
class,redwine,winecolor,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5053; levenshtein=0.1111; semantic=0.7751; sequence_match=0.5000,False,0.5934,False,top-3 avg score 0.5934 < final_threshold 0.6
class,wine,vintageyear,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6742; levenshtein=0.2727; semantic=0.7019; sequence_match=0.4000,False,0.5920,False,top-3 avg score 0.5920 < final_threshold 0.6
class,vintageyear,wine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6742; levenshtein=0.2727; semantic=0.7019; sequence_match=0.4000,False,0.5920,False,top-3 avg score 0.5920 < final_threshold 0.6
class,whitebordeaux,winecolor,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6467; levenshtein=0.3077; semantic=0.6742; sequence_match=0.4545,False,0.5918,False,top-3 avg score 0.5918 < final_threshold 0.6
class,wine,vintage,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5952; levenshtein=0.4286; semantic=0.6225; sequence_match=0.5455,False,0.5877,False,top-3 avg score 0.5877 < final_threshold 0.6
class,vintage,wine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5952; levenshtein=0.4286; semantic=0.6225; sequence_match=0.5455,False,0.5877,False,top-3 avg score 0.5877 < final_threshold 0.6
class,winegrape,vintageyear,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6818; levenshtein=0.2727; semantic=0.6736; sequence_match=0.4000,False,0.5851,False,top-3 avg score 0.5851 < final_threshold 0.6
class,whitewine,winecolor,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5556; levenshtein=0.2222; semantic=0.7482; sequence_match=0.4444,False,0.5827,False,top-3 avg score 0.5827 < final_threshold 0.6
class,zinfandel,wine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5741; levenshtein=0.3333; semantic=0.6978; sequence_match=0.4615,False,0.5778,False,top-3 avg score 0.5778 < final_threshold 0.6
class,winegrape,vintage,jaro_winkler+semantic+levenshtein,jaro_winkler=0.6899; levenshtein=0.4444; semantic=0.5941; sequence_match=0.3750,False,0.5762,False,top-3 avg score 0.5762 < final_threshold 0.6
class,zinfandel,vintage,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6720; levenshtein=0.4444; semantic=0.5410; sequence_match=0.5000,False,0.5710,False,top-3 avg score 0.5710 < final_threshold 0.6
class,whitebordeaux,wine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6603; levenshtein=0.2308; semantic=0.6743; sequence_match=0.3529,False,0.5625,False,top-3 avg score 0.5625 < final_threshold 0.6
class,winedescriptor,vintageyear,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6039; levenshtein=0.2143; semantic=0.6326; sequence_match=0.4000,False,0.5455,False,top-3 avg score 0.5455 < final_threshold 0.6
class,whitebordeaux,vintageyear,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6134; levenshtein=0.2308; semantic=0.6014; sequence_match=0.4167,False,0.5438,False,top-3 avg score 0.5438 < final_threshold 0.6
class,vintageyear,winecolor,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6027; levenshtein=0.2727; semantic=0.6285; sequence_match=0.4000,False,0.5437,False,top-3 avg score 0.5437 < final_threshold 0.6
class,zinfandel,winecolor,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5556; levenshtein=0.2222; semantic=0.6217; sequence_match=0.4444,False,0.5406,False,top-3 avg score 0.5406 < final_threshold 0.6
class,redwine,grape,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5619; levenshtein=0.1429; semantic=0.7256; sequence_match=0.3333,False,0.5403,False,top-3 avg score 0.5403 < final_threshold 0.6
class,zinfandel,vintageyear,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6027; levenshtein=0.3636; semantic=0.5951; sequence_match=0.4000,False,0.5326,False,top-3 avg score 0.5326 < final_threshold 0.6
class,redwine,vintageyear,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5671; levenshtein=0.0909; semantic=0.6683; sequence_match=0.3333,False,0.5229,False,top-3 avg score 0.5229 < final_threshold 0.6
class,bordeaux,bouquet,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6071; levenshtein=0.2500; semantic=0.5535; sequence_match=0.4000,False,0.5202,False,top-3 avg score 0.5202 < final_threshold 0.6
class,whitewine,vintage,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5873; levenshtein=0.2222; semantic=0.5960; sequence_match=0.3750,False,0.5194,False,top-3 avg score 0.5194 < final_threshold 0.6
class,whitewine,vintageyear,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6027; levenshtein=0.1818; semantic=0.6439; sequence_match=0.3000,False,0.5155,False,top-3 avg score 0.5155 < final_threshold 0.6
class,vintage,grape,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5619; levenshtein=0.2857; semantic=0.6333; sequence_match=0.3333,False,0.5095,False,top-3 avg score 0.5095 < final_threshold 0.6
class,bordeaux,grape,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5472; levenshtein=0.2500; semantic=0.6734; sequence_match=0.3077,False,0.5094,False,top-3 avg score 0.5094 < final_threshold 0.6
class,vintage,winecolor,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5873; levenshtein=0.2222; semantic=0.5626; sequence_match=0.3750,False,0.5083,False,top-3 avg score 0.5083 < final_threshold 0.6
class,redbordeaux,body,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5631; levenshtein=0.2727; semantic=0.5388; sequence_match=0.4000,False,0.5006,False,top-3 avg score 0.5006 < final_threshold 0.6
class,zinfandel,grape,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5407; levenshtein=0.2222; semantic=0.6499; sequence_match=0.2857,False,0.4921,False,top-3 avg score 0.4921 < final_threshold 0.6
class,redbordeaux,winecolor,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5354; levenshtein=0.0000; semantic=0.6343; sequence_match=0.3000,False,0.4899,False,top-3 avg score 0.4899 < final_threshold 0.6
class,wine,grape,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4833; levenshtein=0.2000; semantic=0.7611; sequence_match=0.2222,False,0.4889,False,top-3 avg score 0.4889 < final_threshold 0.6
class,redwine,vintage,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4286; levenshtein=0.1429; semantic=0.6081; sequence_match=0.4286,False,0.4884,False,top-3 avg score 0.4884 < final_threshold 0.6
class,redwine,bordeaux,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4901; levenshtein=0.1250; semantic=0.6970; sequence_match=0.2667,False,0.4846,False,top-3 avg score 0.4846 < final_threshold 0.6
class,redbordeaux,grape,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5273; levenshtein=0.1818; semantic=0.6667; sequence_match=0.2500,False,0.4813,False,top-3 avg score 0.4813 < final_threshold 0.6
class,vintageyear,grape,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5273; levenshtein=0.1818; semantic=0.6555; sequence_match=0.2500,False,0.4776,False,top-3 avg score 0.4776 < final_threshold 0.6
class,whitebordeaux,vintage,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5531; levenshtein=0.1538; semantic=0.5791; sequence_match=0.3000,False,0.4774,False,top-3 avg score 0.4774 < final_threshold 0.6
class,whitebordeaux,body,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5513; levenshtein=0.2308; semantic=0.5046; sequence_match=0.3529,False,0.4696,False,top-3 avg score 0.4696 < final_threshold 0.6
class,whitewine,characteristic,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5767; levenshtein=0.2857; semantic=0.4766; sequence_match=0.3478,False,0.4671,False,top-3 avg score 0.4671 < final_threshold 0.6
class,winedescriptor,vintage,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5476; levenshtein=0.1429; semantic=0.5654; sequence_match=0.2857,False,0.4662,False,top-3 avg score 0.4662 < final_threshold 0.6
class,winegrape,bordeaux,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4583; levenshtein=0.1111; semantic=0.6579; sequence_match=0.2353,False,0.4505,False,top-3 avg score 0.4505 < final_threshold 0.6
class,redwine,characteristic,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5476; levenshtein=0.1429; semantic=0.5088; sequence_match=0.2857,False,0.4474,False,top-3 avg score 0.4474 < final_threshold 0.6
class,winedescriptor,characteristic,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5238; levenshtein=0.2143; semantic=0.5187; sequence_match=0.2857,False,0.4427,False,top-3 avg score 0.4427 < final_threshold 0.6
class,redbordeaux,bouquet,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4560; levenshtein=0.1818; semantic=0.5283; sequence_match=0.3333,False,0.4392,False,top-3 avg score 0.4392 < final_threshold 0.6
class,wine,bordeaux,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4583; levenshtein=0.1250; semantic=0.6715; sequence_match=0.1667,False,0.4322,False,top-3 avg score 0.4322 < final_threshold 0.6
class,bordeaux,wine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4583; levenshtein=0.1250; semantic=0.6715; sequence_match=0.1667,False,0.4322,False,top-3 avg score 0.4322 < final_threshold 0.6
