id,source,term_type,axiom_type,term,dl,status,note
AX1-gold,gold,Class,Declaration,Bordeaux,Declaration: Bordeaux (Class),TP,matched pred AX3
AX1-pred,pred,Class,Declaration,Bordeaux,Declaration: Bordeaux (Class),-,-
AX3-gold,gold,Class,Declaration,RedBordeaux,Declaration: RedBordeaux (Class),TP,matched pred AX14
AX3-pred,pred,Class,Declaration,Red,Declaration: Red (Class),-,-
AX4-gold,gold,Class,EquivalentClasses,RedBordeaux,RedBordeaux ≡ (Bordeaux ⊓ RedWine),FN,pred has no EquivalentClasses axiom on 'Red'
AX4-pred,pred,-,-,-,(no pred axiom on aligned subject),-,-
AX6-gold,gold,Class,Declaration,RedWine,Declaration: RedWine (Class),TP,matched pred AX16
AX6-pred,pred,Class,Declaration,Red Wine,Declaration: Red Wine (Class),-,-
AX7-gold,gold,Class,EquivalentClasses,RedWine,RedWine ≡ (wine ⊓ ∃hasColor.{Red}),FN,pred has no EquivalentClasses axiom on 'Red Wine'
AX7-pred,pred,-,-,-,(no pred axiom on aligned subject),-,-
AX8-gold,gold,Class,Declaration,Region,Declaration: Region (Class),Skip,subject 'Region' not in alignment table
AX8-pred,pred,-,-,-,(subject not in alignment table),-,-
AX9-gold,gold,Class,Declaration,Vintage,Declaration: Vintage (Class),Skip,subject 'Vintage' not in alignment table
AX9-pred,pred,-,-,-,(subject not in alignment table),-,-
AX10-gold,gold,Class,SubClassOf,Vintage,Vintage ⊑ =1 hasVintageYear.⊤,Skip,subject 'Vintage' not in alignment table
AX10-pred,pred,-,-,-,(subject not in alignment table),-,-
AX11-gold,gold,Class,Declaration,VintageYear,Declaration: VintageYear (Class),TP,matched pred AX19
AX11-pred,pred,Class,Declaration,Vintage Year,Declaration: Vintage Year (Class),-,-
AX12-gold,gold,Class,Declaration,WhiteBordeaux,Declaration: WhiteBordeaux (Class),TP,matched pred AX20
AX12-pred,pred,Class,Declaration,White,Declaration: White (Class),-,-
AX13-gold,gold,Class,EquivalentClasses,WhiteBordeaux,WhiteBordeaux ≡ (Bordeaux ⊓ WhiteWine),FN,pred has no EquivalentClasses axiom on 'White'
AX13-pred,pred,-,-,-,(no pred axiom on aligned subject),-,-
AX15-gold,gold,Class,Declaration,WhiteWine,Declaration: WhiteWine (Class),TP,matched pred AX22
AX15-pred,pred,Class,Declaration,White Wine,Declaration: White Wine (Class),-,-
AX16-gold,gold,Class,EquivalentClasses,WhiteWine,WhiteWine ≡ (wine ⊓ ∃hasColor.{White}),FN,pred has no EquivalentClasses axiom on 'White Wine'
AX16-pred,pred,-,-,-,(no pred axiom on aligned subject),-,-
AX17-gold,gold,Class,Declaration,WineBody,Declaration: WineBody (Class),TP,matched pred AX1
AX17-pred,pred,Class,Declaration,Body,Declaration: Body (Class),-,-
AX19-gold,gold,Class,SubClassOf,WineBody,WineBody ⊑ WineTaste,Mismatch,pred AX2 differs: class 'WineTaste' not aligned to 'Characteristic'
