Gold_term,Pre_term,Method,Score
release date,release date,hard_match,1.0
username,has username,top3_avg(jaro_winkler+semantic+sequence_match),0.8593
has achievement,has achievement,hard_match,1.0
has game genre,has genre,top3_avg(jaro_winkler+semantic+sequence_match),0.8484
has item,has item,hard_match,1.0
has playing area,has playing area,hard_match,1.0
is achievement in game,has achievement type,top3_avg(jaro_winkler+semantic+sequence_match),0.7017
lives in,resides in,top3_avg(jaro_winkler+semantic+sequence_match),0.7251
owns achievement,has game achievement,top3_avg(jaro_winkler+semantic+sequence_match),0.7546
owns item,owns item,hard_match,1.0
plays game,played game,top3_avg(jaro_winkler+semantic+sequence_match),0.877
purchases game offering,purchased in game,top3_avg(jaro_winkler+semantic+sequence_match),0.7387
