prop_type,gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
ObjectProperty,has achievement,has Achievement,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
ObjectProperty,has playing area,has Playing Area,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
ObjectProperty,owns item,owns Item,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
ObjectProperty,has game genre,has Genre,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9083; levenshtein=0.6667; semantic=0.8370; sequence_match=0.8000,False,0.8484,True,selected
ObjectProperty,is achievement in game,is Achievement Of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9102; levenshtein=0.6842; semantic=0.7756; sequence_match=0.7647,False,0.8168,True,selected
ObjectProperty,owns achievement,has Obtained Achievement,semantic+jaro_winkler+sequence_match,jaro_winkler=0.7375; levenshtein=0.5909; semantic=0.8419; sequence_match=0.7027,False,0.7607,True,selected
ObjectProperty,plays game,has Played Game,semantic+jaro_winkler+sequence_match,jaro_winkler=0.7493; levenshtein=0.6154; semantic=0.7927; sequence_match=0.7273,False,0.7564,True,selected
ObjectProperty,has item,has Type,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8667; levenshtein=0.4286; semantic=0.6372; sequence_match=0.7143,False,0.7394,True,selected
ObjectProperty,is friend with player,is Friend Of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8489; levenshtein=0.4444; semantic=0.7463; sequence_match=0.5714,False,0.7222,True,selected
ObjectProperty,has achievement,has Achievement Type,jaro_winkler+sequence_match+semantic,jaro_winkler=0.9556; levenshtein=0.7778; semantic=0.7933; sequence_match=0.8750,False,0.8746,False,gold already mapped to 'has Achievement'
ObjectProperty,owns achievement,has Achievement,semantic+jaro_winkler+sequence_match,jaro_winkler=0.8579; levenshtein=0.8000; semantic=0.8760; sequence_match=0.8276,False,0.8538,False,pred already taken by 'has achievement'
ObjectProperty,has achievement,has Obtained Achievement,semantic+jaro_winkler+sequence_match,jaro_winkler=0.8318; levenshtein=0.6364; semantic=0.9087; sequence_match=0.7778,False,0.8394,False,gold already mapped to 'has Achievement'
ObjectProperty,has achievement,is Achievement Of,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8302; levenshtein=0.7333; semantic=0.7937; sequence_match=0.8276,False,0.8172,False,gold already mapped to 'has Achievement'
ObjectProperty,owns achievement,is Achievement Of,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8667; levenshtein=0.6667; semantic=0.7370; sequence_match=0.8000,False,0.8012,False,pred already taken by 'is achievement in game'
ObjectProperty,has playing area,has Played Game,jaro_winkler+sequence_match+levenshtein,jaro_winkler=0.8767; levenshtein=0.7143; semantic=0.5777; sequence_match=0.7407,False,0.7772,False,gold already mapped to 'has Playing Area'
ObjectProperty,is achievement in game,is Achievement Type Of,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8947; levenshtein=0.6842; semantic=0.6932; sequence_match=0.7368,False,0.7749,False,gold already mapped to 'is Achievement Of'
ObjectProperty,has playing area,is Playing Area Of,sequence_match+semantic+levenshtein,jaro_winkler=0.7190; levenshtein=0.7333; semantic=0.7507; sequence_match=0.8276,False,0.7705,False,gold already mapped to 'has Playing Area'
ObjectProperty,is achievement in game,has Achievement,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7740; levenshtein=0.5789; semantic=0.7680; sequence_match=0.7273,False,0.7564,False,gold already mapped to 'is Achievement Of'
ObjectProperty,has achievement,is Achievement Type Of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7740; levenshtein=0.5789; semantic=0.7614; sequence_match=0.7273,False,0.7542,False,gold already mapped to 'has Achievement'
ObjectProperty,has item,owns Item,semantic+jaro_winkler+sequence_match,jaro_winkler=0.7798; levenshtein=0.6250; semantic=0.7878; sequence_match=0.6667,False,0.7448,False,pred already taken by 'owns item'
ObjectProperty,owns achievement,has Achievement Type,jaro_winkler+sequence_match+semantic,jaro_winkler=0.7944; levenshtein=0.6111; semantic=0.7089; sequence_match=0.7273,False,0.7435,False,gold already mapped to 'has Obtained Achievement'
ObjectProperty,has item,contains Item,semantic+jaro_winkler+sequence_match,jaro_winkler=0.7302; levenshtein=0.5000; semantic=0.8543; sequence_match=0.6316,False,0.7387,False,gold already mapped to 'has Type'
ObjectProperty,owns item,contains Item,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7718; levenshtein=0.5833; semantic=0.7220; sequence_match=0.7000,False,0.7313,False,gold already mapped to 'owns Item'
