Gold_term,Pre_term,Method,Score
release date,release date,hard_match,1.0
start time,start time,hard_match,1.0
username,username,hard_match,1.0
has achievement,has achievement,hard_match,1.0
has game genre,has genre,top3_avg(jaro_winkler+semantic+sequence_match),0.8484
has item,has item,hard_match,1.0
has playing area,has playing area,hard_match,1.0
is achievement in game,has achievement type,top3_avg(jaro_winkler+semantic+sequence_match),0.7017
is friend with player,is friend of,top3_avg(jaro_winkler+semantic+sequence_match),0.7222
owns achievement,obtains achievement,top3_avg(jaro_winkler+semantic+sequence_match),0.8506
plays game,plays game,hard_match,1.0
