PropertyType,GoldPredicate,PredPredicate,GoldPredicateNorm,PredPredicateNorm,GoldType,PredType,TypeVerdict,GoldDomain,PredDomain,GoldDomainNorm,PredDomainNorm,DomainStatus,GoldRange,PredRange,GoldRangeNorm,PredRangeNorm,RangeStatus,FullMatch,Note
DatatypeProperty,has documentation,has documentation URL,hasdocumentation,hasdocumentationurl,DatatypeProperty,DatatypeProperty,tp,,Documentation,,documentation,fp,xsd:string,xsd:anyuri,xsdstring,xsdanyuri,mismatch,NO,
DatatypeProperty,has release date,has release date,hasreleasedate,hasreleasedate,DatatypeProperty,DatatypeProperty,tp,,Tool,,tool,fp,xsd:string,xsd:date,xsdstring,xsddate,mismatch,NO,
DatatypeProperty,has support URL,has URL,hassupporturl,hasurl,DatatypeProperty,DatatypeProperty,tp,,Download Source,,downloadsource,fp,xsd:http://www.w3.org/2000/01/rdf-schema#literal,xsd:anyuri,literal,xsdanyuri,mismatch,NO,
DatatypeProperty,has website homepage,has homepage,haswebsitehomepage,hashomepage,DatatypeProperty,DatatypeProperty,tp,,Tool,,tool,fp,xsd:http://www.w3.org/2000/01/rdf-schema#literal,xsd:anyuri,literal,xsdanyuri,mismatch,NO,
ObjectProperty,has format specification,has modification,hasformatspecification,hasmodification,ObjectProperty,ObjectProperty,tp,data item,Algorithm,dataitem,algorithm,mismatch,data format specification,Algorithm Modification,dataformatspecification,algorithmmodification,mismatch,NO,
ObjectProperty,has function,has documentation,hasfunction,hasdocumentation,ObjectProperty,ObjectProperty,tp,,Tool,,tool,fp,function,Documentation,function,documentation,tp,NO,
ObjectProperty,has input,has input,hasinput,hasinput,ObjectProperty,ObjectProperty,tp,,Data Export,,dataexport,fp,,Data,,data,fp,NO,
ObjectProperty,has license,has license,haslicense,haslicense,ObjectProperty,ObjectProperty,tp,,Tool,,tool,fp,,License,,license,fp,NO,
ObjectProperty,has output,has output format,hasoutput,hasoutputformat,ObjectProperty,ObjectProperty,tp,,Tool,,tool,fp,,Format,,format,fp,NO,
ObjectProperty,has version,has software version,hasversion,hassoftwareversion,ObjectProperty,ObjectProperty,tp,,Tool,,tool,fp,version number,Version,versionnumber,version,tp,NO,
ObjectProperty,implements,is implemented in,implements,isimplementedin,ObjectProperty,ObjectProperty,tp,,Tool,,tool,fp,algorithm,Programming Language,algorithm,programminglanguage,mismatch,NO,
ObjectProperty,is developed by,has developer,isdevelopedby,hasdeveloper,ObjectProperty,ObjectProperty,tp,,Tool,,tool,fp,,Developer,,developer,fp,NO,
ObjectProperty,uses platform,uses algorithm,usesplatform,usesalgorithm,ObjectProperty,ObjectProperty,tp,,Tool,,tool,fp,,Algorithm,,algorithm,fp,NO,
ObjectProperty,uses software,has software type,usessoftware,hassoftwaretype,ObjectProperty,ObjectProperty,tp,SWO_0000001,Tool,swo0000001,tool,mismatch,SWO_0000001,Software Type,swo0000001,softwaretype,mismatch,NO,
