gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
Bordeaux,Bordeaux,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
RedWine,Red Wine,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
WhiteWine,White Wine,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
wine,Wine,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
Zinfandel,Napa Zinfandel,semantic+sequence_match+jaro_winkler,jaro_winkler=0.7863; levenshtein=0.6923; semantic=0.8325; sequence_match=0.8182,False,0.8123,True,selected
Vintage,Vintage Assessment,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8824; levenshtein=0.4118; semantic=0.8122; sequence_match=0.5833,False,0.7593,True,selected
VintageYear,Vintage Characteristic,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8571; levenshtein=0.4286; semantic=0.8323; sequence_match=0.5625,False,0.7506,True,selected
WineTaste,Wine Characteristic,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8556; levenshtein=0.3889; semantic=0.7669; sequence_match=0.5185,False,0.7137,True,selected
WineBody,Body,semantic+sequence_match+levenshtein,jaro_winkler=0.0000; levenshtein=0.5000; semantic=0.8012; sequence_match=0.6667,False,0.656,True,selected
WineGrape,Grape Variety,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6111; levenshtein=0.1667; semantic=0.7998; sequence_match=0.4762,False,0.629,True,selected
RedBordeaux,Bordeaux,sequence_match+jaro_winkler+semantic,jaro_winkler=0.8258; levenshtein=0.7273; semantic=0.7771; sequence_match=0.8421,False,0.815,False,pred already taken by 'Bordeaux' (higher averaged score)
WineBody,Wine,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9000; levenshtein=0.5000; semantic=0.8164; sequence_match=0.6667,False,0.7943,False,pred already taken by 'wine' (higher averaged score)
WineGrape,Wine,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8889; levenshtein=0.4444; semantic=0.8744; sequence_match=0.6154,False,0.7929,False,pred already taken by 'wine' (higher averaged score)
WineTaste,Wine,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8889; levenshtein=0.4444; semantic=0.8459; sequence_match=0.6154,False,0.7834,False,pred already taken by 'wine' (higher averaged score)
WineSugar,Wine,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8889; levenshtein=0.4444; semantic=0.7925; sequence_match=0.6154,False,0.7656,False,pred already taken by 'wine' (higher averaged score)
WineColor,Wine,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8889; levenshtein=0.4444; semantic=0.7918; sequence_match=0.6154,False,0.7654,False,pred already taken by 'wine' (higher averaged score)
WhiteBordeaux,Bordeaux,jaro_winkler+sequence_match+semantic,jaro_winkler=0.7885; levenshtein=0.6154; semantic=0.7218; sequence_match=0.7619,False,0.7574,False,pred already taken by 'Bordeaux' (higher averaged score)
WineFlavor,Wine,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8800; levenshtein=0.4000; semantic=0.7979; sequence_match=0.5714,False,0.7498,False,pred already taken by 'wine' (higher averaged score)
VintageYear,Vintage Assessment,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8473; levenshtein=0.4706; semantic=0.8085; sequence_match=0.5714,False,0.7424,False,gold already mapped to 'Vintage Characteristic'
Vintage,Vintage Characteristic,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8667; levenshtein=0.3333; semantic=0.8490; sequence_match=0.5000,False,0.7386,False,gold already mapped to 'Vintage Assessment'
WhiteBordeaux,White Wine,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8256; levenshtein=0.4615; semantic=0.8189; sequence_match=0.5455,False,0.73,False,pred already taken by 'WhiteWine' (higher averaged score)
RedWine,Wine,semantic+sequence_match+levenshtein,jaro_winkler=0.4643; levenshtein=0.5714; semantic=0.8511; sequence_match=0.7273,False,0.7166,False,gold already mapped to 'Red Wine'
wine,Red Wine,semantic+sequence_match+levenshtein,jaro_winkler=0.4643; levenshtein=0.5714; semantic=0.8511; sequence_match=0.7273,False,0.7166,False,gold already mapped to 'Wine'
WhiteWine,Wine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6944; levenshtein=0.4444; semantic=0.7946; sequence_match=0.6154,False,0.7015,False,gold already mapped to 'White Wine'
wine,White Wine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6944; levenshtein=0.4444; semantic=0.7946; sequence_match=0.6154,False,0.7015,False,gold already mapped to 'Wine'
RedWine,White Wine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6899; levenshtein=0.4444; semantic=0.7269; sequence_match=0.6250,False,0.6806,False,gold already mapped to 'Red Wine'
WhiteWine,Red Wine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6899; levenshtein=0.4444; semantic=0.7269; sequence_match=0.6250,False,0.6806,False,gold already mapped to 'White Wine'
