gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
Actuator,Actuator,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
ChemicalProperty,Chemical Property,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
Sensor,Sensor,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
Tariff,Tariff,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
Water,Water,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
Water meter,Water Meter,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
Water infrastructure,Water Distribution Infrastructure,semantic+jaro_winkler+sequence_match,jaro_winkler=0.8699; levenshtein=0.6129; semantic=0.9136; sequence_match=0.7600,False,0.8479,True,selected
Measurement,Measurement Setting,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9222; levenshtein=0.6111; semantic=0.8493; sequence_match=0.7586,False,0.8434,True,selected
Water asset,Asset,semantic+sequence_match+jaro_winkler,jaro_winkler=0.6500; levenshtein=0.5000; semantic=0.7889; sequence_match=0.6667,False,0.7019,True,selected
Water property,Physical Property,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6775; levenshtein=0.5000; semantic=0.6818; sequence_match=0.6207,False,0.66,True,selected
Temporal duration,Temperature,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8539; levenshtein=0.5000; semantic=0.5454; sequence_match=0.5185,False,0.6393,True,selected
Key Performance Indicator,Water Indicator,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6263; levenshtein=0.4783; semantic=0.5980; sequence_match=0.5946,False,0.6063,True,selected
ChemicalProperty,Physical Property,jaro_winkler+sequence_match+levenshtein,jaro_winkler=0.8494; levenshtein=0.8125; semantic=0.7273; sequence_match=0.8125,False,0.8248,False,gold already mapped to 'Chemical Property'
Water asset,Water,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9000; levenshtein=0.5000; semantic=0.7825; sequence_match=0.6667,False,0.783,False,pred already taken by 'Water' (higher averaged score)
Tariff,Tariff Period,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9000; levenshtein=0.5000; semantic=0.7550; sequence_match=0.6667,False,0.7739,False,gold already mapped to 'Tariff'
Water,Water Meter,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9000; levenshtein=0.5000; semantic=0.7251; sequence_match=0.6667,False,0.7639,False,gold already mapped to 'Water'
Water meter,Water,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9000; levenshtein=0.5000; semantic=0.7251; sequence_match=0.6667,False,0.7639,False,gold already mapped to 'Water Meter'
Water asset,Water Meter,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8800; levenshtein=0.6000; semantic=0.6763; sequence_match=0.7000,False,0.7521,False,pred already taken by 'Water meter' (higher averaged score)
Water property,Water,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8769; levenshtein=0.3846; semantic=0.7434; sequence_match=0.5556,False,0.7253,False,pred already taken by 'Water' (higher averaged score)
Water meter,Water Indicator,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8400; levenshtein=0.5000; semantic=0.7187; sequence_match=0.5833,False,0.714,False,gold already mapped to 'Water Meter'
Water,Water Indicator,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8714; levenshtein=0.3571; semantic=0.7301; sequence_match=0.5263,False,0.7093,False,gold already mapped to 'Water'
Water property,Water Meter,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8581; levenshtein=0.5385; semantic=0.6433; sequence_match=0.6087,False,0.7033,False,pred already taken by 'Water meter' (higher averaged score)
Water asset,Water Indicator,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8400; levenshtein=0.4286; semantic=0.6505; sequence_match=0.5833,False,0.6913,False,gold already mapped to 'Asset'
Meter,Water Meter,semantic+sequence_match+jaro_winkler,jaro_winkler=0.5667; levenshtein=0.5000; semantic=0.8181; sequence_match=0.6667,False,0.6838,False,pred already taken by 'Water meter' (higher averaged score)
Water infrastructure,Water,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8526; levenshtein=0.2632; semantic=0.7618; sequence_match=0.4167,False,0.677,False,gold already mapped to 'Water Distribution Infrastructure'
Water infrastructure,Water Indicator,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8548; levenshtein=0.4737; semantic=0.6409; sequence_match=0.4848,False,0.6602,False,gold already mapped to 'Water Distribution Infrastructure'
Meter,Water,jaro_winkler+sequence_match+levenshtein,jaro_winkler=0.7333; levenshtein=0.6000; semantic=0.5987; sequence_match=0.6000,False,0.6444,False,pred already taken by 'Water' (higher averaged score)
Temporal entity,Temperature,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8347; levenshtein=0.5000; semantic=0.5150; sequence_match=0.5600,False,0.6366,False,pred already taken by 'Temporal duration' (higher averaged score)
Water property,Chemical Property,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6647; levenshtein=0.5000; semantic=0.6233; sequence_match=0.6207,False,0.6362,False,gold already mapped to 'Physical Property'
Acceptability property,Physical Property,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6567; levenshtein=0.4762; semantic=0.6930; sequence_match=0.5405,False,0.6301,False,pred already taken by 'Water property' (higher averaged score)
Acceptability property,Chemical Property,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7044; levenshtein=0.5238; semantic=0.6355; sequence_match=0.5405,False,0.6268,False,pred already taken by 'ChemicalProperty' (higher averaged score)
Time-based tariff,Tariff,semantic+sequence_match+jaro_winkler,jaro_winkler=0.4556; levenshtein=0.4000; semantic=0.7982; sequence_match=0.5714,False,0.6084,False,pred already taken by 'Tariff' (higher averaged score)
