Gold_term,Pre_term,Method,Score
Development status,ActivityStatus,top3_avg(jaro_winkler+semantic+sequence_match),0.6209362931795276
algorithm,Algorithm,hard_match,1.0
data format specification,DataFormat,top3_avg(jaro_winkler+semantic+sequence_match),0.7778052259444354
data item,Data,top3_avg(jaro_winkler+semantic+sequence_match),0.7815332425965202
function,Documentation,top3_avg(jaro_winkler+semantic+sequence_match),0.6354804159811855
licence,License,top3_avg(jaro_winkler+levenshtein+semantic),0.9057853778203327
plain text file format,FileFormat,top3_avg(levenshtein+semantic+sequence_match),0.6808199579976794
programming language,ProgrammingLanguage,hard_match,1.0
software,Software,hard_match,1.0
software developer organization,Organization,top3_avg(jaro_winkler+semantic+sequence_match),0.6320452576310703
software interface,SoftwareType,top3_avg(jaro_winkler+semantic+sequence_match),0.7574901218695874
version number,Version,top3_avg(jaro_winkler+semantic+sequence_match),0.8497086188732048
