prop_type,gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
ObjectProperty,has property,has property type,jaro_winkler+sequence_match+semantic,jaro_winkler=0.9467; levenshtein=0.7333; semantic=0.7883; sequence_match=0.8462,False,0.8604,True,selected
ObjectProperty,applies to,applies to meter,jaro_winkler+sequence_match+semantic,jaro_winkler=0.9286; levenshtein=0.6429; semantic=0.7525; sequence_match=0.7826,False,0.8212,True,selected
ObjectProperty,has duration,has indicator,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8003; levenshtein=0.5000; semantic=0.5626; sequence_match=0.6087,False,0.6572,False,top-3 avg score 0.6572 < final_threshold 0.7
ObjectProperty,has key performance indicator,has indicator,semantic+sequence_match+jaro_winkler,jaro_winkler=0.5876; levenshtein=0.4615; semantic=0.7141; sequence_match=0.6316,False,0.6444,False,top-3 avg score 0.6444 < final_threshold 0.7
ObjectProperty,hasGeometry,has property type,jaro_winkler+semantic+levenshtein,jaro_winkler=0.7983; levenshtein=0.4667; semantic=0.5899; sequence_match=0.3846,False,0.6183,False,top-3 avg score 0.6183 < final_threshold 0.7
ObjectProperty,has period,has property type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8203; levenshtein=0.4000; semantic=0.5330; sequence_match=0.5000,False,0.6178,False,top-3 avg score 0.6178 < final_threshold 0.7
ObjectProperty,has billing period,is billed by,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6173; levenshtein=0.3750; semantic=0.6602; sequence_match=0.5385,False,0.6053,False,top-3 avg score 0.6053 < final_threshold 0.7
ObjectProperty,makes measurement,applies to meter,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6488; levenshtein=0.2500; semantic=0.6518; sequence_match=0.4000,False,0.5669,False,top-3 avg score 0.5669 < final_threshold 0.7
ObjectProperty,hasGeometry,applies to meter,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6412; levenshtein=0.3571; semantic=0.4690; sequence_match=0.5600,False,0.5568,False,top-3 avg score 0.5568 < final_threshold 0.7
ObjectProperty,has measurement,applies to meter,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6310; levenshtein=0.1429; semantic=0.6469; sequence_match=0.3571,False,0.545,False,top-3 avg score 0.5450 < final_threshold 0.7
