gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
algorithm,Algorithm,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
software,Software,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
licence,License,jaro_winkler+semantic+levenshtein,jaro_winkler=0.9429; levenshtein=0.8571; semantic=0.9174; sequence_match=0.8571,False,0.9058,True,selected
Development status,Developer,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8719; levenshtein=0.4706; semantic=0.7202; sequence_match=0.6154,False,0.7358,True,selected
software interface,Software,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8941; levenshtein=0.4706; semantic=0.8315; sequence_match=0.6400,False,0.7885,False,pred already taken by 'software' (higher averaged score)
software developer role,Software,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8762; levenshtein=0.3810; semantic=0.6834; sequence_match=0.5517,False,0.7038,False,pred already taken by 'software' (higher averaged score)
software developer organization,Software,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8552; levenshtein=0.2759; semantic=0.7280; sequence_match=0.4324,False,0.6719,False,pred already taken by 'software' (higher averaged score)
software developer role,Developer,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6614; levenshtein=0.4286; semantic=0.7226; sequence_match=0.6000,False,0.6613,False,pred already taken by 'Development status' (higher averaged score)
software developer organization,Developer,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6220; levenshtein=0.3103; semantic=0.7488; sequence_match=0.4737,False,0.6148,False,pred already taken by 'Development status' (higher averaged score)
Not Free,Software,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7131; levenshtein=0.3750; semantic=0.5945; sequence_match=0.5333,False,0.6137,False,pred already taken by 'software' (higher averaged score)
Open source software license,Software,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6067; levenshtein=0.3200; semantic=0.6894; sequence_match=0.4848,False,0.5936,False,top-3 avg score 0.5936 < final_threshold 0.6
data format specification,Format,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5870; levenshtein=0.2609; semantic=0.7777; sequence_match=0.4138,False,0.5928,False,top-3 avg score 0.5928 < final_threshold 0.6
CEL ASCII format,Format,semantic+sequence_match+levenshtein,jaro_winkler=0.4127; levenshtein=0.4286; semantic=0.7473; sequence_match=0.6000,False,0.592,False,top-3 avg score 0.5920 < final_threshold 0.6
Open source software license,License,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5048; levenshtein=0.2800; semantic=0.8238; sequence_match=0.4375,False,0.5887,False,top-3 avg score 0.5887 < final_threshold 0.6
CEL binary format,Format,semantic+sequence_match+levenshtein,jaro_winkler=0.3222; levenshtein=0.4000; semantic=0.7461; sequence_match=0.5714,False,0.5725,False,top-3 avg score 0.5725 < final_threshold 0.6
version number,Developer,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5801; levenshtein=0.3077; semantic=0.6230; sequence_match=0.4545,False,0.5525,False,top-3 avg score 0.5525 < final_threshold 0.6
plain text file format,Format,semantic+sequence_match+jaro_winkler,jaro_winkler=0.4795; levenshtein=0.3158; semantic=0.6921; sequence_match=0.4800,False,0.5506,False,top-3 avg score 0.5506 < final_threshold 0.6
data item,Algorithm,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6481; levenshtein=0.3333; semantic=0.5297; sequence_match=0.4706,False,0.5495,False,top-3 avg score 0.5495 < final_threshold 0.6
algorithm,Format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6111; levenshtein=0.2222; semantic=0.5525; sequence_match=0.4000,False,0.5212,False,top-3 avg score 0.5212 < final_threshold 0.6
PROcess,License,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6190; levenshtein=0.2857; semantic=0.4911; sequence_match=0.4286,False,0.5129,False,top-3 avg score 0.5129 < final_threshold 0.6
desktop graphical user interface,Developer,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5778; levenshtein=0.2069; semantic=0.6407; sequence_match=0.3158,False,0.5114,False,top-3 avg score 0.5114 < final_threshold 0.6
Source code available,Developer,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4729; levenshtein=0.2105; semantic=0.6775; sequence_match=0.3571,False,0.5025,False,top-3 avg score 0.5025 < final_threshold 0.6
file rendering,License,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5663; levenshtein=0.3077; semantic=0.5395; sequence_match=0.4000,False,0.5019,False,top-3 avg score 0.5019 < final_threshold 0.6
Source code available,Software,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5627; levenshtein=0.2105; semantic=0.6414; sequence_match=0.2963,False,0.5001,False,top-3 avg score 0.5001 < final_threshold 0.6
Free,Format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6111; levenshtein=0.3333; semantic=0.4886; sequence_match=0.4000,False,0.4999,False,top-3 avg score 0.4999 < final_threshold 0.6
Free,Software,semantic+sequence_match+jaro_winkler,jaro_winkler=0.4583; levenshtein=0.2500; semantic=0.5410; sequence_match=0.5000,False,0.4998,False,top-3 avg score 0.4998 < final_threshold 0.6
application programming interface,Algorithm,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6323; levenshtein=0.1935; semantic=0.6159; sequence_match=0.2500,False,0.4994,False,top-3 avg score 0.4994 < final_threshold 0.6
web service,Developer,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5519; levenshtein=0.2000; semantic=0.6284; sequence_match=0.3158,False,0.4987,False,top-3 avg score 0.4987 < final_threshold 0.6
Maintained,Format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6000; levenshtein=0.1000; semantic=0.5072; sequence_match=0.3750,False,0.4941,False,top-3 avg score 0.4941 < final_threshold 0.6
Maintained,License,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5762; levenshtein=0.2000; semantic=0.5494; sequence_match=0.3529,False,0.4929,False,top-3 avg score 0.4929 < final_threshold 0.6
.csv,License,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4921; levenshtein=0.2857; semantic=0.5733; sequence_match=0.4000,False,0.4884,False,top-3 avg score 0.4884 < final_threshold 0.6
web service,License,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5762; levenshtein=0.2000; semantic=0.5347; sequence_match=0.3529,False,0.488,False,top-3 avg score 0.4880 < final_threshold 0.6
algorithm,Developer,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4815; levenshtein=0.0000; semantic=0.6418; sequence_match=0.3333,False,0.4855,False,top-3 avg score 0.4855 < final_threshold 0.6
Not Free,License,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5238; levenshtein=0.1429; semantic=0.6422; sequence_match=0.2857,False,0.4839,False,top-3 avg score 0.4839 < final_threshold 0.6
version number,License,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5663; levenshtein=0.2308; semantic=0.5849; sequence_match=0.3000,False,0.4837,False,top-3 avg score 0.4837 < final_threshold 0.6
file rendering,Developer,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5801; levenshtein=0.2308; semantic=0.5919; sequence_match=0.2727,False,0.4816,False,top-3 avg score 0.4816 < final_threshold 0.6
software interface,License,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6028; levenshtein=0.1765; semantic=0.5797; sequence_match=0.2500,False,0.4775,False,top-3 avg score 0.4775 < final_threshold 0.6
Free,License,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4643; levenshtein=0.2857; semantic=0.5996; sequence_match=0.3636,False,0.4759,False,top-3 avg score 0.4759 < final_threshold 0.6
CEL ASCII format,Developer,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5767; levenshtein=0.1429; semantic=0.5020; sequence_match=0.3478,False,0.4755,False,top-3 avg score 0.4755 < final_threshold 0.6
.csv,Task,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5278; levenshtein=0.2500; semantic=0.6038; sequence_match=0.2857,False,0.4724,False,top-3 avg score 0.4724 < final_threshold 0.6
CEL ASCII format,Algorithm,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5873; levenshtein=0.2143; semantic=0.4723; sequence_match=0.3478,False,0.4691,False,top-3 avg score 0.4691 < final_threshold 0.6
application programming interface,License,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5668; levenshtein=0.1613; semantic=0.5737; sequence_match=0.2632,False,0.4679,False,top-3 avg score 0.4679 < final_threshold 0.6
Not Free,Format,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5397; levenshtein=0.1429; semantic=0.5412; sequence_match=0.3077,False,0.4629,False,top-3 avg score 0.4629 < final_threshold 0.6
GIF,Algorithm,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4815; levenshtein=0.2222; semantic=0.5672; sequence_match=0.3333,False,0.4607,False,top-3 avg score 0.4607 < final_threshold 0.6
version number,Software,semantic+jaro_winkler+levenshtein,jaro_winkler=0.5192; levenshtein=0.2308; semantic=0.6311; sequence_match=0.0952,False,0.4604,False,top-3 avg score 0.4604 < final_threshold 0.6
software interface,Developer,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4766; levenshtein=0.1765; semantic=0.6657; sequence_match=0.2308,False,0.4577,False,top-3 avg score 0.4577 < final_threshold 0.6
software,Format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5556; levenshtein=0.2500; semantic=0.5261; sequence_match=0.2857,False,0.4558,False,top-3 avg score 0.4558 < final_threshold 0.6
XML,Format,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5000; levenshtein=0.1667; semantic=0.6423; sequence_match=0.2222,False,0.4548,False,top-3 avg score 0.4548 < final_threshold 0.6
licence,Developer,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5026; levenshtein=0.2222; semantic=0.6113; sequence_match=0.2500,False,0.4546,False,top-3 avg score 0.4546 < final_threshold 0.6
Not Free,Developer,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5026; levenshtein=0.1111; semantic=0.6111; sequence_match=0.2500,False,0.4546,False,top-3 avg score 0.4546 < final_threshold 0.6
Development status,Format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5588; levenshtein=0.2353; semantic=0.4502; sequence_match=0.3478,False,0.4523,False,top-3 avg score 0.4523 < final_threshold 0.6
desktop graphical user interface,Algorithm,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5302; levenshtein=0.1724; semantic=0.5607; sequence_match=0.2632,False,0.4514,False,top-3 avg score 0.4514 < final_threshold 0.6
desktop graphical user interface,Software,semantic+jaro_winkler+levenshtein,jaro_winkler=0.5412; levenshtein=0.1724; semantic=0.6343; sequence_match=0.0541,False,0.4493,False,top-3 avg score 0.4493 < final_threshold 0.6
plain text file format,License,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5925; levenshtein=0.2105; semantic=0.4416; sequence_match=0.3077,False,0.4473,False,top-3 avg score 0.4473 < final_threshold 0.6
function,Format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5278; levenshtein=0.1250; semantic=0.5267; sequence_match=0.2857,False,0.4467,False,top-3 avg score 0.4467 < final_threshold 0.6
Development status,License,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5361; levenshtein=0.2353; semantic=0.4690; sequence_match=0.3333,False,0.4461,False,top-3 avg score 0.4461 < final_threshold 0.6
version number,Algorithm,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5007; levenshtein=0.0769; semantic=0.5642; sequence_match=0.2727,False,0.4459,False,top-3 avg score 0.4459 < final_threshold 0.6
Free,Developer,jaro_winkler+semantic+levenshtein,jaro_winkler=0.5741; levenshtein=0.2222; semantic=0.5399; sequence_match=0.1538,False,0.4454,False,top-3 avg score 0.4454 < final_threshold 0.6
software,License,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4226; levenshtein=0.1250; semantic=0.6455; sequence_match=0.2667,False,0.4449,False,top-3 avg score 0.4449 < final_threshold 0.6
XML,Developer,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4815; levenshtein=0.1111; semantic=0.6831; sequence_match=0.1667,False,0.4437,False,top-3 avg score 0.4437 < final_threshold 0.6
data item,Format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5278; levenshtein=0.1250; semantic=0.5175; sequence_match=0.2857,False,0.4437,False,top-3 avg score 0.4437 < final_threshold 0.6
Purchase cost,Task,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5556; levenshtein=0.1667; semantic=0.5212; sequence_match=0.2500,False,0.4422,False,top-3 avg score 0.4422 < final_threshold 0.6
Source code available,License,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5107; levenshtein=0.1579; semantic=0.5821; sequence_match=0.2308,False,0.4412,False,top-3 avg score 0.4412 < final_threshold 0.6
file rendering,Format,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4957; levenshtein=0.1538; semantic=0.6050; sequence_match=0.2105,False,0.4371,False,top-3 avg score 0.4371 < final_threshold 0.6
Open source software license,Developer,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5244; levenshtein=0.1600; semantic=0.5515; sequence_match=0.2353,False,0.4371,False,top-3 avg score 0.4371 < final_threshold 0.6
Source code available,Format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5526; levenshtein=0.1579; semantic=0.5146; sequence_match=0.2400,False,0.4358,False,top-3 avg score 0.4358 < final_threshold 0.6
Not Free,Algorithm,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5026; levenshtein=0.1111; semantic=0.5507; sequence_match=0.2500,False,0.4344,False,top-3 avg score 0.4344 < final_threshold 0.6
PROcess,Software,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5119; levenshtein=0.0000; semantic=0.5217; sequence_match=0.2667,False,0.4334,False,top-3 avg score 0.4334 < final_threshold 0.6
