prop_type,gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
ObjectProperty,constraint,has constraint,semantic+sequence_match+jaro_winkler,jaro_winkler=0.8231; levenshtein=0.7692; semantic=0.9340; sequence_match=0.8696,False,0.8755,True,selected
ObjectProperty,consequence,has consequence,sequence_match+jaro_winkler+semantic,jaro_winkler=0.8680; levenshtein=0.7857; semantic=0.8598; sequence_match=0.8800,False,0.8693,True,selected
ObjectProperty,remedy,has remedy,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8889; levenshtein=0.6667; semantic=0.8339; sequence_match=0.8000,False,0.8409,True,selected
ObjectProperty,andSequence,has consequence,sequence_match+jaro_winkler+levenshtein,jaro_winkler=0.7411; levenshtein=0.6429; semantic=0.4854; sequence_match=0.8000,False,0.728,False,pred already taken by 'consequence'
ObjectProperty,hasPolicy,has role,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8296; levenshtein=0.5556; semantic=0.6277; sequence_match=0.6250,False,0.6941,False,top-3 avg score 0.6941 < final_threshold 0.7
ObjectProperty,action,activates,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8222; levenshtein=0.4444; semantic=0.6760; sequence_match=0.5333,False,0.6772,False,top-3 avg score 0.6772 < final_threshold 0.7
ObjectProperty,conflict,has conflict resolution strategy,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7586; levenshtein=0.2759; semantic=0.7470; sequence_match=0.4324,False,0.646,False,top-3 avg score 0.6460 < final_threshold 0.7
ObjectProperty,scope,has role,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6762; levenshtein=0.4286; semantic=0.5690; sequence_match=0.5000,False,0.5817,False,top-3 avg score 0.5817 < final_threshold 0.7
ObjectProperty,assigner,has asset,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6667; levenshtein=0.2500; semantic=0.5490; sequence_match=0.5000,False,0.5719,False,top-3 avg score 0.5719 < final_threshold 0.7
ObjectProperty,assignee,has asset,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6667; levenshtein=0.2500; semantic=0.5462; sequence_match=0.5000,False,0.5709,False,top-3 avg score 0.5709 < final_threshold 0.7
ObjectProperty,hasPolicy,has constraint,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6538; levenshtein=0.3846; semantic=0.5713; sequence_match=0.4545,False,0.5599,False,top-3 avg score 0.5599 < final_threshold 0.7
ObjectProperty,target,has role,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6429; levenshtein=0.2857; semantic=0.5734; sequence_match=0.4615,False,0.5593,False,top-3 avg score 0.5593 < final_threshold 0.7
ObjectProperty,scope,has consequence,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6952; levenshtein=0.2857; semantic=0.5453; sequence_match=0.4211,False,0.5539,False,top-3 avg score 0.5539 < final_threshold 0.7
ObjectProperty,conflict,has constraint,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6032; levenshtein=0.3846; semantic=0.5657; sequence_match=0.4762,False,0.5484,False,top-3 avg score 0.5484 < final_threshold 0.7
ObjectProperty,action,has constraint,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6726; levenshtein=0.3077; semantic=0.5357; sequence_match=0.4211,False,0.5431,False,top-3 avg score 0.5431 < final_threshold 0.7
ObjectProperty,hasPolicy,has remedy,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6296; levenshtein=0.4444; semantic=0.5470; sequence_match=0.4444,False,0.5404,False,top-3 avg score 0.5404 < final_threshold 0.7
ObjectProperty,partOf,has role,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6429; levenshtein=0.2857; semantic=0.5130; sequence_match=0.4615,False,0.5391,False,top-3 avg score 0.5391 < final_threshold 0.7
ObjectProperty,action,has consequence,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6508; levenshtein=0.2143; semantic=0.5660; sequence_match=0.4000,False,0.5389,False,top-3 avg score 0.5389 < final_threshold 0.7
ObjectProperty,hasPolicy,has conflict resolution strategy,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5778; levenshtein=0.2759; semantic=0.6160; sequence_match=0.4211,False,0.5383,False,top-3 avg score 0.5383 < final_threshold 0.7
ObjectProperty,assigner,has constraint,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6032; levenshtein=0.2308; semantic=0.5324; sequence_match=0.4762,False,0.5373,False,top-3 avg score 0.5373 < final_threshold 0.7
ObjectProperty,assignee,has role,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6012; levenshtein=0.2500; semantic=0.6024; sequence_match=0.4000,False,0.5345,False,top-3 avg score 0.5345 < final_threshold 0.7
ObjectProperty,hasPolicy,has consequence,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5709; levenshtein=0.3571; semantic=0.5958; sequence_match=0.4348,False,0.5338,False,top-3 avg score 0.5338 < final_threshold 0.7
ObjectProperty,target,has asset,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6250; levenshtein=0.3750; semantic=0.5462; sequence_match=0.4286,False,0.5333,False,top-3 avg score 0.5333 < final_threshold 0.7
ObjectProperty,conflict,has consequence,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5952; levenshtein=0.2857; semantic=0.6300; sequence_match=0.3636,False,0.5296,False,top-3 avg score 0.5296 < final_threshold 0.7
ObjectProperty,constraint,has consequence,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5651; levenshtein=0.3571; semantic=0.6060; sequence_match=0.4167,False,0.5292,False,top-3 avg score 0.5292 < final_threshold 0.7
ObjectProperty,assignee,has consequence,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6706; levenshtein=0.3571; semantic=0.4522; sequence_match=0.4545,False,0.5258,False,top-3 avg score 0.5258 < final_threshold 0.7
ObjectProperty,assigner,has role,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6012; levenshtein=0.2500; semantic=0.5409; sequence_match=0.4000,False,0.514,False,top-3 avg score 0.5140 < final_threshold 0.7
ObjectProperty,failure,has role,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6310; levenshtein=0.2857; semantic=0.4715; sequence_match=0.4286,False,0.5103,False,top-3 avg score 0.5103 < final_threshold 0.7
ObjectProperty,scope,has constraint,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6103; levenshtein=0.2308; semantic=0.5847; sequence_match=0.3333,False,0.5094,False,top-3 avg score 0.5094 < final_threshold 0.7
ObjectProperty,assignee,has remedy,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6481; levenshtein=0.2222; semantic=0.4042; sequence_match=0.4706,False,0.5076,False,top-3 avg score 0.5076 < final_threshold 0.7
ObjectProperty,assignee,has constraint,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5192; levenshtein=0.2308; semantic=0.5248; sequence_match=0.4762,False,0.5067,False,top-3 avg score 0.5067 < final_threshold 0.7
ObjectProperty,hasPolicy,has asset,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5694; levenshtein=0.3333; semantic=0.5976; sequence_match=0.3529,False,0.5067,False,top-3 avg score 0.5067 < final_threshold 0.7
ObjectProperty,target,has remedy,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6111; levenshtein=0.3333; semantic=0.5030; sequence_match=0.4000,False,0.5047,False,top-3 avg score 0.5047 < final_threshold 0.7
ObjectProperty,implies,activates,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5873; levenshtein=0.2222; semantic=0.5399; sequence_match=0.3750,False,0.5007,False,top-3 avg score 0.5007 < final_threshold 0.7
ObjectProperty,assigner,has consequence,jaro_winkler+sequence_match+semantic,jaro_winkler=0.5940; levenshtein=0.2857; semantic=0.4476; sequence_match=0.4545,False,0.4987,False,top-3 avg score 0.4987 < final_threshold 0.7
ObjectProperty,target,activates,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5370; levenshtein=0.2222; semantic=0.5578; sequence_match=0.4000,False,0.4983,False,top-3 avg score 0.4983 < final_threshold 0.7
ObjectProperty,constraint,has conflict resolution strategy,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6149; levenshtein=0.2759; semantic=0.4607; sequence_match=0.4103,False,0.4953,False,top-3 avg score 0.4953 < final_threshold 0.7
ObjectProperty,inheritRelation,has conflict resolution strategy,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6268; levenshtein=0.3103; semantic=0.4484; sequence_match=0.4091,False,0.4948,False,top-3 avg score 0.4948 < final_threshold 0.7
ObjectProperty,operand,has constraint,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4597; levenshtein=0.3077; semantic=0.5993; sequence_match=0.4000,False,0.4863,False,top-3 avg score 0.4863 < final_threshold 0.7
ObjectProperty,function,activates,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5694; levenshtein=0.1111; semantic=0.5357; sequence_match=0.3529,False,0.486,False,top-3 avg score 0.4860 < final_threshold 0.7
ObjectProperty,function,has constraint,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6261; levenshtein=0.2308; semantic=0.5453; sequence_match=0.2857,False,0.4857,False,top-3 avg score 0.4857 < final_threshold 0.7
ObjectProperty,consequence,has constraint,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4797; levenshtein=0.3077; semantic=0.5494; sequence_match=0.4167,False,0.4819,False,top-3 avg score 0.4819 < final_threshold 0.7
ObjectProperty,failure,has remedy,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5873; levenshtein=0.2222; semantic=0.4829; sequence_match=0.3750,False,0.4817,False,top-3 avg score 0.4817 < final_threshold 0.7
ObjectProperty,action,has conflict resolution strategy,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6245; levenshtein=0.2069; semantic=0.4719; sequence_match=0.3429,False,0.4798,False,top-3 avg score 0.4798 < final_threshold 0.7
ObjectProperty,failure,activates,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5873; levenshtein=0.2222; semantic=0.4640; sequence_match=0.3750,False,0.4754,False,top-3 avg score 0.4754 < final_threshold 0.7
ObjectProperty,Only One,has role,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5238; levenshtein=0.2857; semantic=0.4730; sequence_match=0.4286,False,0.4751,False,top-3 avg score 0.4751 < final_threshold 0.7
ObjectProperty,assigner,activates,jaro_winkler+semantic+levenshtein,jaro_winkler=0.5694; levenshtein=0.3333; semantic=0.5145; sequence_match=0.2353,False,0.4724,False,top-3 avg score 0.4724 < final_threshold 0.7
ObjectProperty,inheritFrom,has asset,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5492; levenshtein=0.0909; semantic=0.5488; sequence_match=0.3158,False,0.4713,False,top-3 avg score 0.4713 < final_threshold 0.7
ObjectProperty,action,has role,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5397; levenshtein=0.1429; semantic=0.5657; sequence_match=0.3077,False,0.471,False,top-3 avg score 0.4710 < final_threshold 0.7
ObjectProperty,scope,has asset,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5500; levenshtein=0.2500; semantic=0.5531; sequence_match=0.3077,False,0.4703,False,top-3 avg score 0.4703 < final_threshold 0.7
ObjectProperty,relation,has role,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5238; levenshtein=0.1250; semantic=0.6163; sequence_match=0.2667,False,0.4689,False,top-3 avg score 0.4689 < final_threshold 0.7
ObjectProperty,relation,has constraint,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5365; levenshtein=0.1538; semantic=0.5829; sequence_match=0.2857,False,0.4684,False,top-3 avg score 0.4684 < final_threshold 0.7
ObjectProperty,relation,has conflict resolution strategy,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5920; levenshtein=0.2414; semantic=0.4332; sequence_match=0.3784,False,0.4678,False,top-3 avg score 0.4678 < final_threshold 0.7
ObjectProperty,consequence,has remedy,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5354; levenshtein=0.1818; semantic=0.5606; sequence_match=0.3000,False,0.4653,False,top-3 avg score 0.4653 < final_threshold 0.7
ObjectProperty,assignee,activates,jaro_winkler+semantic+levenshtein,jaro_winkler=0.5694; levenshtein=0.3333; semantic=0.4883; sequence_match=0.2353,False,0.4637,False,top-3 avg score 0.4637 < final_threshold 0.7
ObjectProperty,failure,has conflict resolution strategy,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6043; levenshtein=0.2069; semantic=0.4489; sequence_match=0.3333,False,0.4622,False,top-3 avg score 0.4622 < final_threshold 0.7
ObjectProperty,Only One,has consequence,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5357; levenshtein=0.2857; semantic=0.4690; sequence_match=0.3810,False,0.4619,False,top-3 avg score 0.4619 < final_threshold 0.7
ObjectProperty,operator,has constraint,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4359; levenshtein=0.2308; semantic=0.5530; sequence_match=0.3810,False,0.4566,False,top-3 avg score 0.4566 < final_threshold 0.7
ObjectProperty,leftOperand,has constraint,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4797; levenshtein=0.3077; semantic=0.5568; sequence_match=0.3333,False,0.4566,False,top-3 avg score 0.4566 < final_threshold 0.7
ObjectProperty,target,has constraint,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4957; levenshtein=0.2308; semantic=0.5463; sequence_match=0.3158,False,0.4526,False,top-3 avg score 0.4526 < final_threshold 0.7
ObjectProperty,constraint,activates,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6185; levenshtein=0.1000; semantic=0.5281; sequence_match=0.2105,False,0.4524,False,top-3 avg score 0.4524 < final_threshold 0.7
ObjectProperty,permission,has constraint,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4949; levenshtein=0.1538; semantic=0.5980; sequence_match=0.2609,False,0.4512,False,top-3 avg score 0.4512 < final_threshold 0.7
ObjectProperty,assigner,has conflict resolution strategy,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6578; levenshtein=0.2069; semantic=0.4241; sequence_match=0.2703,False,0.4507,False,top-3 avg score 0.4507 < final_threshold 0.7
ObjectProperty,operator,has role,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4901; levenshtein=0.1250; semantic=0.5927; sequence_match=0.2667,False,0.4498,False,top-3 avg score 0.4498 < final_threshold 0.7
ObjectProperty,prohibition,has constraint,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4797; levenshtein=0.1538; semantic=0.6193; sequence_match=0.2500,False,0.4497,False,top-3 avg score 0.4497 < final_threshold 0.7
ObjectProperty,or,has constraint,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5256; levenshtein=0.1538; semantic=0.5561; sequence_match=0.2667,False,0.4495,False,top-3 avg score 0.4495 < final_threshold 0.7
ObjectProperty,obligation,has constraint,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4949; levenshtein=0.1538; semantic=0.5924; sequence_match=0.2609,False,0.4494,False,top-3 avg score 0.4494 < final_threshold 0.7
ObjectProperty,scope,has remedy,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5407; levenshtein=0.2222; semantic=0.5184; sequence_match=0.2857,False,0.4483,False,top-3 avg score 0.4483 < final_threshold 0.7
ObjectProperty,obligation,has conflict resolution strategy,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5670; levenshtein=0.2414; semantic=0.4184; sequence_match=0.3590,False,0.4481,False,top-3 avg score 0.4481 < final_threshold 0.7
ObjectProperty,operand,has remedy,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5886; levenshtein=0.2222; semantic=0.5017; sequence_match=0.2500,False,0.4468,False,top-3 avg score 0.4468 < final_threshold 0.7
ObjectProperty,assigner,has remedy,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5694; levenshtein=0.2222; semantic=0.4175; sequence_match=0.3529,False,0.4466,False,top-3 avg score 0.4466 < final_threshold 0.7
ObjectProperty,andSequence,has role,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5671; levenshtein=0.1818; semantic=0.4387; sequence_match=0.3333,False,0.4464,False,top-3 avg score 0.4464 < final_threshold 0.7
ObjectProperty,conflict,has role,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5119; levenshtein=0.0000; semantic=0.5579; sequence_match=0.2667,False,0.4455,False,top-3 avg score 0.4455 < final_threshold 0.7
ObjectProperty,function,has conflict resolution strategy,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6102; levenshtein=0.2069; semantic=0.3979; sequence_match=0.3243,False,0.4441,False,top-3 avg score 0.4441 < final_threshold 0.7
ObjectProperty,scope,has conflict resolution strategy,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6460; levenshtein=0.1379; semantic=0.4493; sequence_match=0.2353,False,0.4435,False,top-3 avg score 0.4435 < final_threshold 0.7
ObjectProperty,and,has constraint,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6068; levenshtein=0.1538; semantic=0.4702; sequence_match=0.2500,False,0.4423,False,top-3 avg score 0.4423 < final_threshold 0.7
ObjectProperty,inheritFrom,has role,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4560; levenshtein=0.1818; semantic=0.5368; sequence_match=0.3333,False,0.442,False,top-3 avg score 0.4420 < final_threshold 0.7
ObjectProperty,or,has role,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5476; levenshtein=0.1429; semantic=0.5553; sequence_match=0.2222,False,0.4417,False,top-3 avg score 0.4417 < final_threshold 0.7
ObjectProperty,function,has consequence,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5119; levenshtein=0.1429; semantic=0.5366; sequence_match=0.2727,False,0.4404,False,top-3 avg score 0.4404 < final_threshold 0.7
ObjectProperty,implies,has role,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5238; levenshtein=0.0000; semantic=0.5095; sequence_match=0.2857,False,0.4397,False,top-3 avg score 0.4397 < final_threshold 0.7
ObjectProperty,inheritRelation,has role,semantic+jaro_winkler+levenshtein,jaro_winkler=0.5294; levenshtein=0.2000; semantic=0.5891; sequence_match=0.1818,False,0.4395,False,top-3 avg score 0.4395 < final_threshold 0.7
ObjectProperty,permission,has consequence,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4857; levenshtein=0.1429; semantic=0.5738; sequence_match=0.2500,False,0.4365,False,top-3 avg score 0.4365 < final_threshold 0.7
