PropertyType,GoldPredicate,PredPredicate,GoldPredicateNorm,PredPredicateNorm,GoldType,PredType,TypeVerdict,GoldDomain,PredDomain,GoldDomainNorm,PredDomainNorm,DomainStatus,GoldRange,PredRange,GoldRangeNorm,PredRangeNorm,RangeStatus,FullMatch,Note
ObjectProperty,andSequence,has sequence,andsequence,hassequence,ObjectProperty,ObjectProperty,tp,,Rule,,rule,fp,,Sequence,,sequence,fp,NO,
ObjectProperty,assignee,has assignee,assignee,hasassignee,ObjectProperty,ObjectProperty,tp,,Rule,,rule,fp,Party,Party,party,party,tp,NO,
ObjectProperty,assigner,has assigner,assigner,hasassigner,ObjectProperty,ObjectProperty,tp,,Rule,,rule,fp,Party,Party,party,party,tp,NO,
ObjectProperty,consequence,has consequence duty,consequence,hasconsequenceduty,ObjectProperty,ObjectProperty,tp,Duty,Duty,duty,duty,tp,Duty,Duty,duty,duty,tp,YES,
ObjectProperty,constraint,constrains,constraint,constrains,ObjectProperty,ObjectProperty,tp,,Constraint,,constraint,fp,,Rule,,rule,fp,NO,
ObjectProperty,hasPolicy,has policy,haspolicy,haspolicy,ObjectProperty,ObjectProperty,tp,Asset,Asset,asset,asset,tp,Policy,Policy,policy,policy,tp,YES,
ObjectProperty,inheritFrom,inherits from,inheritfrom,inheritsfrom,ObjectProperty,ObjectProperty,tp,Policy,Policy,policy,policy,tp,Policy,Policy,policy,policy,tp,YES,
ObjectProperty,operand,operates on,operand,operateson,ObjectProperty,ObjectProperty,tp,LogicalConstraint,Operator,logicalconstraint,operator,mismatch,,Constraint,,constraint,fp,NO,
ObjectProperty,operator,has operator,operator,hasoperator,ObjectProperty,ObjectProperty,tp,Constraint,Constraint,constraint,constraint,tp,Operator,Operator,operator,operator,tp,YES,
ObjectProperty,remedy,has remedy duty,remedy,hasremedyduty,ObjectProperty,ObjectProperty,tp,Prohibition,Prohibition,prohibition,prohibition,tp,Duty,Duty,duty,duty,tp,YES,
