prop_type,gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
ObjectProperty,hasWineDescriptor,has wine,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8824; levenshtein=0.4118; semantic=0.7368; sequence_match=0.5833,False,0.7342,True,selected
ObjectProperty,hasVintageYear,has wine,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8333; levenshtein=0.4286; semantic=0.6577; sequence_match=0.5714,False,0.6875,False,top-3 avg score 0.6875 < final_threshold 0.7
ObjectProperty,hasVintageYear,has grape variety,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8241; levenshtein=0.2667; semantic=0.6469; sequence_match=0.4138,False,0.6283,False,top-3 avg score 0.6283 < final_threshold 0.7
ObjectProperty,madeFromGrape,has grape variety,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6329; levenshtein=0.2000; semantic=0.7702; sequence_match=0.4286,False,0.6106,False,top-3 avg score 0.6106 < final_threshold 0.7
ObjectProperty,hasWineDescriptor,has grape variety,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6850; levenshtein=0.4118; semantic=0.6735; sequence_match=0.4375,False,0.5987,False,top-3 avg score 0.5987 < final_threshold 0.7
ObjectProperty,hasFlavor,has grape variety,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6333; levenshtein=0.4000; semantic=0.5980; sequence_match=0.5000,False,0.5771,False,top-3 avg score 0.5771 < final_threshold 0.7
ObjectProperty,hasSugar,has grape variety,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6611; levenshtein=0.3333; semantic=0.5386; sequence_match=0.5217,False,0.5738,False,top-3 avg score 0.5738 < final_threshold 0.7
ObjectProperty,hasColor,has characteristic,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6397; levenshtein=0.2941; semantic=0.6426; sequence_match=0.4000,False,0.5608,False,top-3 avg score 0.5608 < final_threshold 0.7
ObjectProperty,hasBody,has wine,jaro_winkler+semantic+levenshtein,jaro_winkler=0.6190; levenshtein=0.4286; semantic=0.6117; sequence_match=0.4286,False,0.5531,False,top-3 avg score 0.5531 < final_threshold 0.7
ObjectProperty,hasFlavor,has characteristic,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6166; levenshtein=0.2941; semantic=0.6483; sequence_match=0.3846,False,0.5498,False,top-3 avg score 0.5498 < final_threshold 0.7
ObjectProperty,hasColor,has wine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6012; levenshtein=0.3750; semantic=0.6210; sequence_match=0.4000,False,0.5407,False,top-3 avg score 0.5407 < final_threshold 0.7
ObjectProperty,hasSugar,has wine,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6012; levenshtein=0.3750; semantic=0.5859; sequence_match=0.4000,False,0.529,False,top-3 avg score 0.5290 < final_threshold 0.7
ObjectProperty,hasFlavor,has wine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5873; levenshtein=0.3333; semantic=0.6195; sequence_match=0.3750,False,0.5273,False,top-3 avg score 0.5273 < final_threshold 0.7
ObjectProperty,hasWineDescriptor,has characteristic,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6255; levenshtein=0.3529; semantic=0.5353; sequence_match=0.4118,False,0.5242,False,top-3 avg score 0.5242 < final_threshold 0.7
ObjectProperty,hasColor,has grape variety,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5889; levenshtein=0.2667; semantic=0.6354; sequence_match=0.3478,False,0.524,False,top-3 avg score 0.5240 < final_threshold 0.7
ObjectProperty,hasColor,has characteristic type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6210; levenshtein=0.2381; semantic=0.5931; sequence_match=0.3448,False,0.5196,False,top-3 avg score 0.5196 < final_threshold 0.7
