Gold_term,Pre_term,Method,Score
Actuator,actuator,hard_match,1.0
ChemicalProperty,chemical property,hard_match,1.0
Device,device,hard_match,1.0
Key Performance Indicator,water indicator,top3_avg(jaro_winkler+semantic+sequence_match),0.6063049156264281
Measurement,measurement,hard_match,1.0
Sensor,sensor,hard_match,1.0
Tariff,tariff,hard_match,1.0
Temporal entity,temporal setting,top3_avg(jaro_winkler+semantic+sequence_match),0.8260943932548521
Water,water,hard_match,1.0
Water asset,asset,top3_avg(jaro_winkler+semantic+sequence_match),0.7018537335925631
Water infrastructure,water distribution infrastructure,top3_avg(jaro_winkler+semantic+sequence_match),0.8478553603662903
Water meter,water meter,hard_match,1.0
Water property,physical property,top3_avg(jaro_winkler+semantic+sequence_match),0.6600118127893393
