prop_type,gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
ObjectProperty,eaten-by,eaten by,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
ObjectProperty,eats,eats,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
ObjectProperty,eaten-by,eaten by organism,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8933; levenshtein=0.4667; semantic=0.7672; sequence_match=0.6364,False,0.7656,False,gold already mapped to 'eaten by'
ObjectProperty,eaten-by,eats,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8083; levenshtein=0.4286; semantic=0.7531; sequence_match=0.5455,False,0.7023,False,gold already mapped to 'eaten by'
ObjectProperty,eats,eaten by,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8083; levenshtein=0.4286; semantic=0.7531; sequence_match=0.5455,False,0.7023,False,gold already mapped to 'eats'
ObjectProperty,eats,eats plant part,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8615; levenshtein=0.3077; semantic=0.6562; sequence_match=0.4706,False,0.6628,False,top-3 avg score 0.6628 < final_threshold 0.7
ObjectProperty,has-part,eats plant part,semantic+sequence_match+jaro_winkler,jaro_winkler=0.5663; levenshtein=0.4615; semantic=0.6221; sequence_match=0.6000,False,0.5961,False,top-3 avg score 0.5961 < final_threshold 0.7
ObjectProperty,eats,eaten by organism,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6500; levenshtein=0.2667; semantic=0.6481; sequence_match=0.4211,False,0.573,False,top-3 avg score 0.5730 < final_threshold 0.7
ObjectProperty,eaten-by,eats plant part,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6264; levenshtein=0.3077; semantic=0.6120; sequence_match=0.4000,False,0.5461,False,top-3 avg score 0.5461 < final_threshold 0.7
ObjectProperty,has-part,eats,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5952; levenshtein=0.1429; semantic=0.5361; sequence_match=0.3636,False,0.4983,False,top-3 avg score 0.4983 < final_threshold 0.7
ObjectProperty,is-proper-part-of,eats plant part,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5366; levenshtein=0.2857; semantic=0.4884; sequence_match=0.4444,False,0.4898,False,top-3 avg score 0.4898 < final_threshold 0.7
ObjectProperty,is-part-of,eats plant part,semantic+sequence_match+jaro_winkler,jaro_winkler=0.4359; levenshtein=0.3077; semantic=0.4829; sequence_match=0.4762,False,0.465,False,top-3 avg score 0.4650 < final_threshold 0.7
ObjectProperty,is-part-of,eats,jaro_winkler+semantic+levenshtein,jaro_winkler=0.5972; levenshtein=0.2500; semantic=0.4611; sequence_match=0.1667,False,0.4361,False,top-3 avg score 0.4361 < final_threshold 0.7
ObjectProperty,is-part-of,eaten by,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5119; levenshtein=0.0000; semantic=0.4502; sequence_match=0.2667,False,0.4096,False,top-3 avg score 0.4096 < final_threshold 0.7
ObjectProperty,has-part,eaten by,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4286; levenshtein=0.1429; semantic=0.4895; sequence_match=0.2857,False,0.4013,False,top-3 avg score 0.4013 < final_threshold 0.7
ObjectProperty,has-part,eaten by organism,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5294; levenshtein=0.1333; semantic=0.4470; sequence_match=0.1818,False,0.3861,False,top-3 avg score 0.3861 < final_threshold 0.7
ObjectProperty,is-proper-part-of,eaten by,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4048; levenshtein=0.0714; semantic=0.4248; sequence_match=0.2857,False,0.3718,False,top-3 avg score 0.3718 < final_threshold 0.7
ObjectProperty,is-part-of,eaten by organism,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5056; levenshtein=0.0667; semantic=0.3804; sequence_match=0.1739,False,0.3533,False,top-3 avg score 0.3533 < final_threshold 0.7
ObjectProperty,is-proper-part-of,eats,semantic+jaro_winkler+levenshtein,jaro_winkler=0.3810; levenshtein=0.2143; semantic=0.4414; sequence_match=0.1111,False,0.3455,False,top-3 avg score 0.3455 < final_threshold 0.7
ObjectProperty,is-proper-part-of,eaten by organism,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4341; levenshtein=0.1333; semantic=0.3622; sequence_match=0.1379,False,0.3114,False,top-3 avg score 0.3114 < final_threshold 0.7
