side,dimension,sub,sup,status,raw_pred_sub,raw_pred_sup
gold,class,AssetCollection,Asset,FN,,
gold,class,Duty,Rule,FN,,
gold,class,Permission,Rule,FN,,
gold,class,Prohibition,Rule,FN,,
pred,class,Action,Constraint,FP,,
pred,class,LogicalConstraint,Constraint,FP,,
pred,class,,,untranslated,Aggregation,TransferRights
pred,class,,,untranslated,AndConstraint,Constraint
pred,class,,,untranslated,AndConstraint,LogicalConstraint
pred,class,,,untranslated,ConstraintSubtype,Rule
pred,class,,,untranslated,Disaggregation,TransferRights
pred,class,,,untranslated,OrConstraint,Constraint
pred,class,,,untranslated,OrConstraint,LogicalConstraint
pred,class,,,untranslated,PermissionDutyElementSubtype,Rule
pred,class,,,untranslated,Prohibition,PermissionDutyElement
pred,class,,,untranslated,Remedy,PermissionDutyElement
pred,class,,,untranslated,Sequencing,Constraint
pred,class,,,untranslated,XorConstraint,Constraint
pred,class,,,untranslated,XorConstraint,LogicalConstraint
gold,property,and,operand,FN,,
gold,property,andSequence,operand,FN,,
gold,property,assignee,function,FN,,
gold,property,assigner,function,FN,,
gold,property,consequence,failure,FN,,
gold,property,or,operand,FN,,
gold,property,remedy,failure,FN,,
gold,property,target,relation,FN,,
gold,property,xone,operand,FN,,
