prop_type,gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
ObjectProperty,has achievement,has achievement,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
ObjectProperty,has item,has item,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
ObjectProperty,has playing area,has playing area,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
ObjectProperty,lives in,lives in,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
ObjectProperty,plays game,plays game,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
ObjectProperty,has game genre,has genre,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9083; levenshtein=0.6667; semantic=0.8370; sequence_match=0.8000,False,0.8484,True,selected
ObjectProperty,is achievement in game,is achievement of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9102; levenshtein=0.6842; semantic=0.7756; sequence_match=0.7647,False,0.8168,True,selected
ObjectProperty,owns achievement,has achievement type,jaro_winkler+sequence_match+semantic,jaro_winkler=0.7944; levenshtein=0.6111; semantic=0.7089; sequence_match=0.7273,False,0.7435,True,selected
ObjectProperty,is friend with player,is friend of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8489; levenshtein=0.4444; semantic=0.7463; sequence_match=0.5714,False,0.7222,True,selected
ObjectProperty,owns item,is item of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7500; levenshtein=0.3750; semantic=0.7299; sequence_match=0.6250,False,0.7016,True,selected
ObjectProperty,has achievement,has achievement type,jaro_winkler+sequence_match+semantic,jaro_winkler=0.9556; levenshtein=0.7778; semantic=0.7933; sequence_match=0.8750,False,0.8746,False,gold already mapped to 'has achievement'
ObjectProperty,owns achievement,has achievement,semantic+jaro_winkler+sequence_match,jaro_winkler=0.8579; levenshtein=0.8000; semantic=0.8760; sequence_match=0.8276,False,0.8538,False,pred already taken by 'has achievement'
ObjectProperty,has achievement,is achievement of,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8302; levenshtein=0.7333; semantic=0.7937; sequence_match=0.8276,False,0.8172,False,gold already mapped to 'has achievement'
ObjectProperty,owns achievement,is achievement of,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8667; levenshtein=0.6667; semantic=0.7370; sequence_match=0.8000,False,0.8012,False,pred already taken by 'is achievement in game'
ObjectProperty,has playing area,is playing area of,sequence_match+semantic+levenshtein,jaro_winkler=0.7190; levenshtein=0.7333; semantic=0.7507; sequence_match=0.8276,False,0.7705,False,gold already mapped to 'has playing area'
ObjectProperty,is achievement in game,has achievement,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7740; levenshtein=0.5789; semantic=0.7680; sequence_match=0.7273,False,0.7564,False,gold already mapped to 'is achievement of'
ObjectProperty,owns item,has item,semantic+jaro_winkler+sequence_match,jaro_winkler=0.7798; levenshtein=0.6250; semantic=0.7878; sequence_match=0.6667,False,0.7448,False,pred already taken by 'has item'
ObjectProperty,has achievement,is type of achievement,semantic+sequence_match+jaro_winkler,jaro_winkler=0.7185; levenshtein=0.5789; semantic=0.7723; sequence_match=0.7273,False,0.7394,False,gold already mapped to 'has achievement'
ObjectProperty,owns achievement,is type of achievement,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7221; levenshtein=0.5789; semantic=0.7100; sequence_match=0.7059,False,0.7126,False,gold already mapped to 'has achievement type'
ObjectProperty,has item,is item of,semantic+jaro_winkler+sequence_match,jaro_winkler=0.7131; levenshtein=0.5000; semantic=0.7447; sequence_match=0.6667,False,0.7081,False,gold already mapped to 'has item'
ObjectProperty,has feature,has genre,jaro_winkler+sequence_match+levenshtein,jaro_winkler=0.8483; levenshtein=0.6000; semantic=0.5514; sequence_match=0.6667,False,0.705,False,pred already taken by 'has game genre'
ObjectProperty,is achievement in game,has achievement type,jaro_winkler+sequence_match+semantic,jaro_winkler=0.7509; levenshtein=0.6316; semantic=0.6515; sequence_match=0.7027,False,0.7017,False,gold already mapped to 'is achievement of'
ObjectProperty,is achievement in game,is type of achievement,semantic+sequence_match+jaro_winkler,jaro_winkler=0.6817; levenshtein=0.3684; semantic=0.7076; sequence_match=0.6842,False,0.6912,False,top-3 avg score 0.6912 < final_threshold 0.7
ObjectProperty,has achievement,has item,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8333; levenshtein=0.4286; semantic=0.6448; sequence_match=0.5714,False,0.6832,False,top-3 avg score 0.6832 < final_threshold 0.7
ObjectProperty,has item,has achievement,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8333; levenshtein=0.4286; semantic=0.6448; sequence_match=0.5714,False,0.6832,False,top-3 avg score 0.6832 < final_threshold 0.7
ObjectProperty,is friend with player,friendship with,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7298; levenshtein=0.3889; semantic=0.6866; sequence_match=0.6250,False,0.6804,False,top-3 avg score 0.6804 < final_threshold 0.7
