role,gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
class,algorithm,algorithm,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0000,True,selected
class,xml,xml,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0000,True,selected
class,software,software,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0000,True,selected
class,web service,webservice,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=0.9795; sequence_match=1.0000,True,1.0000,True,selected
class,task,task,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0000,True,selected
class,format,format,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0000,True,selected
class,data,data,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0000,True,selected
class,version,version,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0000,True,selected
class,platform,platform,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0000,True,selected
class,text editing,editing,semantic+jaro_winkler+sequence_match,jaro_winkler=0.7835; levenshtein=0.6364; semantic=0.8480; sequence_match=0.7778,False,0.8031,True,selected
class,software developer role,softwaretool,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8699; levenshtein=0.5238; semantic=0.6627; sequence_match=0.6667,False,0.7331,True,selected
class,data item,dataexport,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8367; levenshtein=0.4000; semantic=0.6426; sequence_match=0.5556,False,0.6783,True,selected
class,cel ascii format,dataformat,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7333; levenshtein=0.5000; semantic=0.7022; sequence_match=0.5833,False,0.6729,True,selected
class,software,softwaretool,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9333; levenshtein=0.6667; semantic=0.8891; sequence_match=0.8000,False,0.8741,False,gold already mapped to 'software'
class,software,softwaretype,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9333; levenshtein=0.6667; semantic=0.8097; sequence_match=0.8000,False,0.8477,False,gold already mapped to 'software'
class,data item,data,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9000; levenshtein=0.5000; semantic=0.7779; sequence_match=0.6667,False,0.7815,False,pred already taken by 'data' (higher averaged score)
class,format,dataformat,semantic+sequence_match+jaro_winkler,jaro_winkler=0.7000; levenshtein=0.6000; semantic=0.8941; sequence_match=0.7500,False,0.7814,False,gold already mapped to 'format'
class,data,dataexport,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8800; levenshtein=0.4000; semantic=0.7683; sequence_match=0.5714,False,0.7399,False,gold already mapped to 'data'
class,data,dataformat,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8800; levenshtein=0.4000; semantic=0.7163; sequence_match=0.5714,False,0.7226,False,gold already mapped to 'data'
class,software developer role,software,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8762; levenshtein=0.3810; semantic=0.6834; sequence_match=0.5517,False,0.7038,False,gold already mapped to 'softwaretool'
class,software developer role,softwaretype,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8419; levenshtein=0.4762; semantic=0.6079; sequence_match=0.6061,False,0.6853,False,gold already mapped to 'softwaretool'
class,data item,dataformat,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8367; levenshtein=0.5000; semantic=0.6267; sequence_match=0.5556,False,0.6730,False,gold already mapped to 'dataexport'
