prop_type,gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
ObjectProperty,has billing period,has billing,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9250; levenshtein=0.6250; semantic=0.8312; sequence_match=0.7692,False,0.8418,True,selected
ObjectProperty,measurement made by,measures,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8574; levenshtein=0.4118; semantic=0.8178; sequence_match=0.5600,False,0.745,True,selected
ObjectProperty,has measurement,measures,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6905; levenshtein=0.5000; semantic=0.8723; sequence_match=0.6364,False,0.733,False,pred already taken by 'measurement made by'
ObjectProperty,makes measurement,measures,semantic+jaro_winkler+sequence_match,jaro_winkler=0.7375; levenshtein=0.4375; semantic=0.8766; sequence_match=0.5833,False,0.7325,False,pred already taken by 'measurement made by'
ObjectProperty,hasGeometry,has sensor,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8162; levenshtein=0.4545; semantic=0.6151; sequence_match=0.6000,False,0.6771,False,top-3 avg score 0.6771 < final_threshold 0.7
ObjectProperty,is measured by device,measures,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6481; levenshtein=0.3889; semantic=0.7826; sequence_match=0.5385,False,0.6564,False,top-3 avg score 0.6564 < final_threshold 0.7
ObjectProperty,has period,has sensor,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8056; levenshtein=0.5556; semantic=0.6039; sequence_match=0.5556,False,0.655,False,top-3 avg score 0.6550 < final_threshold 0.7
ObjectProperty,has duration,has actuator,jaro_winkler+sequence_match+semantic,jaro_winkler=0.7970; levenshtein=0.4545; semantic=0.4872; sequence_match=0.6364,False,0.6402,False,top-3 avg score 0.6402 < final_threshold 0.7
ObjectProperty,has period,has tariff,jaro_winkler+sequence_match+levenshtein,jaro_winkler=0.7926; levenshtein=0.5556; semantic=0.5079; sequence_match=0.5556,False,0.6346,False,top-3 avg score 0.6346 < final_threshold 0.7
ObjectProperty,hasGeometry,has water meter,jaro_winkler+sequence_match+levenshtein,jaro_winkler=0.6976; levenshtein=0.5385; semantic=0.5276; sequence_match=0.6667,False,0.6342,False,top-3 avg score 0.6342 < final_threshold 0.7
ObjectProperty,has measurement,has water meter,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8328; levenshtein=0.4286; semantic=0.6229; sequence_match=0.4444,False,0.6334,False,top-3 avg score 0.6334 < final_threshold 0.7
ObjectProperty,has measurement,has sensor,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6429; levenshtein=0.4286; semantic=0.6521; sequence_match=0.5217,False,0.6056,False,top-3 avg score 0.6056 < final_threshold 0.7
ObjectProperty,has duration,has tariff,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8300; levenshtein=0.4545; semantic=0.4769; sequence_match=0.5000,False,0.6023,False,top-3 avg score 0.6023 < final_threshold 0.7
ObjectProperty,has property,has water meter,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6773; levenshtein=0.3846; semantic=0.5932; sequence_match=0.5000,False,0.5902,False,top-3 avg score 0.5902 < final_threshold 0.7
ObjectProperty,feature is measured by device,measures,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6483; levenshtein=0.2800; semantic=0.6792; sequence_match=0.4242,False,0.5839,False,top-3 avg score 0.5839 < final_threshold 0.7
ObjectProperty,has property,has sensor,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6818; levenshtein=0.3636; semantic=0.6243; sequence_match=0.4000,False,0.5687,False,top-3 avg score 0.5687 < final_threshold 0.7
ObjectProperty,has measurement,has actuator,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6645; levenshtein=0.2857; semantic=0.5331; sequence_match=0.4800,False,0.5592,False,top-3 avg score 0.5592 < final_threshold 0.7
