Gold_term,Pre_term,Method,Score
CEL binary format,Open Format,top3_avg(jaro_winkler+semantic+sequence_match),0.672743413536637
Development status,Development Type,top3_avg(jaro_winkler+semantic+sequence_match),0.7903606554106171
Maintained,Maintained,hard_match,1.0
Open source software license,Open Source License,top3_avg(jaro_winkler+semantic+sequence_match),0.8918482452676632
algorithm,Algorithm,hard_match,1.0
data item,Data,top3_avg(jaro_winkler+semantic+sequence_match),0.7815332425965202
function,Documentation,top3_avg(jaro_winkler+semantic+sequence_match),0.6354804159811855
licence,License,top3_avg(jaro_winkler+levenshtein+semantic),0.9057853778203327
plain text file format,Proprietary Format,top3_avg(jaro_winkler+levenshtein+semantic),0.6130517673719093
programming language,Programming Language,hard_match,1.0
software,Software Type,top3_avg(jaro_winkler+semantic+sequence_match),0.8460435019599067
software developer organization,Open Source Development,top3_avg(jaro_winkler+semantic+sequence_match),0.6271369824085852
software developer role,Developer,top3_avg(jaro_winkler+semantic+sequence_match),0.6613310362506376
text editing,XML Editing,top3_avg(jaro_winkler+semantic+sequence_match),0.7581468802165848
version number,Version,top3_avg(jaro_winkler+semantic+sequence_match),0.8497086188732048
web service,Web Service,hard_match,1.0
