id,source,term_type,axiom_type,term,dl,status,note
AX1-gold,gold,Class,Declaration,Bordeaux,Declaration: Bordeaux (Class),TP,matched pred AX1
AX1-pred,pred,Class,Declaration,Bordeaux,Declaration: Bordeaux (Class),-,-
AX3-gold,gold,Class,Declaration,RedBordeaux,Declaration: RedBordeaux (Class),Skip,subject 'RedBordeaux' not in alignment table
AX3-pred,pred,-,-,-,(subject not in alignment table),-,-
AX4-gold,gold,Class,EquivalentClasses,RedBordeaux,RedBordeaux ≡ (Bordeaux ⊓ RedWine),Skip,subject 'RedBordeaux' not in alignment table
AX4-pred,pred,-,-,-,(subject not in alignment table),-,-
AX6-gold,gold,Class,Declaration,RedWine,Declaration: RedWine (Class),TP,matched pred AX14
AX6-pred,pred,Class,Declaration,red wine,Declaration: red wine (Class),-,-
AX7-gold,gold,Class,EquivalentClasses,RedWine,RedWine ≡ (wine ⊓ ∃hasColor.{Red}),FN,pred has no EquivalentClasses axiom on 'red wine'
AX7-pred,pred,-,-,-,(no pred axiom on aligned subject),-,-
AX8-gold,gold,Class,Declaration,Region,Declaration: Region (Class),TP,matched pred AX17
AX8-pred,pred,Class,Declaration,region,Declaration: region (Class),-,-
AX9-gold,gold,Class,Declaration,Vintage,Declaration: Vintage (Class),TP,matched pred AX18
AX9-pred,pred,Class,Declaration,vintage,Declaration: vintage (Class),-,-
AX10-gold,gold,Class,SubClassOf,Vintage,Vintage ⊑ =1 hasVintageYear.⊤,FN,pred has no SubClassOf axiom on 'vintage'
AX10-pred,pred,-,-,-,(no pred axiom on aligned subject),-,-
AX11-gold,gold,Class,Declaration,VintageYear,Declaration: VintageYear (Class),Skip,subject 'VintageYear' not in alignment table
AX11-pred,pred,-,-,-,(subject not in alignment table),-,-
AX12-gold,gold,Class,Declaration,WhiteBordeaux,Declaration: WhiteBordeaux (Class),Skip,subject 'WhiteBordeaux' not in alignment table
AX12-pred,pred,-,-,-,(subject not in alignment table),-,-
AX13-gold,gold,Class,EquivalentClasses,WhiteBordeaux,WhiteBordeaux ≡ (Bordeaux ⊓ WhiteWine),Skip,subject 'WhiteBordeaux' not in alignment table
AX13-pred,pred,-,-,-,(subject not in alignment table),-,-
AX15-gold,gold,Class,Declaration,WhiteWine,Declaration: WhiteWine (Class),TP,matched pred AX19
AX15-pred,pred,Class,Declaration,white wine,Declaration: white wine (Class),-,-
AX16-gold,gold,Class,EquivalentClasses,WhiteWine,WhiteWine ≡ (wine ⊓ ∃hasColor.{White}),FN,pred has no EquivalentClasses axiom on 'white wine'
AX16-pred,pred,-,-,-,(no pred axiom on aligned subject),-,-
AX17-gold,gold,Class,Declaration,WineBody,Declaration: WineBody (Class),TP,matched pred AX7
AX17-pred,pred,Class,Declaration,body,Declaration: body (Class),-,-
AX19-gold,gold,Class,SubClassOf,WineBody,WineBody ⊑ WineTaste,TP,matched pred AX8
AX19-pred,pred,Class,SubClassOf,body,body ⊑ wine characteristic,-,-
AX20-gold,gold,Class,Declaration,WineColor,Declaration: WineColor (Class),TP,matched pred AX11
AX20-pred,pred,Class,Declaration,color,Declaration: color (Class),-,-
AX22-gold,gold,Class,SubClassOf,WineColor,WineColor ⊑ WineDescriptor,Mismatch,pred AX12 differs: class 'WineDescriptor' not aligned to 'wine characteristic'
AX22-pred,pred,Class,SubClassOf,color,color ⊑ wine characteristic,-,-
AX23-gold,gold,Class,Declaration,WineDescriptor,Declaration: WineDescriptor (Class),Skip,subject 'WineDescriptor' not in alignment table
AX23-pred,pred,-,-,-,(subject not in alignment table),-,-
AX24-gold,gold,Class,EquivalentClasses,WineDescriptor,WineDescriptor ≡ (WineColor ⊔ WineTaste),Skip,subject 'WineDescriptor' not in alignment table
AX24-pred,pred,-,-,-,(subject not in alignment table),-,-
AX25-gold,gold,Class,Declaration,WineFlavor,Declaration: WineFlavor (Class),Skip,subject 'WineFlavor' not in alignment table
AX25-pred,pred,-,-,-,(subject not in alignment table),-,-
AX27-gold,gold,Class,SubClassOf,WineFlavor,WineFlavor ⊑ WineTaste,Skip,subject 'WineFlavor' not in alignment table
AX27-pred,pred,-,-,-,(subject not in alignment table),-,-
AX28-gold,gold,Class,Declaration,WineGrape,Declaration: WineGrape (Class),TP,matched pred AX13
AX28-pred,pred,Class,Declaration,grape,Declaration: grape (Class),-,-
AX29-gold,gold,Class,Declaration,WineSugar,Declaration: WineSugar (Class),Skip,subject 'WineSugar' not in alignment table
AX29-pred,pred,-,-,-,(subject not in alignment table),-,-
AX31-gold,gold,Class,SubClassOf,WineSugar,WineSugar ⊑ WineTaste,Skip,subject 'WineSugar' not in alignment table
AX31-pred,pred,-,-,-,(subject not in alignment table),-,-
AX32-gold,gold,Class,Declaration,WineTaste,Declaration: WineTaste (Class),TP,matched pred AX22
AX32-pred,pred,Class,Declaration,wine characteristic,Declaration: wine characteristic (Class),-,-
AX33-gold,gold,Class,SubClassOf,WineTaste,WineTaste ⊑ WineDescriptor,FN,pred has no SubClassOf axiom on 'wine characteristic'
AX33-pred,pred,-,-,-,(no pred axiom on aligned subject),-,-
AX34-gold,gold,Class,Declaration,Zinfandel,Declaration: Zinfandel (Class),TP,matched pred AX5
AX34-pred,pred,Class,Declaration,Zinfandel,Declaration: Zinfandel (Class),-,-
AX40-gold,gold,Class,Declaration,wine,Declaration: wine (Class),TP,matched pred AX21
AX40-pred,pred,Class,Declaration,wine,Declaration: wine (Class),-,-
AX41-gold,gold,Class,SubClassOf,wine,wine ⊑ ∃locatedIn.Region,FN,pred has no SubClassOf axiom on 'wine'
AX41-pred,pred,-,-,-,(no pred axiom on aligned subject),-,-
AX42-gold,gold,Class,SubClassOf,wine,wine ⊑ ≥1 madeFromGrape.⊤,FN,pred has no SubClassOf axiom on 'wine'
AX42-pred,pred,-,-,-,(no pred axiom on aligned subject),-,-
