term,role,cq_ids,aligned,aligned_to
action,class,CQ03; CQ24,true,condition
asset,class,CQ30; CQNew CQ1,true,asset
assetcollection,class,CQ30,false,
conflict strategy preference,class,CQNew CQ2,true,conflictresolutionstrategy
constraint,class,CQ13; CQ14; CQ21; CQ24; CQ26; CQNew CQ6,true,constraint
duty,class,CQ06; CQ10; CQ21; CQ31; CQNew CQ5,true,duty
logicalconstraint,class,CQ13; CQ14; CQ26,true,logicaloperator
operator,class,CQNew CQ6,true,operator
party,class,CQ06; CQ10,false,
permission,class,CQ03; CQ06; CQ24,true,permission
policy,class,CQ33; CQNew CQ1; CQNew CQ2,true,policy
prohibition,class,CQNew CQ3; CQNew CQ6,true,prohibition
rule,class,CQ31; CQNew CQ2; CQNew CQ3; CQNew CQ4,true,rule
and,property,CQ14,false,
andsequence,property,CQ31,false,
assignee,property,CQ06,false,
assigner,property,CQ06,false,
consequence,property,CQ31; CQNew CQ5,true,hasconsequence
failure,property,CQNew CQ4,true,fails
function,property,CQ06,false,
handlepolicyconflicts,property,CQNew CQ2,false,
hasaction,property,CQ03; CQ24,true,hasrole
hasconstraint,property,CQ13; CQ14; CQ21; CQ24; CQ26,true,hasconstraint
hasduty,property,CQ10,true,hasduty
hasoperator,property,CQ21; CQNew CQ6,true,hasoperator
haspermission,property,CQ03; CQ24,true,haspermission
hasprohibition,property,CQNew CQ6,true,hasright
inheritrelation,property,CQ33,false,
inheritsfrom,property,CQ33,true,inheritsfrom
obligation,property,CQ21,false,
onlyone,property,CQ14,false,
operand,property,CQ14,true,usesoperator
or,property,CQ14,false,
partof,property,CQ30,true,partof
relation,property,CQ30,false,
remedy,property,CQNew CQ3,true,hasremedy
scope,property,CQ30,true,hastype
target,property,CQ30,false,
targetpolicy,property,CQNew CQ1,false,
