prop_type,gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
ObjectProperty,has license,has license,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
ObjectProperty,has version,has version,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
ObjectProperty,is developed by,developed by,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9487; levenshtein=0.8462; semantic=0.9364; sequence_match=0.9167,False,0.9339,True,selected
ObjectProperty,has output,has output format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9200; levenshtein=0.6000; semantic=0.8329; sequence_match=0.7500,False,0.8343,True,selected
ObjectProperty,uses platform,has platform,semantic+sequence_match+jaro_winkler,jaro_winkler=0.7820; levenshtein=0.7500; semantic=0.8887; sequence_match=0.7826,False,0.8178,True,selected
ObjectProperty,has input,has input format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9143; levenshtein=0.5714; semantic=0.7945; sequence_match=0.7273,False,0.812,True,selected
ObjectProperty,implements,implemented in language,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8657; levenshtein=0.4286; semantic=0.7396; sequence_match=0.5806,False,0.7286,True,selected
ObjectProperty,has function,has documentation,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8213; levenshtein=0.5625; semantic=0.6451; sequence_match=0.6667,False,0.711,True,selected
ObjectProperty,is developed by,is developer of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9077; levenshtein=0.7692; semantic=0.8501; sequence_match=0.7692,False,0.8423,False,gold already mapped to 'developed by'
ObjectProperty,uses platform,is platform of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8333; levenshtein=0.5833; semantic=0.8227; sequence_match=0.7500,False,0.802,False,gold already mapped to 'has platform'
ObjectProperty,has license,is license of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8008; levenshtein=0.6364; semantic=0.7881; sequence_match=0.7619,False,0.7836,False,gold already mapped to 'has license'
ObjectProperty,has version,version of,semantic+sequence_match+jaro_winkler,jaro_winkler=0.7307; levenshtein=0.5000; semantic=0.8545; sequence_match=0.7368,False,0.774,False,gold already mapped to 'has version'
ObjectProperty,uses platform,uses algorithm,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8805; levenshtein=0.4615; semantic=0.6325; sequence_match=0.6400,False,0.7177,False,gold already mapped to 'has platform'
ObjectProperty,has interface,has input format,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8563; levenshtein=0.5000; semantic=0.5949; sequence_match=0.6154,False,0.6889,False,top-3 avg score 0.6889 < final_threshold 0.7
ObjectProperty,has clause,has license,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8115; levenshtein=0.5000; semantic=0.6169; sequence_match=0.6316,False,0.6866,False,top-3 avg score 0.6866 < final_threshold 0.7
ObjectProperty,is alternative format of,is export format of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7664; levenshtein=0.5714; semantic=0.6796; sequence_match=0.5946,False,0.6802,False,top-3 avg score 0.6802 < final_threshold 0.7
ObjectProperty,has output,version has output format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7290; levenshtein=0.4091; semantic=0.7025; sequence_match=0.5806,False,0.6707,False,top-3 avg score 0.6707 < final_threshold 0.7
ObjectProperty,has interface,has license,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8464; levenshtein=0.4167; semantic=0.6034; sequence_match=0.5455,False,0.6651,False,top-3 avg score 0.6651 < final_threshold 0.7
ObjectProperty,is alternative format of,is platform of,jaro_winkler+sequence_match+levenshtein,jaro_winkler=0.8023; levenshtein=0.5238; semantic=0.4827; sequence_match=0.6667,False,0.6643,False,top-3 avg score 0.6643 < final_threshold 0.7
ObjectProperty,has output,has documentation,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8169; levenshtein=0.3750; semantic=0.6113; sequence_match=0.5600,False,0.6627,False,top-3 avg score 0.6627 < final_threshold 0.7
ObjectProperty,has format specification,has documentation,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8069; levenshtein=0.4545; semantic=0.6004; sequence_match=0.5789,False,0.6621,False,top-3 avg score 0.6621 < final_threshold 0.7
ObjectProperty,has output,has input format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8449; levenshtein=0.4286; semantic=0.6085; sequence_match=0.5217,False,0.6584,False,top-3 avg score 0.6584 < final_threshold 0.7
ObjectProperty,has format specification,has output format,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6707; levenshtein=0.3636; semantic=0.8151; sequence_match=0.4865,False,0.6574,False,top-3 avg score 0.6574 < final_threshold 0.7
ObjectProperty,has input,version has input format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7103; levenshtein=0.3810; semantic=0.7085; sequence_match=0.5517,False,0.6569,False,top-3 avg score 0.6569 < final_threshold 0.7
ObjectProperty,has format specification,has input format,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6898; levenshtein=0.2727; semantic=0.7557; sequence_match=0.5000,False,0.6485,False,top-3 avg score 0.6485 < final_threshold 0.7
ObjectProperty,has output,output format of,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6984; levenshtein=0.2143; semantic=0.7042; sequence_match=0.5217,False,0.6414,False,top-3 avg score 0.6414 < final_threshold 0.7
ObjectProperty,is alternative format of,input format of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6991; levenshtein=0.4762; semantic=0.6340; sequence_match=0.5882,False,0.6404,False,top-3 avg score 0.6404 < final_threshold 0.7
ObjectProperty,has license,has version,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7933; levenshtein=0.3000; semantic=0.6209; sequence_match=0.5000,False,0.6381,False,top-3 avg score 0.6381 < final_threshold 0.7
ObjectProperty,has version,has license,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7933; levenshtein=0.3000; semantic=0.6209; sequence_match=0.5000,False,0.6381,False,top-3 avg score 0.6381 < final_threshold 0.7
ObjectProperty,has specified data output,has output format,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6535; levenshtein=0.2727; semantic=0.7590; sequence_match=0.4865,False,0.633,False,top-3 avg score 0.6330 < final_threshold 0.7
ObjectProperty,has function,has version,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6596; levenshtein=0.5455; semantic=0.6556; sequence_match=0.5714,False,0.6289,False,top-3 avg score 0.6289 < final_threshold 0.7
ObjectProperty,has input,has license,jaro_winkler+sequence_match+semantic,jaro_winkler=0.7958; levenshtein=0.4000; semantic=0.5326; sequence_match=0.5556,False,0.628,False,top-3 avg score 0.6280 < final_threshold 0.7
ObjectProperty,is alternative format of,output format of,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6302; levenshtein=0.4762; semantic=0.6735; sequence_match=0.5714,False,0.625,False,top-3 avg score 0.6250 < final_threshold 0.7
ObjectProperty,is alternative format of,is output format of version,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6942; levenshtein=0.3043; semantic=0.6267; sequence_match=0.5455,False,0.6221,False,top-3 avg score 0.6221 < final_threshold 0.7
ObjectProperty,has input,input format of,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6699; levenshtein=0.1538; semantic=0.7169; sequence_match=0.4762,False,0.621,False,top-3 avg score 0.6210 < final_threshold 0.7
ObjectProperty,uses software,uses algorithm,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6774; levenshtein=0.3077; semantic=0.7035; sequence_match=0.4800,False,0.6203,False,top-3 avg score 0.6203 < final_threshold 0.7
ObjectProperty,is alternative format of,is input format of version,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7638; levenshtein=0.3182; semantic=0.5816; sequence_match=0.5116,False,0.619,False,top-3 avg score 0.6190 < final_threshold 0.7
