Gold_term,Pre_term,Method,Score
Bordeaux,Bordeaux Wine,top3_avg(jaro_winkler+semantic+sequence_match),0.8591649876700508
RedBordeaux,Bordeaux Grape,top3_avg(jaro_winkler+semantic+sequence_match),0.7193283923115023
RedWine,Red Wine,hard_match,1.0
Region,Wine Region,top3_avg(jaro_winkler+semantic+sequence_match),0.7571598529815674
Vintage,Vintage,hard_match,1.0
VintageYear,Vintage Quality,top3_avg(jaro_winkler+semantic+sequence_match),0.7783106379614478
WhiteWine,White Wine,hard_match,1.0
WineBody,Body,top3_avg(levenshtein+semantic+sequence_match),0.6559632354312472
WineGrape,Grape,top3_avg(levenshtein+semantic+sequence_match),0.7158892208306247
WineSugar,Wine Vintage Quality,top3_avg(jaro_winkler+semantic+sequence_match),0.6061891837725563
WineTaste,Wine Characteristic,top3_avg(jaro_winkler+semantic+sequence_match),0.7136719334272691
Zinfandel,Zinfandel,hard_match,1.0
wine,Wine,hard_match,1.0
