PropertyType,GoldPredicate,PredPredicate,GoldPredicateNorm,PredPredicateNorm,GoldType,PredType,TypeVerdict,GoldDomain,PredDomain,GoldDomainNorm,PredDomainNorm,DomainStatus,GoldRange,PredRange,GoldRangeNorm,PredRangeNorm,RangeStatus,FullMatch,Note
DatatypeProperty,has documentation,has documentation URL,hasdocumentation,hasdocumentationurl,DatatypeProperty,DatatypeProperty,tp,,Software,,software,fp,xsd:string,xsd:anyuri,xsdstring,xsdanyuri,mismatch,NO,
DatatypeProperty,has download location,has download URL,hasdownloadlocation,hasdownloadurl,DatatypeProperty,DatatypeProperty,tp,,Software,,software,fp,xsd:string,xsd:anyuri,xsdstring,xsdanyuri,mismatch,NO,
DatatypeProperty,has release date,has release date,hasreleasedate,hasreleasedate,DatatypeProperty,DatatypeProperty,tp,,Software,,software,fp,xsd:string,xsd:date,xsdstring,xsddate,mismatch,NO,
DatatypeProperty,has support URL,has support URL,hassupporturl,hassupporturl,DatatypeProperty,DatatypeProperty,tp,,Software,,software,fp,xsd:http://www.w3.org/2000/01/rdf-schema#literal,xsd:anyuri,literal,xsdanyuri,mismatch,NO,
DatatypeProperty,has website homepage,has homepage URL,haswebsitehomepage,hashomepageurl,DatatypeProperty,DatatypeProperty,tp,,Software,,software,fp,xsd:http://www.w3.org/2000/01/rdf-schema#literal,xsd:anyuri,literal,xsdanyuri,mismatch,NO,
ObjectProperty,has input,has input format,hasinput,hasinputformat,ObjectProperty,ObjectProperty,tp,,Software,,software,fp,,Data Format,,dataformat,fp,NO,
ObjectProperty,has license,has license,haslicense,haslicense,ObjectProperty,ObjectProperty,tp,,Software,,software,fp,,License,,license,fp,NO,
ObjectProperty,has output,has output format,hasoutput,hasoutputformat,ObjectProperty,ObjectProperty,tp,,Software,,software,fp,,Data Format,,dataformat,fp,NO,
ObjectProperty,has version,has version,hasversion,hasversion,ObjectProperty,ObjectProperty,tp,,Software,,software,fp,version number,Software Version,versionnumber,softwareversion,mismatch,NO,
ObjectProperty,implements,implemented in,implements,implementedin,ObjectProperty,ObjectProperty,tp,,Software,,software,fp,algorithm,Programming Language,algorithm,programminglanguage,mismatch,NO,
ObjectProperty,is developed by,developed by,isdevelopedby,developedby,ObjectProperty,ObjectProperty,tp,,Software,,software,fp,,Developer,,developer,fp,NO,
ObjectProperty,uses platform,runs on platform,usesplatform,runsonplatform,ObjectProperty,ObjectProperty,tp,,Software,,software,fp,,Platform,,platform,fp,NO,
ObjectProperty,uses software,has software type,usessoftware,hassoftwaretype,ObjectProperty,ObjectProperty,tp,SWO_0000001,Software,swo0000001,software,mismatch,SWO_0000001,Software Type,swo0000001,softwaretype,mismatch,NO,
