id,source,term_type,axiom_type,term,dl,status,note
AX1-gold,gold,Class,SubClassOf,AssetCollection,AssetCollection ⊑ Asset,Skip,subject 'AssetCollection' not in alignment table
AX1-pred,pred,-,-,-,(subject not in alignment table),-,-
AX2-gold,gold,Class,DisjointClasses,Duty,"DisjointClasses(Duty, Permission)",FN,pred has no DisjointClasses axiom on 'Right Duty'
AX2-pred,pred,-,-,-,(no pred axiom on aligned subject),-,-
AX3-gold,gold,Class,DisjointClasses,Duty,"DisjointClasses(Duty, Prohibition)",FN,pred has no DisjointClasses axiom on 'Right Duty'
AX3-pred,pred,-,-,-,(no pred axiom on aligned subject),-,-
AX4-gold,gold,Class,SubClassOf,Duty,Duty ⊑ Rule,FN,pred has no SubClassOf axiom on 'Right Duty'
AX4-pred,pred,-,-,-,(no pred axiom on aligned subject),-,-
AX5-gold,gold,Class,DisjointClasses,Permission,"DisjointClasses(Permission, Prohibition)",FN,pred has no DisjointClasses axiom on 'Permission Duty'
AX5-pred,pred,-,-,-,(no pred axiom on aligned subject),-,-
AX6-gold,gold,Class,SubClassOf,Permission,Permission ⊑ Rule,Mismatch,pred AX30 differs: class 'Rule' not aligned to 'Right Duty'
AX6-pred,pred,Class,SubClassOf,Permission Duty,Permission Duty ⊑ Right Duty,-,-
AX7-gold,gold,Class,SubClassOf,Prohibition,Prohibition ⊑ Rule,Mismatch,pred AX33 differs: class 'Rule' not aligned to 'Permission Duty'
AX7-pred,pred,Class,SubClassOf,Prohibition,Prohibition ⊑ Permission Duty,-,-
AX8-gold,gold,ObjectProperty,Domain,action,∃action.⊤ ⊑ (Policy ⊔ Rule),Skip,subject 'action' not in alignment table
AX8-pred,pred,-,-,-,(subject not in alignment table),-,-
AX9-gold,gold,ObjectProperty,Range,action,⊤ ⊑ ∀action.Action,Skip,subject 'action' not in alignment table
AX9-pred,pred,-,-,-,(subject not in alignment table),-,-
AX10-gold,gold,ObjectProperty,SubPropertyOf,and,and ⊑ operand,Skip,subject 'and' not in alignment table
AX10-pred,pred,-,-,-,(subject not in alignment table),-,-
AX11-gold,gold,ObjectProperty,SubPropertyOf,andSequence,andSequence ⊑ operand,Skip,subject 'andSequence' not in alignment table
AX11-pred,pred,-,-,-,(subject not in alignment table),-,-
AX12-gold,gold,ObjectProperty,Domain,assignee,∃assignee.⊤ ⊑ (Policy ⊔ Rule),Skip,subject 'assignee' not in alignment table
AX12-pred,pred,-,-,-,(subject not in alignment table),-,-
AX13-gold,gold,ObjectProperty,Range,assignee,⊤ ⊑ ∀assignee.Party,Skip,subject 'assignee' not in alignment table
AX13-pred,pred,-,-,-,(subject not in alignment table),-,-
AX14-gold,gold,ObjectProperty,SubPropertyOf,assignee,assignee ⊑ function,Skip,subject 'assignee' not in alignment table
AX14-pred,pred,-,-,-,(subject not in alignment table),-,-
