Gold_term,Pre_term,Method,Score
actuator,actuator,hard_match,1.0000
chemicalproperty,chemicalproperty,hard_match,1.0000
measurement,measurement,hard_match,1.0000
sensor,sensor,hard_match,1.0000
tariff,tariff,hard_match,1.0000
temporal entity,temporalsetting,top3_avg(jaro_winkler+semantic+sequence_match),0.8384
water,water,hard_match,1.0000
water asset,asset,top3_avg(semantic+sequence_match+jaro_winkler),0.7019
water infrastructure,waterinfrastructure,hard_match,1.0000
water meter,watermeter,hard_match,1.0000
