role,gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
property,haspermission,haspermission,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0000,True,selected
property,hasduty,hasduty,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0000,True,selected
property,hasconstraint,hasconstraint,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0000,True,selected
property,hasoperator,hasoperator,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0000,True,selected
property,inheritsfrom,inheritsfrom,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0000,True,selected
property,partof,ispartof,jaro_winkler+sequence_match+semantic,jaro_winkler=0.9167; levenshtein=0.7500; semantic=0.8314; sequence_match=0.8571,False,0.8684,True,selected
property,consequence,isconsequenceof,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8505; levenshtein=0.7333; semantic=0.8273; sequence_match=0.8462,False,0.8413,True,selected
property,failure,fails,semantic+jaro_winkler+sequence_match,jaro_winkler=0.8743; levenshtein=0.5714; semantic=0.9182; sequence_match=0.6667,False,0.8197,True,selected
property,remedy,isremedyfor,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8485; levenshtein=0.5455; semantic=0.8465; sequence_match=0.7059,False,0.8003,True,selected
property,hasprohibition,haspermissionduty,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8205; levenshtein=0.4118; semantic=0.6848; sequence_match=0.5806,False,0.6953,True,selected
property,scope,isoftype,jaro_winkler+sequence_match+semantic,jaro_winkler=0.7667; levenshtein=0.3750; semantic=0.5855; sequence_match=0.6154,False,0.6559,True,selected
property,operand,usesoperator,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6437; levenshtein=0.4167; semantic=0.7147; sequence_match=0.5263,False,0.6282,True,selected
property,hasaction,hasrole,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6720; levenshtein=0.3333; semantic=0.7063; sequence_match=0.5000,False,0.6261,True,selected
property,haspermission,haspermissionduty,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9529; levenshtein=0.7647; semantic=0.8740; sequence_match=0.8667,False,0.8979,False,gold already mapped to 'haspermission'
property,hasconstraint,hasnestedconstraint,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8366; levenshtein=0.6842; semantic=0.8277; sequence_match=0.8125,False,0.8256,False,gold already mapped to 'hasconstraint'
property,hasoperator,usesoperator,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8190; levenshtein=0.7500; semantic=0.7978; sequence_match=0.7826,False,0.7998,False,gold already mapped to 'hasoperator'
property,inheritrelation,inheritsfrom,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8700; levenshtein=0.5333; semantic=0.7857; sequence_match=0.6667,False,0.7741,False,pred already taken by 'inheritsfrom' (higher averaged score)
property,hasprohibition,haspermission,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8448; levenshtein=0.5714; semantic=0.6494; sequence_match=0.6667,False,0.7203,False,pred already taken by 'haspermission' (higher averaged score)
property,hasoperator,hasrole,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8217; levenshtein=0.3636; semantic=0.6487; sequence_match=0.5556,False,0.6753,False,gold already mapped to 'hasoperator'
property,hasaction,hasconstraint,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8260; levenshtein=0.3846; semantic=0.6452; sequence_match=0.5455,False,0.6722,False,pred already taken by 'hasconstraint' (higher averaged score)
property,andsequence,isconsequenceof,jaro_winkler+sequence_match+semantic,jaro_winkler=0.7690; levenshtein=0.5333; semantic=0.5522; sequence_match=0.6923,False,0.6712,False,pred already taken by 'consequence' (higher averaged score)
property,hasconstraint,contains,jaro_winkler+sequence_match+semantic,jaro_winkler=0.7051; levenshtein=0.5385; semantic=0.6401; sequence_match=0.6667,False,0.6706,False,gold already mapped to 'hasconstraint'
property,hasprohibition,hasright,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8208; levenshtein=0.4286; semantic=0.6242; sequence_match=0.5455,False,0.6635,False,gold already mapped to 'haspermissionduty'
property,haspermission,hasoperator,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8075; levenshtein=0.4615; semantic=0.5869; sequence_match=0.5833,False,0.6592,False,gold already mapped to 'haspermission'
property,hasoperator,haspermission,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8075; levenshtein=0.4615; semantic=0.5869; sequence_match=0.5833,False,0.6592,False,gold already mapped to 'hasoperator'
