id,source,term_type,axiom_type,term,dl,status,note
AX1-gold,gold,Class,SubClassOf,CarnivorousPlant,CarnivorousPlant ⊑ plant,FN,pred has no SubClassOf axiom on 'Carnivorous Plant'
AX1-pred,pred,-,-,-,(no pred axiom on aligned subject),-,-
AX2-gold,gold,Class,SubClassOf,CarnivorousPlant,CarnivorousPlant ⊑ ∃eats.animal,FN,pred has no SubClassOf axiom on 'Carnivorous Plant'
AX2-pred,pred,-,-,-,(no pred axiom on aligned subject),-,-
AX3-gold,gold,Class,DisjointClasses,Omnivore,"DisjointClasses(Omnivore, carnivore)",FN,pred has no DisjointClasses axiom on 'Omnivore'
AX3-pred,pred,-,-,-,(no pred axiom on aligned subject),-,-
AX4-gold,gold,Class,DisjointClasses,Omnivore,"DisjointClasses(Omnivore, herbivore)",FN,pred has no DisjointClasses axiom on 'Omnivore'
AX4-pred,pred,-,-,-,(no pred axiom on aligned subject),-,-
AX5-gold,gold,Class,EquivalentClasses,Omnivore,Omnivore ≡ (∃eats.animal ⊓ ∃eats.plant ⊓ ∃eats.(∃is-part-of.animal ⊔ ∃is-part-of.plant)),Mismatch,pred AX14 differs: ObjectIntersectionOf: gold operand #1 has no match in pred (pred operand #0: expr_type ObjectSomeValuesFrom vs Class; pred operand #2: filler differs: expr_type Class vs ObjectUnionOf)
AX5-pred,pred,Class,EquivalentClasses,Omnivore,Omnivore ≡ (Animal ⊓ ∃eats.Animal ⊓ ∃eats.(Plant ⊔ Plant Part)),-,-
AX6-gold,gold,Class,SubClassOf,Omnivore,Omnivore ⊑ animal,FN,pred has no SubClassOf axiom on 'Omnivore'
AX6-pred,pred,-,-,-,(no pred axiom on aligned subject),-,-
AX7-gold,gold,Class,SubClassOf,PlantParts,PlantParts ⊑ ∃is-proper-part-of.plant,FN,pred has no SubClassOf axiom on 'Plant Part'
AX7-pred,pred,-,-,-,(no pred axiom on aligned subject),-,-
AX8-gold,gold,Class,DisjointClasses,animal,"DisjointClasses(animal, plant)",TP,matched pred AX2
AX8-pred,pred,Class,DisjointClasses,Animal,"DisjointClasses(Animal, Plant)",-,-
AX9-gold,gold,Class,DisjointClasses,carnivore,"DisjointClasses(carnivore, herbivore)",TP,matched pred AX5
AX9-pred,pred,Class,DisjointClasses,Carnivore,"DisjointClasses(Carnivore, Herbivore)",-,-
AX10-gold,gold,Class,EquivalentClasses,carnivore,carnivore ≡ (∀eats.animal ⊔ ∀eats.∃is-part-of.animal),Mismatch,pred AX7 differs: expr_type ObjectUnionOf vs ObjectIntersectionOf
AX10-pred,pred,Class,EquivalentClasses,Carnivore,Carnivore ≡ (Animal ⊓ ∀eats.Animal ⊓ ∃eats.Animal),-,-
AX11-gold,gold,Class,SubClassOf,carnivore,carnivore ⊑ animal,FN,pred has no SubClassOf axiom on 'Carnivore'
AX11-pred,pred,-,-,-,(no pred axiom on aligned subject),-,-
AX12-gold,gold,Class,EquivalentClasses,herbivore,herbivore ≡ (∀eats.plant ⊔ ∀eats.∃is-part-of.plant),Mismatch,pred AX12 differs: expr_type ObjectUnionOf vs ObjectIntersectionOf
AX12-pred,pred,Class,EquivalentClasses,Herbivore,Herbivore ≡ (Animal ⊓ ∀eats.(Plant ⊔ Plant Part) ⊓ ∃eats.(Plant ⊔ Plant Part)),-,-
AX13-gold,gold,Class,SubClassOf,herbivore,herbivore ⊑ animal,FN,pred has no SubClassOf axiom on 'Herbivore'
AX13-pred,pred,-,-,-,(no pred axiom on aligned subject),-,-
AX14-gold,gold,Class,SubClassOf,lion,lion ⊑ animal,Skip,subject 'lion' not in alignment table
AX14-pred,pred,-,-,-,(subject not in alignment table),-,-
AX15-gold,gold,Class,SubClassOf,lion,lion ⊑ ∀eats.herbivore,Skip,subject 'lion' not in alignment table
AX15-pred,pred,-,-,-,(subject not in alignment table),-,-
AX16-gold,gold,ObjectProperty,InverseOf,eaten-by,eaten-by ≡ eats⁻,Skip,subject 'eaten-by' not in alignment table
AX16-pred,pred,-,-,-,(subject not in alignment table),-,-
AX17-gold,gold,ObjectProperty,InverseOf,eats,eats ≡ eaten-by⁻,FN,pred has no InverseOf axiom on 'eats'
AX17-pred,pred,-,-,-,(no pred axiom on aligned subject),-,-
AX18-gold,gold,ObjectProperty,Range,eats,⊤ ⊑ ∀eats.(animal ⊔ plant ⊔ ∃is-part-of.animal ⊔ ∃is-part-of.plant),FN,pred has no Range axiom on 'eats'
AX18-pred,pred,-,-,-,(no pred axiom on aligned subject),-,-
AX19-gold,gold,ObjectProperty,Characteristics,has-part,Transitive(has-part),Skip,subject 'has-part' not in alignment table
AX19-pred,pred,-,-,-,(subject not in alignment table),-,-
AX20-gold,gold,ObjectProperty,InverseOf,has-part,has-part ≡ is-part-of⁻,Skip,subject 'has-part' not in alignment table
AX20-pred,pred,-,-,-,(subject not in alignment table),-,-
AX21-gold,gold,ObjectProperty,Characteristics,is-part-of,Transitive(is-part-of),Skip,subject 'is-part-of' not in alignment table
AX21-pred,pred,-,-,-,(subject not in alignment table),-,-
AX22-gold,gold,ObjectProperty,Characteristics,is-part-of,Reflexive(is-part-of),Skip,subject 'is-part-of' not in alignment table
AX22-pred,pred,-,-,-,(subject not in alignment table),-,-
AX23-gold,gold,ObjectProperty,InverseOf,is-part-of,is-part-of ≡ has-part⁻,Skip,subject 'is-part-of' not in alignment table
AX23-pred,pred,-,-,-,(subject not in alignment table),-,-
AX24-gold,gold,ObjectProperty,Characteristics,is-proper-part-of,Irreflexive(is-proper-part-of),Skip,subject 'is-proper-part-of' not in alignment table
AX24-pred,pred,-,-,-,(subject not in alignment table),-,-
AX25-gold,gold,ObjectProperty,SubPropertyOf,is-proper-part-of,is-proper-part-of ⊑ is-part-of,Skip,subject 'is-proper-part-of' not in alignment table
AX25-pred,pred,-,-,-,(subject not in alignment table),-,-
AX1-pred,pred,Class,Declaration,Animal,Declaration: Animal (Class),FP,pred Declaration axiom on 'Animal' not matched by any gold axiom on 'animal'
AX1-gold,gold,-,-,-,(no gold counterpart),-,-
AX3-pred,pred,Class,DisjointClasses,Animal,"DisjointClasses(Animal, Plant Part)",FP,pred DisjointClasses axiom on 'Animal' not matched by any gold axiom on 'animal'
AX3-gold,gold,-,-,-,(no gold counterpart),-,-
AX4-pred,pred,Class,Declaration,Carnivore,Declaration: Carnivore (Class),FP,pred Declaration axiom on 'Carnivore' not matched by any gold axiom on 'carnivore'
AX4-gold,gold,-,-,-,(no gold counterpart),-,-
AX6-pred,pred,Class,DisjointClasses,Carnivore,"DisjointClasses(Carnivore, Omnivore)",FP,pred DisjointClasses axiom on 'Carnivore' not matched by any gold axiom on 'carnivore'
AX6-gold,gold,-,-,-,(no gold counterpart),-,-
AX8-pred,pred,Class,Declaration,Carnivorous Plant,Declaration: Carnivorous Plant (Class),FP,pred Declaration axiom on 'Carnivorous Plant' not matched by any gold axiom on 'CarnivorousPlant'
AX8-gold,gold,-,-,-,(no gold counterpart),-,-
AX9-pred,pred,Class,EquivalentClasses,Carnivorous Plant,Carnivorous Plant ≡ (Plant ⊓ ∃eats.Animal),FP,pred EquivalentClasses axiom on 'Carnivorous Plant' not matched by any gold axiom on 'CarnivorousPlant'
AX9-gold,gold,-,-,-,(no gold counterpart),-,-
AX10-pred,pred,Class,Declaration,Herbivore,Declaration: Herbivore (Class),FP,pred Declaration axiom on 'Herbivore' not matched by any gold axiom on 'herbivore'
AX10-gold,gold,-,-,-,(no gold counterpart),-,-
AX11-pred,pred,Class,DisjointClasses,Herbivore,"DisjointClasses(Herbivore, Omnivore)",FP,pred DisjointClasses axiom on 'Herbivore' not matched by any gold axiom on 'herbivore'
AX11-gold,gold,-,-,-,(no gold counterpart),-,-
AX13-pred,pred,Class,Declaration,Omnivore,Declaration: Omnivore (Class),FP,pred Declaration axiom on 'Omnivore' not matched by any gold axiom on 'Omnivore'
AX13-gold,gold,-,-,-,(no gold counterpart),-,-
AX15-pred,pred,Class,Declaration,Plant,Declaration: Plant (Class),FP,pred Declaration axiom on 'Plant' not matched by any gold axiom on 'plant'
AX15-gold,gold,-,-,-,(no gold counterpart),-,-
AX16-pred,pred,Class,DisjointClasses,Plant,"DisjointClasses(Plant, Plant Part)",FP,pred DisjointClasses axiom on 'Plant' not matched by any gold axiom on 'plant'
AX16-gold,gold,-,-,-,(no gold counterpart),-,-
AX17-pred,pred,Class,Declaration,Plant Part,Declaration: Plant Part (Class),FP,pred Declaration axiom on 'Plant Part' not matched by any gold axiom on 'PlantParts'
AX17-gold,gold,-,-,-,(no gold counterpart),-,-
AX18-pred,pred,ObjectProperty,Declaration,eats,Declaration: eats (ObjectProperty),FP,pred Declaration axiom on 'eats' not matched by any gold axiom on 'eats'
AX18-gold,gold,-,-,-,(no gold counterpart),-,-
