cq_id,covered,fully_covered,n_tp,n_axioms,rate,tp_axiom_ids,missing_axiom_ids
CQ04,false,false,0,4,0.0000,,AX21;AX61;AX62;AX74
CQ05,false,false,0,4,0.0000,,AX21;AX61;AX62;AX74
CQ06,false,false,0,11,0.0000,,AX19;AX20;AX42;AX69;AX70;AX74;AX78;AX80;AX81;AX82;AX83
CQ07,false,false,0,7,0.0000,,AX22;AX23;AX27;AX45;AX46;AX74;AX77
CQ08,false,false,0,4,0.0000,,AX16;AX69;AX70;AX74
CQ11,false,false,0,6,0.0000,,AX45;AX46;AX74;AX77;AX85;AX86
CQ14,false,false,0,7,0.0000,,AX7;AX28;AX53;AX54;AX69;AX70;AX74
CQ15,false,false,0,5,0.0000,,AX25;AX26;AX53;AX54;AX74
CQ16,false,false,0,7,0.0000,,AX25;AX26;AX51;AX52;AX69;AX70;AX74
CQ17,false,false,0,9,0.0000,,AX38;AX39;AX40;AX41;AX51;AX52;AX53;AX54;AX74
CQ19,false,false,0,5,0.0000,,AX2;AX3;AX51;AX52;AX74
CQ21,false,false,0,2,0.0000,,AX44;AX74
CQ22,false,false,0,19,0.0000,,AX1;AX24;AX25;AX26;AX38;AX39;AX40;AX41;AX48;AX51;AX52;AX53;AX54;AX63;AX64;AX65;AX66;AX72;AX74
CQ23,false,false,0,22,0.0000,,AX24;AX25;AX26;AX38;AX39;AX40;AX41;AX48;AX51;AX52;AX53;AX54;AX63;AX64;AX65;AX66;AX70;AX74;AX80;AX81;AX82;AX83
CQ26,false,false,0,5,0.0000,,AX12;AX47;AX51;AX52;AX74
CQ29,false,false,0,11,0.0000,,AX25;AX26;AX44;AX48;AX51;AX52;AX53;AX54;AX57;AX58;AX74
CQ30,false,false,0,8,0.0000,,AX35;AX36;AX37;AX55;AX56;AX59;AX60;AX74
CQ32,false,false,0,3,0.0000,,AX55;AX56;AX74
CQ36,false,false,0,4,0.0000,,AX67;AX74;AX75;AX76
CQ37,false,false,0,4,0.0000,,AX36;AX59;AX60;AX74
CQ38,false,false,0,4,0.0000,,AX67;AX74;AX75;AX76
CQ40,false,false,0,6,0.0000,,AX35;AX36;AX37;AX55;AX56;AX74
CQ45,false,false,0,3,0.0000,,AX49;AX50;AX74
CQ46,false,false,0,6,0.0000,,AX4;AX8;AX9;AX31;AX32;AX74
CQ54,false,false,0,3,0.0000,,AX57;AX58;AX74
CQ55,false,false,0,7,0.0000,,AX29;AX42;AX43;AX57;AX58;AX74;AX84
CQ57,false,false,0,5,0.0000,,AX49;AX50;AX57;AX58;AX74
CQ58,false,false,0,10,0.0000,,AX12;AX13;AX14;AX15;AX18;AX47;AX67;AX74;AX75;AX76
CQ59,false,false,0,4,0.0000,,AX14;AX47;AX71;AX74
CQ60,false,false,0,7,0.0000,,AX12;AX13;AX14;AX15;AX18;AX47;AX74
CQ65,false,false,0,7,0.0000,,AX12;AX13;AX14;AX15;AX18;AX47;AX74
CQ68,false,false,0,9,0.0000,,AX5;AX6;AX10;AX11;AX17;AX30;AX47;AX71;AX74
CQ73,false,false,0,5,0.0000,,AX33;AX34;AX59;AX60;AX74
CQ84,false,false,0,5,0.0000,,AX26;AX39;AX68;AX73;AX74
CQ85,false,false,0,2,0.0000,,AX74;AX79
