role,gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
property,has fabrication number,hasfabricationnumber,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=0.9093; sequence_match=1.0000,True,1.0000,True,selected
property,has manufacturer,hasmanufacturer,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=0.9571; sequence_match=1.0000,True,1.0000,True,selected
property,has model,hasmodel,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=0.9241; sequence_match=1.0000,True,1.0000,True,selected
property,has version,hasversion,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=0.9590; sequence_match=1.0000,True,1.0000,True,selected
property,has firmware version,hasfirmwareversion,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=0.9377; sequence_match=1.0000,True,1.0000,True,selected
property,has duration,hasduration,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=0.9218; sequence_match=1.0000,True,1.0000,True,selected
property,has billing date,hasbillingdate,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=0.9337; sequence_match=1.0000,True,1.0000,True,selected
property,has billing period,hasbillingperiod,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=0.9195; sequence_match=1.0000,True,1.0000,True,selected
property,has hardware version,hashardwareversionnumber,jaro_winkler+sequence_match+levenshtein,jaro_winkler=0.9500; levenshtein=0.7500; semantic=0.6856; sequence_match=0.8571,False,0.8524,True,selected
property,has start timestamp,hasstartdatetime,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8968; levenshtein=0.6471; semantic=0.8228; sequence_match=0.7273,False,0.8157,True,selected
property,has period,hastariffperiod,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8548; levenshtein=0.6000; semantic=0.7117; sequence_match=0.7500,False,0.7722,True,selected
property,has property,haspower,jaro_winkler+sequence_match+levenshtein,jaro_winkler=0.8737; levenshtein=0.6364; semantic=0.6360; sequence_match=0.7368,False,0.7490,True,selected
property,has measurement,measures,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6905; levenshtein=0.5000; semantic=0.8723; sequence_match=0.6364,False,0.7330,True,selected
property,has geometry,hasgeolocation,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8273; levenshtein=0.5000; semantic=0.6842; sequence_match=0.5600,False,0.6905,True,selected
property,operates at radio frequency,hasradiofrequencylevel,jaro_winkler+sequence_match+semantic,jaro_winkler=0.7079; levenshtein=0.4583; semantic=0.6615; sequence_match=0.6957,False,0.6884,True,selected
property,has timestamp,hastemporalsetting,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6963; levenshtein=0.3889; semantic=0.6372; sequence_match=0.4667,False,0.6000,True,selected
property,has hardware version,hasfirmwareversion,jaro_winkler+levenshtein+sequence_match,jaro_winkler=0.9067; levenshtein=0.8333; semantic=0.7306; sequence_match=0.8333,False,0.8578,False,pred already taken by 'has firmware version' (higher averaged score)
property,has billing date,hasbillingperiod,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9048; levenshtein=0.6250; semantic=0.8161; sequence_match=0.7333,False,0.8181,False,gold already mapped to 'hasbillingdate'
property,has billing period,hasbillingdate,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9048; levenshtein=0.6250; semantic=0.7708; sequence_match=0.7333,False,0.8030,False,gold already mapped to 'hasbillingperiod'
property,has firmware version,hasversion,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8496; levenshtein=0.5556; semantic=0.8101; sequence_match=0.7143,False,0.7913,False,gold already mapped to 'hasfirmwareversion'
property,has version,hasfirmwareversion,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8496; levenshtein=0.5556; semantic=0.7838; sequence_match=0.7143,False,0.7826,False,gold already mapped to 'hasversion'
property,has hardware version,hasversion,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8730; levenshtein=0.5556; semantic=0.7511; sequence_match=0.7143,False,0.7794,False,gold already mapped to 'hashardwareversionnumber'
property,has period,hasversion,jaro_winkler+sequence_match+levenshtein,jaro_winkler=0.8781; levenshtein=0.7000; semantic=0.5351; sequence_match=0.7368,False,0.7717,False,gold already mapped to 'hastariffperiod'
property,has period,hasbillingperiod,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8461; levenshtein=0.5625; semantic=0.7310; sequence_match=0.7200,False,0.7657,False,gold already mapped to 'hastariffperiod'
property,has firmware version,hashardwareversionnumber,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8114; levenshtein=0.6250; semantic=0.7521; sequence_match=0.7143,False,0.7593,False,gold already mapped to 'hasfirmwareversion'
property,has property,haschemicalproperty,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8593; levenshtein=0.5789; semantic=0.6122; sequence_match=0.7333,False,0.7350,False,gold already mapped to 'haspower'
property,has period,haspower,jaro_winkler+sequence_match+semantic,jaro_winkler=0.9020; levenshtein=0.4444; semantic=0.5899; sequence_match=0.7059,False,0.7326,False,gold already mapped to 'hastariffperiod'
property,makes measurement,measures,semantic+jaro_winkler+sequence_match,jaro_winkler=0.7375; levenshtein=0.4375; semantic=0.8766; sequence_match=0.5833,False,0.7325,False,pred already taken by 'has measurement' (higher averaged score)
property,has version,hashardwareversionnumber,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8406; levenshtein=0.4167; semantic=0.7606; sequence_match=0.5882,False,0.7298,False,gold already mapped to 'hasversion'
property,has version,hasduration,jaro_winkler+sequence_match+levenshtein,jaro_winkler=0.8452; levenshtein=0.6364; semantic=0.6071; sequence_match=0.6667,False,0.7161,False,gold already mapped to 'hasversion'
property,has duration,hasversion,jaro_winkler+sequence_match+levenshtein,jaro_winkler=0.8452; levenshtein=0.6364; semantic=0.5070; sequence_match=0.6667,False,0.7161,False,gold already mapped to 'hasduration'
property,has billing period,hastariffperiod,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8114; levenshtein=0.6250; semantic=0.6252; sequence_match=0.6452,False,0.6939,False,gold already mapped to 'hasbillingperiod'
property,has model,haspower,jaro_winkler+levenshtein+sequence_match,jaro_winkler=0.8250; levenshtein=0.6250; semantic=0.6134; sequence_match=0.6250,False,0.6917,False,gold already mapped to 'hasmodel'
property,has period,hasduration,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8162; levenshtein=0.5455; semantic=0.6486; sequence_match=0.6000,False,0.6882,False,gold already mapped to 'hastariffperiod'
property,has property,hasaspect,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8162; levenshtein=0.5455; semantic=0.5927; sequence_match=0.6000,False,0.6696,False,gold already mapped to 'haspower'
property,has fabrication number,hasmanufacturer,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8334; levenshtein=0.4000; semantic=0.7014; sequence_match=0.4571,False,0.6640,False,gold already mapped to 'hasfabricationnumber'
property,has version,haspower,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8094; levenshtein=0.3000; semantic=0.6146; sequence_match=0.5556,False,0.6599,False,gold already mapped to 'hasversion'
property,requires power,haspower,semantic+sequence_match+jaro_winkler,jaro_winkler=0.5705; levenshtein=0.4615; semantic=0.8286; sequence_match=0.5714,False,0.6569,False,pred already taken by 'has property' (higher averaged score)
property,has manufacturer,hasfabricationnumber,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8334; levenshtein=0.4000; semantic=0.6792; sequence_match=0.4571,False,0.6566,False,gold already mapped to 'hasmanufacturer'
property,has period,hasmodel,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8250; levenshtein=0.3333; semantic=0.5390; sequence_match=0.5882,False,0.6507,False,gold already mapped to 'hastariffperiod'
property,has fabrication number,hashardwareversionnumber,sequence_match+jaro_winkler+levenshtein,jaro_winkler=0.6806; levenshtein=0.5833; semantic=0.5081; sequence_match=0.6818,False,0.6486,False,gold already mapped to 'hasfabricationnumber'
