gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
Asset,Asset,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
Constraint,Constraint,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
Duty,Duty,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
Operator,Operator,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
Permission,Permission,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
Policy,Policy,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
Prohibition,Prohibition,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
Rule,Rule,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
LogicalConstraint,Or Constraint,semantic+sequence_match+jaro_winkler,jaro_winkler=0.7334; levenshtein=0.6471; semantic=0.7903; sequence_match=0.7586,False,0.7608,True,selected
Action,Negation,jaro_winkler+sequence_match+levenshtein,jaro_winkler=0.8194; levenshtein=0.5000; semantic=0.4445; sequence_match=0.7143,False,0.6779,True,selected
ConflictTerm,Conflict Resolution Strategy,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8498; levenshtein=0.3846; semantic=0.6170; sequence_match=0.5263,False,0.6644,True,selected
Party,Contract Party,semantic+sequence_match+jaro_winkler,jaro_winkler=0.4991; levenshtein=0.3846; semantic=0.7685; sequence_match=0.5556,False,0.6077,True,selected
