Gold_term,Pre_term,Method,Score
release date,release date,hard_match,1.0
start time,has time,top3_avg(jaro_winkler+semantic+sequence_match),0.7183
username,has username,top3_avg(jaro_winkler+semantic+sequence_match),0.8593
has achievement,game has achievement,top3_avg(jaro_winkler+semantic+sequence_match),0.8401
has game genre,has genre,top3_avg(jaro_winkler+semantic+sequence_match),0.8484
has item,game has item,top3_avg(jaro_winkler+semantic+sequence_match),0.7819
has playing area,game has playing area,top3_avg(levenshtein+semantic+sequence_match),0.8449
lives in,lives in,hard_match,1.0
owns achievement,player has achievement,top3_avg(jaro_winkler+semantic+sequence_match),0.7183
plays game,plays game,hard_match,1.0
