Gold_term,Pre_term,Method,Score
Bordeaux,Bordeaux,hard_match,1.0
RedBordeaux,Red,top3_avg(jaro_winkler+semantic+sequence_match),0.7088949623390021
RedWine,Red Wine,hard_match,1.0
VintageYear,Vintage Year,hard_match,1.0
WhiteBordeaux,White,top3_avg(jaro_winkler+semantic+sequence_match),0.7561324523385095
WhiteWine,White Wine,hard_match,1.0
WineBody,Body,top3_avg(levenshtein+semantic+sequence_match),0.6559632354312472
WineColor,Color,top3_avg(levenshtein+semantic+sequence_match),0.6983351959753289
WineGrape,Grape Varietal,top3_avg(jaro_winkler+semantic+sequence_match),0.6084636622869546
Zinfandel,Napa Zinfandel,top3_avg(jaro_winkler+semantic+sequence_match),0.8123313760207868
wine,Wine,hard_match,1.0
