Gold_term,Pre_term,Method,Score
has documentation,documentation URL,top3_avg(jaro_winkler+semantic+sequence_match),0.803
has release date,last release date,top3_avg(jaro_winkler+levenshtein+sequence_match),0.8812
has support URL,support email,top3_avg(jaro_winkler+semantic+sequence_match),0.7161
has input,has input format,top3_avg(jaro_winkler+semantic+sequence_match),0.812
has license,has license,hard_match,1.0
has output,has output format,top3_avg(jaro_winkler+semantic+sequence_match),0.8343
has version,has version,hard_match,1.0
implements,implemented in,top3_avg(jaro_winkler+semantic+sequence_match),0.8446
is developed by,is developer of,top3_avg(jaro_winkler+semantic+sequence_match),0.8423
is software for,is software type of,top3_avg(jaro_winkler+semantic+sequence_match),0.8329
uses platform,runs on platform,top3_avg(jaro_winkler+semantic+sequence_match),0.7906
uses software,has software type,top3_avg(jaro_winkler+semantic+sequence_match),0.7257
