Gold_term,Pre_term,Method,Score
Achievement,Achievement,hard_match,1.0
Collection,Location,top3_avg(jaro_winkler+semantic+sequence_match),0.63118076803823
Completion,Milestone,top3_avg(jaro_winkler+semantic+sequence_match),0.6892959113241869
Game,Game,hard_match,1.0
Genre,Genre,hard_match,1.0
Item,Item,hard_match,1.0
Player,Player,hard_match,1.0
Session,Game Play Session,top3_avg(jaro_winkler+semantic+sequence_match),0.6280839970674922
in-app purchase event,In App Purchase,top3_avg(jaro_winkler+semantic+sequence_match),0.886971868352081
playing area,Playing Area,hard_match,1.0
