gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
Asset,Asset,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
Constraint,Constraint,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
LogicalConstraint,Logical Constraint,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
Policy,Policy,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
Prohibition,Prohibition,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
Rule,Rule,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
Permission,Negated Permission,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8294; levenshtein=0.5882; semantic=0.8249; sequence_match=0.7407,False,0.7984,True,selected
ConflictTerm,Conflict Resolution Strategy,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8498; levenshtein=0.3846; semantic=0.6170; sequence_match=0.5263,False,0.6644,True,selected
Party,Party Role Assignment,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8526; levenshtein=0.2632; semantic=0.6748; sequence_match=0.4167,False,0.648,True,selected
Action,Condition,sequence_match+jaro_winkler+semantic,jaro_winkler=0.6630; levenshtein=0.4444; semantic=0.5670; sequence_match=0.6667,False,0.6322,True,selected
Constraint,Or Constraint,sequence_match+jaro_winkler+levenshtein,jaro_winkler=0.8444; levenshtein=0.8333; semantic=0.8287; sequence_match=0.9091,False,0.8623,False,gold already mapped to 'Constraint'
