prop_type,gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
ObjectProperty,hasBody,has body,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
ObjectProperty,hasColor,has color,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
ObjectProperty,hasVintageYear,has vintage year,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
ObjectProperty,madeFromGrape,made from grape,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
ObjectProperty,hasVintageYear,is vintage year of,semantic+sequence_match+jaro_winkler,jaro_winkler=0.7746; levenshtein=0.7333; semantic=0.9233; sequence_match=0.8276,False,0.8418,False,gold already mapped to 'has vintage year'
ObjectProperty,hasColor,is color of,semantic+jaro_winkler+sequence_match,jaro_winkler=0.8056; levenshtein=0.5556; semantic=0.8204; sequence_match=0.7059,False,0.7773,False,gold already mapped to 'has color'
ObjectProperty,hasVintageYear,has good vintage,semantic+jaro_winkler+sequence_match,jaro_winkler=0.7967; levenshtein=0.4286; semantic=0.8142; sequence_match=0.7143,False,0.7751,False,gold already mapped to 'has vintage year'
ObjectProperty,hasBody,is body of,semantic+jaro_winkler+sequence_match,jaro_winkler=0.7798; levenshtein=0.5000; semantic=0.7903; sequence_match=0.6667,False,0.7456,False,gold already mapped to 'has body'
ObjectProperty,hasFlavor,has color,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8250; levenshtein=0.5556; semantic=0.6852; sequence_match=0.7059,False,0.7387,False,pred already taken by 'hasColor'
ObjectProperty,hasBody,has bouquet,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8429; levenshtein=0.5000; semantic=0.6380; sequence_match=0.5882,False,0.6897,False,top-3 avg score 0.6897 < final_threshold 0.7
ObjectProperty,hasVintageYear,is good vintage for,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6240; levenshtein=0.4375; semantic=0.8322; sequence_match=0.6000,False,0.6854,False,top-3 avg score 0.6854 < final_threshold 0.7
ObjectProperty,hasBody,has color,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6905; levenshtein=0.5000; semantic=0.6722; sequence_match=0.5333,False,0.632,False,top-3 avg score 0.6320 < final_threshold 0.7
ObjectProperty,hasColor,has body,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6905; levenshtein=0.5000; semantic=0.6722; sequence_match=0.5333,False,0.632,False,top-3 avg score 0.6320 < final_threshold 0.7
ObjectProperty,hasFlavor,has body,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6720; levenshtein=0.3333; semantic=0.6475; sequence_match=0.5000,False,0.6065,False,top-3 avg score 0.6065 < final_threshold 0.7
ObjectProperty,hasWineDescriptor,has vintage year,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6807; levenshtein=0.3529; semantic=0.6208; sequence_match=0.5161,False,0.6059,False,top-3 avg score 0.6059 < final_threshold 0.7
ObjectProperty,hasSugar,has color,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6667; levenshtein=0.5000; semantic=0.5763; sequence_match=0.5000,False,0.581,False,top-3 avg score 0.5810 < final_threshold 0.7
ObjectProperty,hasSugar,has vintage year,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6706; levenshtein=0.4286; semantic=0.5267; sequence_match=0.5455,False,0.5809,False,top-3 avg score 0.5809 < final_threshold 0.7
ObjectProperty,hasBody,has good vintage,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6905; levenshtein=0.3571; semantic=0.5697; sequence_match=0.4762,False,0.5788,False,top-3 avg score 0.5788 < final_threshold 0.7
ObjectProperty,hasColor,has bouquet,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6333; levenshtein=0.4000; semantic=0.6551; sequence_match=0.4444,False,0.5776,False,top-3 avg score 0.5776 < final_threshold 0.7
ObjectProperty,hasColor,has good vintage,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6607; levenshtein=0.2857; semantic=0.5951; sequence_match=0.4545,False,0.5701,False,top-3 avg score 0.5701 < final_threshold 0.7
ObjectProperty,hasFlavor,has vintage year,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6429; levenshtein=0.3571; semantic=0.6093; sequence_match=0.4348,False,0.5623,False,top-3 avg score 0.5623 < final_threshold 0.7
ObjectProperty,hasColor,has characteristic,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6397; levenshtein=0.2941; semantic=0.6426; sequence_match=0.4000,False,0.5608,False,top-3 avg score 0.5608 < final_threshold 0.7
ObjectProperty,hasFlavor,has characteristic,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6166; levenshtein=0.2941; semantic=0.6483; sequence_match=0.3846,False,0.5498,False,top-3 avg score 0.5498 < final_threshold 0.7
ObjectProperty,hasFlavor,has bouquet,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6148; levenshtein=0.3000; semantic=0.6067; sequence_match=0.4211,False,0.5475,False,top-3 avg score 0.5475 < final_threshold 0.7
ObjectProperty,hasSugar,has good vintage,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6607; levenshtein=0.2857; semantic=0.5253; sequence_match=0.4545,False,0.5468,False,top-3 avg score 0.5468 < final_threshold 0.7
ObjectProperty,hasWineDescriptor,has color,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6397; levenshtein=0.3529; semantic=0.5187; sequence_match=0.4800,False,0.5461,False,top-3 avg score 0.5461 < final_threshold 0.7
ObjectProperty,hasWineDescriptor,is vintage year of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6263; levenshtein=0.2353; semantic=0.5592; sequence_match=0.4375,False,0.541,False,top-3 avg score 0.5410 < final_threshold 0.7
ObjectProperty,hasWineDescriptor,is used in wine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6117; levenshtein=0.2353; semantic=0.6603; sequence_match=0.3448,False,0.5389,False,top-3 avg score 0.5389 < final_threshold 0.7
ObjectProperty,hasSugar,has bouquet,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6333; levenshtein=0.4000; semantic=0.5350; sequence_match=0.4444,False,0.5376,False,top-3 avg score 0.5376 < final_threshold 0.7
ObjectProperty,hasColor,has vintage year,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5952; levenshtein=0.2857; semantic=0.6473; sequence_match=0.3636,False,0.5354,False,top-3 avg score 0.5354 < final_threshold 0.7
ObjectProperty,hasVintageYear,has color,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5952; levenshtein=0.2857; semantic=0.6473; sequence_match=0.3636,False,0.5354,False,top-3 avg score 0.5354 < final_threshold 0.7
ObjectProperty,hasFlavor,has good vintage,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6429; levenshtein=0.2857; semantic=0.6025; sequence_match=0.3478,False,0.5311,False,top-3 avg score 0.5311 < final_threshold 0.7
ObjectProperty,hasBody,has vintage year,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6190; levenshtein=0.2857; semantic=0.5905; sequence_match=0.3810,False,0.5302,False,top-3 avg score 0.5302 < final_threshold 0.7
ObjectProperty,hasVintageYear,has body,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6190; levenshtein=0.2857; semantic=0.5905; sequence_match=0.3810,False,0.5302,False,top-3 avg score 0.5302 < final_threshold 0.7
ObjectProperty,hasFlavor,is color of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6296; levenshtein=0.2222; semantic=0.5134; sequence_match=0.4444,False,0.5292,False,top-3 avg score 0.5292 < final_threshold 0.7
ObjectProperty,hasWineDescriptor,has characteristic,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6255; levenshtein=0.3529; semantic=0.5353; sequence_match=0.4118,False,0.5242,False,top-3 avg score 0.5242 < final_threshold 0.7
ObjectProperty,hasSugar,has body,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6012; levenshtein=0.3750; semantic=0.5682; sequence_match=0.4000,False,0.5231,False,top-3 avg score 0.5231 < final_threshold 0.7
ObjectProperty,hasSugar,has characteristic,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6397; levenshtein=0.2941; semantic=0.5188; sequence_match=0.4000,False,0.5195,False,top-3 avg score 0.5195 < final_threshold 0.7
ObjectProperty,hasWineDescriptor,is characteristic of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6242; levenshtein=0.2222; semantic=0.5135; sequence_match=0.4000,False,0.5126,False,top-3 avg score 0.5126 < final_threshold 0.7
ObjectProperty,hasWineDescriptor,has good vintage,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5973; levenshtein=0.2941; semantic=0.5454; sequence_match=0.3871,False,0.5099,False,top-3 avg score 0.5099 < final_threshold 0.7
ObjectProperty,hasVintageYear,has characteristic,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5973; levenshtein=0.2941; semantic=0.5839; sequence_match=0.3226,False,0.5013,False,top-3 avg score 0.5013 < final_threshold 0.7
