Gold_term,Pre_term,Method,Score
consequence,hasconsequence,top3_avg(semantic+sequence_match+jaro_winkler),0.8917
hasaction,hasviolation,top3_avg(jaro_winkler+sequence_match+semantic),0.7332
hasconstraint,hasconstraint,hard_match,1.0000
hasduty,hasduty,hard_match,1.0000
hasoperator,hasoperator,hard_match,1.0000
haspermission,haspermission,hard_match,1.0000
hasprohibition,hasright,top3_avg(jaro_winkler+semantic+sequence_match),0.6635
inheritsfrom,inheritsfrom,hard_match,1.0000
partof,partof,hard_match,1.0000
remedy,hasremedy,top3_avg(jaro_winkler+semantic+sequence_match),0.8574
scope,hastype,top3_avg(semantic+jaro_winkler+sequence_match),0.6293
