Gold_term,Pre_term,Method,Score
.csv,CSV Format,top3_avg(jaro_winkler+semantic+sequence_match),0.7421204814204462
CEL ASCII format,CEL Format,top3_avg(jaro_winkler+semantic+sequence_match),0.8345208382324959
CEL binary format,Open Format,top3_avg(jaro_winkler+semantic+sequence_match),0.672743413536637
Development status,Developer,top3_avg(jaro_winkler+semantic+sequence_match),0.7358428734000532
algorithm,Algorithm,hard_match,1.0
data item,Data,top3_avg(jaro_winkler+semantic+sequence_match),0.7815332425965202
licence,License,top3_avg(jaro_winkler+levenshtein+semantic),0.9057853778203327
plain text file format,TXT Format,top3_avg(levenshtein+semantic+sequence_match),0.6447218946346962
programming language,Programming Language,hard_match,1.0
software,Software Type,top3_avg(jaro_winkler+semantic+sequence_match),0.8460435019599067
text editing,XML Editing,top3_avg(jaro_winkler+semantic+sequence_match),0.7581468802165848
version number,Version,top3_avg(jaro_winkler+semantic+sequence_match),0.8497086188732048
web service,Web Service,hard_match,1.0
