prop_type,gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
ObjectProperty,has license,has license,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
ObjectProperty,has version,has version,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
ObjectProperty,is developed by,was developed by,semantic+jaro_winkler+sequence_match,jaro_winkler=0.9267; levenshtein=0.8571; semantic=0.9511; sequence_match=0.8889,False,0.9223,True,selected
ObjectProperty,has input,has valid input,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9103; levenshtein=0.6154; semantic=0.8144; sequence_match=0.7619,False,0.8289,True,selected
ObjectProperty,implements,is implemented in,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8500; levenshtein=0.6000; semantic=0.7477; sequence_match=0.7200,False,0.7726,True,selected
ObjectProperty,has format specification,has format category,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8634; levenshtein=0.5000; semantic=0.7693; sequence_match=0.6667,False,0.7665,True,selected
ObjectProperty,has clause,has usage,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8856; levenshtein=0.5556; semantic=0.6683; sequence_match=0.7059,False,0.7533,True,selected
ObjectProperty,uses software,has software type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7833; levenshtein=0.5333; semantic=0.7271; sequence_match=0.6667,False,0.7257,True,selected
ObjectProperty,uses platform,uses algorithm,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8805; levenshtein=0.4615; semantic=0.6325; sequence_match=0.6400,False,0.7177,True,selected
ObjectProperty,has version,has version feature usage,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8909; levenshtein=0.4545; semantic=0.8196; sequence_match=0.6250,False,0.7785,False,gold already mapped to 'has version'
ObjectProperty,has clause,has tool usage,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8671; levenshtein=0.5000; semantic=0.5736; sequence_match=0.6667,False,0.7025,False,gold already mapped to 'has usage'
ObjectProperty,has output,can process output of,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6944; levenshtein=0.4444; semantic=0.7933; sequence_match=0.5926,False,0.6934,False,top-3 avg score 0.6934 < final_threshold 0.7
ObjectProperty,has clause,has license,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8115; levenshtein=0.5000; semantic=0.6169; sequence_match=0.6316,False,0.6866,False,top-3 avg score 0.6866 < final_threshold 0.7
ObjectProperty,has specified data input,has valid input,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6991; levenshtein=0.4762; semantic=0.7542; sequence_match=0.5882,False,0.6805,False,top-3 avg score 0.6805 < final_threshold 0.7
ObjectProperty,is developed by,has development model,jaro_winkler+sequence_match+semantic,jaro_winkler=0.7652; levenshtein=0.5263; semantic=0.6141; sequence_match=0.6250,False,0.6681,False,top-3 avg score 0.6681 < final_threshold 0.7
ObjectProperty,has interface,has license,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8464; levenshtein=0.4167; semantic=0.6034; sequence_match=0.5455,False,0.6651,False,top-3 avg score 0.6651 < final_threshold 0.7
ObjectProperty,is software for,has software type,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6530; levenshtein=0.6000; semantic=0.6819; sequence_match=0.6429,False,0.6593,False,top-3 avg score 0.6593 < final_threshold 0.7
