PropertyType,GoldPredicate,PredPredicate,GoldPredicateNorm,PredPredicateNorm,GoldType,PredType,TypeVerdict,GoldDomain,PredDomain,GoldDomainNorm,PredDomainNorm,DomainStatus,GoldRange,PredRange,GoldRangeNorm,PredRangeNorm,RangeStatus,FullMatch,Note
DatatypeProperty,has release date,has release date,hasreleasedate,hasreleasedate,DatatypeProperty,DatatypeProperty,tp,,Tool,,tool,fp,xsd:string,xsd:dateTime,xsdstring,xsddatetime,mismatch,NO,
DatatypeProperty,has support URL,has URL,hassupporturl,hasurl,DatatypeProperty,DatatypeProperty,tp,,Documentation,,documentation,fp,xsd:http://www.w3.org/2000/01/rdf-schema#literal,xsd:anyuri,literal,xsdanyuri,mismatch,NO,
DatatypeProperty,has website homepage,has homepage,haswebsitehomepage,hashomepage,DatatypeProperty,DatatypeProperty,tp,,Tool,,tool,fp,xsd:http://www.w3.org/2000/01/rdf-schema#literal,xsd:anyuri,literal,xsdanyuri,mismatch,NO,
ObjectProperty,has format specification,has modification,hasformatspecification,hasmodification,ObjectProperty,ObjectProperty,tp,data item,Algorithm,dataitem,algorithm,mismatch,data format specification,Modification,dataformatspecification,modification,mismatch,NO,
ObjectProperty,has function,has documentation,hasfunction,hasdocumentation,ObjectProperty,ObjectProperty,tp,,Tool,,tool,fp,function,Documentation,function,documentation,tp,NO,
ObjectProperty,has input,has input format,hasinput,hasinputformat,ObjectProperty,ObjectProperty,tp,,Tool,,tool,fp,,Data Format,,dataformat,fp,NO,
ObjectProperty,has license,has license,haslicense,haslicense,ObjectProperty,ObjectProperty,tp,,Tool,,tool,fp,,License,,license,fp,NO,
ObjectProperty,has output,has output format,hasoutput,hasoutputformat,ObjectProperty,ObjectProperty,tp,,Tool,,tool,fp,,Data Format,,dataformat,fp,NO,
ObjectProperty,has version,has version,hasversion,hasversion,ObjectProperty,ObjectProperty,tp,,Tool,,tool,fp,version number,Version,versionnumber,version,tp,NO,
ObjectProperty,implements,implemented in language,implements,implementedinlanguage,ObjectProperty,ObjectProperty,tp,,Tool,,tool,fp,algorithm,Programming Language,algorithm,programminglanguage,mismatch,NO,
ObjectProperty,is developed by,has developer,isdevelopedby,hasdeveloper,ObjectProperty,ObjectProperty,tp,,Tool,,tool,fp,,Developer,,developer,fp,NO,
ObjectProperty,uses platform,uses algorithm,usesplatform,usesalgorithm,ObjectProperty,ObjectProperty,tp,,Tool,,tool,fp,,Algorithm,,algorithm,fp,NO,
