side,dimension,sub,sup,status,raw_pred_sub,raw_pred_sup
gold,class,CarnivorousPlant,plant,FN,,
gold,class,Omnivore,animal,TP,,
gold,class,carnivore,animal,TP,,
gold,class,herbivore,animal,TP,,
gold,class,lion,animal,TP,,
gold,class,lion,carnivore,TP,,
pred,class,,,untranslated,Animal,Organism
pred,class,,,untranslated,Carnivore,Organism
pred,class,,,untranslated,Herbivore,Organism
pred,class,,,untranslated,Lion,Organism
pred,class,,,untranslated,Omnivore,Organism
pred,class,,,untranslated,Plant,Organism
gold,property,is-proper-part-of,has-part,FN,,
gold,property,is-proper-part-of,is-part-of,FN,,
pred,property,,,untranslated,eatsPlant,eats
pred,property,,,untranslated,eatsPlantPart,eats
