prop_type,gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
ObjectProperty,assignee,assignee,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
ObjectProperty,assigner,assigner,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
ObjectProperty,consequence,consequence,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
ObjectProperty,partOf,part of,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
ObjectProperty,remedy,remedy,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
ObjectProperty,target,target,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
ObjectProperty,inheritFrom,inherits from,jaro_winkler+sequence_match+levenshtein,jaro_winkler=0.9833; levenshtein=0.9167; semantic=0.8897; sequence_match=0.9565,False,0.9522,True,selected
ObjectProperty,constraint,constraint of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9667; levenshtein=0.8333; semantic=0.9358; sequence_match=0.9091,False,0.9372,True,selected
ObjectProperty,operator,operator of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9600; levenshtein=0.8000; semantic=0.9046; sequence_match=0.8889,False,0.9178,True,selected
ObjectProperty,conflict,conflict strategy,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9000; levenshtein=0.5000; semantic=0.7909; sequence_match=0.6667,False,0.7858,True,selected
ObjectProperty,assignee,assigner,jaro_winkler+sequence_match+levenshtein,jaro_winkler=0.9500; levenshtein=0.8750; semantic=0.8600; sequence_match=0.8750,False,0.9,False,gold already mapped to 'assignee'
ObjectProperty,assigner,assignee,jaro_winkler+sequence_match+levenshtein,jaro_winkler=0.9500; levenshtein=0.8750; semantic=0.8600; sequence_match=0.8750,False,0.9,False,gold already mapped to 'assigner'
ObjectProperty,constraint,has constraint,semantic+sequence_match+jaro_winkler,jaro_winkler=0.8231; levenshtein=0.7692; semantic=0.9340; sequence_match=0.8696,False,0.8755,False,gold already mapped to 'constraint of'
ObjectProperty,operator,has operator,semantic+sequence_match+jaro_winkler,jaro_winkler=0.8258; levenshtein=0.7273; semantic=0.9131; sequence_match=0.8421,False,0.8603,False,gold already mapped to 'operator of'
ObjectProperty,consequence,is consequence of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8505; levenshtein=0.7333; semantic=0.8490; sequence_match=0.8462,False,0.8485,False,gold already mapped to 'consequence'
ObjectProperty,target,is target of,semantic+jaro_winkler+sequence_match,jaro_winkler=0.8667; levenshtein=0.6000; semantic=0.8946; sequence_match=0.7500,False,0.8371,False,gold already mapped to 'target'
ObjectProperty,assigner,is assigner of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8472; levenshtein=0.6667; semantic=0.8334; sequence_match=0.8000,False,0.8269,False,gold already mapped to 'assigner'
ObjectProperty,assignee,is assignee of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8472; levenshtein=0.6667; semantic=0.8010; sequence_match=0.8000,False,0.8161,False,gold already mapped to 'assignee'
ObjectProperty,andSequence,consequence,jaro_winkler+sequence_match+levenshtein,jaro_winkler=0.8788; levenshtein=0.7273; semantic=0.5259; sequence_match=0.8182,False,0.8081,False,pred already taken by 'consequence'
ObjectProperty,remedy,is remedy of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8667; levenshtein=0.6000; semantic=0.7718; sequence_match=0.7500,False,0.7962,False,gold already mapped to 'remedy'
ObjectProperty,assignee,is assigner of,semantic+jaro_winkler+sequence_match,jaro_winkler=0.7718; levenshtein=0.5833; semantic=0.8614; sequence_match=0.7000,False,0.7777,False,gold already mapped to 'assignee'
ObjectProperty,inheritRelation,inherits from,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8700; levenshtein=0.5333; semantic=0.7653; sequence_match=0.6667,False,0.7673,False,pred already taken by 'inheritFrom'
ObjectProperty,assigner,is assignee of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7718; levenshtein=0.5833; semantic=0.7113; sequence_match=0.7000,False,0.7277,False,gold already mapped to 'assigner'
ObjectProperty,operand,operator of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8429; levenshtein=0.5000; semantic=0.7149; sequence_match=0.5882,False,0.7153,False,pred already taken by 'operator'
ObjectProperty,hasPolicy,has role,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8296; levenshtein=0.5556; semantic=0.6277; sequence_match=0.6250,False,0.6941,False,top-3 avg score 0.6941 < final_threshold 0.7
ObjectProperty,inheritFrom,is inherited by,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6297; levenshtein=0.5385; semantic=0.8242; sequence_match=0.5833,False,0.6791,False,top-3 avg score 0.6791 < final_threshold 0.7
