side,dimension,sub,sup,status,raw_pred_sub,raw_pred_sup
gold,class,AssetCollection,Asset,FN,,
gold,class,Duty,Rule,FN,,
gold,class,Permission,Rule,FN,,
gold,class,Prohibition,Rule,FN,,
pred,class,LogicalConstraint,Constraint,FP,,
pred,class,Prohibition,Permission,FP,,
pred,class,,,untranslated,Aggregation,TransferRights
pred,class,,,untranslated,AndConstraint,Constraint
pred,class,,,untranslated,Condition,Constraint
pred,class,,,untranslated,Disaggregation,TransferRights
pred,class,,,untranslated,Duty,Requirement
pred,class,,,untranslated,ExclusivePermission,Permission
pred,class,,,untranslated,ExclusivePermission,Right
pred,class,,,untranslated,Permission,Right
pred,class,,,untranslated,Prohibition,Right
pred,class,,,untranslated,Remediation,Duty
pred,class,,,untranslated,Remediation,Requirement
pred,class,,,untranslated,XorConstraint,Constraint
gold,property,and,operand,FN,,
gold,property,andSequence,operand,FN,,
gold,property,assignee,function,FN,,
gold,property,assigner,function,FN,,
gold,property,consequence,failure,FN,,
gold,property,or,operand,FN,,
gold,property,remedy,failure,FN,,
gold,property,target,relation,FN,,
gold,property,xone,operand,FN,,
