side,dimension,sub,sup,status,raw_pred_sub,raw_pred_sup
gold,class,AcceptabilityProperty,WaterProperty,FN,,
gold,class,Actuator,Device,FN,,
gold,class,ChemicalProperty,WaterProperty,TP,,
gold,class,Meter,Device,FN,,
gold,class,Meter,Sensor,FN,,
gold,class,Point,Geometry,FN,,
gold,class,Sensor,Device,FN,,
gold,class,TimeBasedTariff,Tariff,FN,,
gold,class,Water,FeatureOfInterest,FN,,
gold,class,WaterAsset,FeatureOfInterest,FN,,
gold,class,WaterMeter,Device,FN,,
gold,class,WaterMeter,Meter,FN,,
gold,class,WaterMeter,Sensor,TP,,
pred,class,Actuator,WaterAsset,FP,,
pred,class,Sensor,WaterAsset,FP,,
pred,class,WaterMeter,WaterAsset,FP,,
pred,class,,,untranslated,City,Location
pred,class,,,untranslated,Ph,ChemicalProperty
pred,class,,,untranslated,Ph,WaterProperty
pred,class,,,untranslated,Pump,Actuator
pred,class,,,untranslated,Pump,Asset
pred,class,,,untranslated,Salinity,ChemicalProperty
pred,class,,,untranslated,Salinity,WaterProperty
pred,class,,,untranslated,Valve,Actuator
pred,class,,,untranslated,Valve,Asset
