Ontology,Requirement,Type,Test_1,Test_2,Test_3,Test_4,Test_5,Test_6,Test_7,,
01-auroral-core,"What are the attributes of an organisation? Identifier, business identifier, location, skin color, avatar, notes, creation date, update date",,Organisation subclassOf hasID only string,Organisation subclassOf hasCreationDate only DateTime,Organisation subclassOf hasSkinColor only string,Organisation subclassOf hasLocation only string,Item subclassof hasCreationDate only datetime,,,,
01-auroral-core,An organisation can contain notifications,,Organisation hasNotification Notification,,,,,,,,
01-auroral-core,An organisation can contain audits,,Organisation hasAudit Audit,,,,,,,,
01-auroral-core,An organisation is related to users,,Organisation hasUser User,,,,,,,,
01-auroral-core,An organisation can contain nodes,,Organisation hasNode Node,,,,,,,,
01-auroral-core,An organisation can have a partnership with another organisation,,Organisation knows Organisation,,,,,,,,
01-auroral-core,A partnership is requested by an organisation,,Organisation hasPartnershipRequestedBy Organisation,,,,,,,,
01-auroral-core,A partnership is requested to an organisation,,Organisation hasPartnershipRequestedTo Organisation,,,,,,,,
01-auroral-core,"What are the attributes related to a notification? Identifier, owner, actor, target, object, type, status, creation date",,Notification hasStatus NotificationStatus,Notification subClassOf hasTarget only string,Notification subClassOf hasActor only string,Notification subClassOf hasID only string,Notification subClassOf hasCreationDate only Datetime,Notification subClassOf hasOwner only string,,,
01-auroral-core,A notification can be caused by an actor,,Notification subClassOf hasActor only string,,,,,,,,
01-auroral-core,A notification can affect a target,,Notification subClassOf hasTarget only string,,,,,,,,
01-auroral-core,A notification needs an object,,Notification subClassOf hasObject only string,,,,,,,,
01-auroral-core,"Examples of notification status are: Waiting, Info, Accepted, Rejected and Responded",,InfoNotificationStatus type NotificationStatus,AcceptedNotificationStatus type NotificationStatus,RejectedNotificationStatus type NotificationStatus,WaitingNotificationStatus type NotificationStatus,RespondedNotificationStatus type NotificationStatus,,,,
01-auroral-core,A notification can be read,,Notification subclassOf isUnread only boolean,,,,,,,,
01-auroral-core,"Types of a notification can be: registrationRequest, itemEnabled, itemDisabled, itemDiscovered, contractRequest, itemUpdated,contractAccepted ",,ItemEnabledNotification type Notification,RegistrationRequestNotification type Notification,DisabledItemStatus type ItemStatus,ItemUpdatedNotification type Notification,ContractRequestNotification type Notification,ContractAcceptedNotification type Notification,ItemDiscoveredNotification type Notification,ItemDisabledNotification type Notification,
01-auroral-core,"What are the attributes related to a node? name, status, creation date, update date, token auth, public key",,Node subclassOf hasCreationDate only datetime,Node subclassOf hasToken only string,Node subclassOf hasName only string,Node subclassOf hasUpdateDate only datetime,Node subclassOf hasKey only string,,,,
01-auroral-core,A node has an AURORAL identifier,,Node subclassOf hasID only string,,,,,,,,
01-auroral-core,A node belongs to an organisation,,Node belongsTo Organisation,,,,,,,,
01-auroral-core,"Examples of node types are: vicinity, sharq, auroral",,Vicinity type Node,Sharq type Node,Auroral type Node,,,,,,
01-auroral-core,A node contains items,,Node containsItem Item,,,,,,,,
01-auroral-core,A node can have two status: active or deleted,,DeletedNodeStatus type NodeStatus,ActiveNodeStatus type NodeStatus,,,,,,,
01-auroral-core,"What are the attributes of an item? name, status, creation date, update date",,Item subclassof hasStatus only string,Item subclassof hasName only string,Item subclassof hasUpdateDate only datetime,,,,,,
01-auroral-core,An item has an AURORAL identifier,,,,,,,,,,
01-auroral-core,An item is contained in a node,,Item belongsTo Node,,,,,,,,
01-auroral-core,An item is related to a user,,Item hasUser User,,,,,,,,
01-auroral-core,An item belongs to an organisation,,Item belongsTo Organisation,,,,,,,,
01-auroral-core,An item can be represented with an avatar,,User isRepresentedByAvatar Image,,,,,,,,
01-auroral-core,An item can be a device ,,Device subclassOf Item,,,,,,,,
01-auroral-core,An item can be a service,,Service subclassOf Item,,,,,,,,
01-auroral-core,"Types of an item status can be: disabled, enabled, deleted",,DeletedItemStatus type ItemStatus,EnabledItemStatus type ItemStatus,,,,,,,
01-auroral-core,"What are the attributes related to a user? name, first name, last name, email, contact mail, occupation, location, status, creation date, update date",,User subclassOf hasUpdateDate only datetime,User subclassOf hasOccupation only string,User subclassOf hasEmail only string,User subclassOf hasFirstName only string,User subclassOf hasLocation only string,User subclassOf hasLastName only string,User subclassOf hasName only string,User subclassOf hasContactMail only string,User subclassOf hasCreationDate only datetime
01-auroral-core,A user has an AURORAL identifier,,User subclassOf hasID only string,,,,,,,,
01-auroral-core,A user belongs to an organisation,,User belongsTo Organisation,,,,,,,,
01-auroral-core,A user can be represented with an avatar,,User isRepresentedByAvatar Image,,,,,,,,
01-auroral-core,"Types of user status can be: active, deleted",,ActiveUserStatus type UserStatus,DeletedUserStatus type UserStatus,,,,,,,
01-auroral-core,A user can be associated to a role,,User hasRole Role,,,,,,,,
01-auroral-core,"Types of roles can be: admin, user, infrastructure operator, service provider, device owner, system integrator, super user, dev ops",,Admin type Role,Dev_ops type Role,Infras_operator type Role,User type Role,,,,,
01-auroral-core,A user contain can contain a notification,,User hasNotification Notification,,,,,,,,
01-auroral-core,A user can contain an audit,,User hasAudit Audit,,,,,,,,
01-auroral-core,A user can contain an item,,User containsItem Item,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Continue from 19:regis…,,,,,,,,,,
