id,source,term_type,axiom_type,term,dl,status,note
AX1-gold,gold,Class,Declaration,Bordeaux,Declaration: Bordeaux (Class),TP,matched pred AX5
AX1-pred,pred,Class,Declaration,Bordeaux Wine,Declaration: Bordeaux Wine (Class),-,-
AX3-gold,gold,Class,Declaration,RedBordeaux,Declaration: RedBordeaux (Class),TP,matched pred AX3
AX3-pred,pred,Class,Declaration,Bordeaux Grape,Declaration: Bordeaux Grape (Class),-,-
AX4-gold,gold,Class,EquivalentClasses,RedBordeaux,RedBordeaux ≡ (Bordeaux ⊓ RedWine),FN,pred has no EquivalentClasses axiom on 'Bordeaux Grape'
AX4-pred,pred,-,-,-,(no pred axiom on aligned subject),-,-
AX6-gold,gold,Class,Declaration,RedWine,Declaration: RedWine (Class),TP,matched pred AX31
AX6-pred,pred,Class,Declaration,Red Wine,Declaration: Red Wine (Class),-,-
AX7-gold,gold,Class,EquivalentClasses,RedWine,RedWine ≡ (wine ⊓ ∃hasColor.{Red}),FN,pred has no EquivalentClasses axiom on 'Red Wine'
AX7-pred,pred,-,-,-,(no pred axiom on aligned subject),-,-
AX8-gold,gold,Class,Declaration,Region,Declaration: Region (Class),TP,matched pred AX41
AX8-pred,pred,Class,Declaration,Wine Region,Declaration: Wine Region (Class),-,-
AX9-gold,gold,Class,Declaration,Vintage,Declaration: Vintage (Class),TP,matched pred AX34
AX9-pred,pred,Class,Declaration,Vintage,Declaration: Vintage (Class),-,-
AX10-gold,gold,Class,SubClassOf,Vintage,Vintage ⊑ =1 hasVintageYear.⊤,FN,pred has no SubClassOf axiom on 'Vintage'
AX10-pred,pred,-,-,-,(no pred axiom on aligned subject),-,-
AX11-gold,gold,Class,Declaration,VintageYear,Declaration: VintageYear (Class),TP,matched pred AX35
AX11-pred,pred,Class,Declaration,Vintage Quality,Declaration: Vintage Quality (Class),-,-
AX12-gold,gold,Class,Declaration,WhiteBordeaux,Declaration: WhiteBordeaux (Class),Skip,subject 'WhiteBordeaux' not in alignment table
AX12-pred,pred,-,-,-,(subject not in alignment table),-,-
AX13-gold,gold,Class,EquivalentClasses,WhiteBordeaux,WhiteBordeaux ≡ (Bordeaux ⊓ WhiteWine),Skip,subject 'WhiteBordeaux' not in alignment table
AX13-pred,pred,-,-,-,(subject not in alignment table),-,-
AX15-gold,gold,Class,Declaration,WhiteWine,Declaration: WhiteWine (Class),TP,matched pred AX36
AX15-pred,pred,Class,Declaration,White Wine,Declaration: White Wine (Class),-,-
AX16-gold,gold,Class,EquivalentClasses,WhiteWine,WhiteWine ≡ (wine ⊓ ∃hasColor.{White}),FN,pred has no EquivalentClasses axiom on 'White Wine'
AX16-pred,pred,-,-,-,(no pred axiom on aligned subject),-,-
AX17-gold,gold,Class,Declaration,WineBody,Declaration: WineBody (Class),TP,matched pred AX1
AX17-pred,pred,Class,Declaration,Body,Declaration: Body (Class),-,-
AX19-gold,gold,Class,SubClassOf,WineBody,WineBody ⊑ WineTaste,TP,matched pred AX2
AX19-pred,pred,Class,SubClassOf,Body,Body ⊑ Wine Characteristic,-,-
AX20-gold,gold,Class,Declaration,WineColor,Declaration: WineColor (Class),Skip,subject 'WineColor' not in alignment table
AX20-pred,pred,-,-,-,(subject not in alignment table),-,-
AX22-gold,gold,Class,SubClassOf,WineColor,WineColor ⊑ WineDescriptor,Skip,subject 'WineColor' not in alignment table
AX22-pred,pred,-,-,-,(subject not in alignment table),-,-
AX23-gold,gold,Class,Declaration,WineDescriptor,Declaration: WineDescriptor (Class),Skip,subject 'WineDescriptor' not in alignment table
AX23-pred,pred,-,-,-,(subject not in alignment table),-,-
AX24-gold,gold,Class,EquivalentClasses,WineDescriptor,WineDescriptor ≡ (WineColor ⊔ WineTaste),Skip,subject 'WineDescriptor' not in alignment table
AX24-pred,pred,-,-,-,(subject not in alignment table),-,-
AX25-gold,gold,Class,Declaration,WineFlavor,Declaration: WineFlavor (Class),Skip,subject 'WineFlavor' not in alignment table
AX25-pred,pred,-,-,-,(subject not in alignment table),-,-
AX27-gold,gold,Class,SubClassOf,WineFlavor,WineFlavor ⊑ WineTaste,Skip,subject 'WineFlavor' not in alignment table
AX27-pred,pred,-,-,-,(subject not in alignment table),-,-
AX28-gold,gold,Class,Declaration,WineGrape,Declaration: WineGrape (Class),TP,matched pred AX17
AX28-pred,pred,Class,Declaration,Grape,Declaration: Grape (Class),-,-
AX29-gold,gold,Class,Declaration,WineSugar,Declaration: WineSugar (Class),TP,matched pred AX42
AX29-pred,pred,Class,Declaration,Wine Vintage Quality,Declaration: Wine Vintage Quality (Class),-,-
AX31-gold,gold,Class,SubClassOf,WineSugar,WineSugar ⊑ WineTaste,FN,pred has no SubClassOf axiom on 'Wine Vintage Quality'
AX31-pred,pred,-,-,-,(no pred axiom on aligned subject),-,-
AX32-gold,gold,Class,Declaration,WineTaste,Declaration: WineTaste (Class),TP,matched pred AX39
AX32-pred,pred,Class,Declaration,Wine Characteristic,Declaration: Wine Characteristic (Class),-,-
AX33-gold,gold,Class,SubClassOf,WineTaste,WineTaste ⊑ WineDescriptor,FN,pred has no SubClassOf axiom on 'Wine Characteristic'
AX33-pred,pred,-,-,-,(no pred axiom on aligned subject),-,-
AX34-gold,gold,Class,Declaration,Zinfandel,Declaration: Zinfandel (Class),TP,matched pred AX43
AX34-pred,pred,Class,Declaration,Zinfandel,Declaration: Zinfandel (Class),-,-
AX40-gold,gold,Class,Declaration,wine,Declaration: wine (Class),TP,matched pred AX38
AX40-pred,pred,Class,Declaration,Wine,Declaration: Wine (Class),-,-
AX41-gold,gold,Class,SubClassOf,wine,wine ⊑ ∃locatedIn.Region,FN,pred has no SubClassOf axiom on 'Wine'
AX41-pred,pred,-,-,-,(no pred axiom on aligned subject),-,-
AX42-gold,gold,Class,SubClassOf,wine,wine ⊑ ≥1 madeFromGrape.⊤,FN,pred has no SubClassOf axiom on 'Wine'
AX42-pred,pred,-,-,-,(no pred axiom on aligned subject),-,-
AX43-gold,gold,Class,SubClassOf,wine,wine ⊑ =1 hasBody.⊤,FN,pred has no SubClassOf axiom on 'Wine'
AX43-pred,pred,-,-,-,(no pred axiom on aligned subject),-,-
AX44-gold,gold,Class,SubClassOf,wine,wine ⊑ =1 hasColor.⊤,FN,pred has no SubClassOf axiom on 'Wine'
AX44-pred,pred,-,-,-,(no pred axiom on aligned subject),-,-
AX45-gold,gold,Class,SubClassOf,wine,wine ⊑ =1 hasFlavor.⊤,FN,pred has no SubClassOf axiom on 'Wine'
AX45-pred,pred,-,-,-,(no pred axiom on aligned subject),-,-
AX46-gold,gold,Class,SubClassOf,wine,wine ⊑ =1 hasSugar.⊤,FN,pred has no SubClassOf axiom on 'Wine'
AX46-pred,pred,-,-,-,(no pred axiom on aligned subject),-,-
AX47-gold,gold,ObjectProperty,Characteristics,hasBody,Functional(hasBody),Skip,subject 'hasBody' not in alignment table
AX47-pred,pred,-,-,-,(subject not in alignment table),-,-
AX48-gold,gold,ObjectProperty,Declaration,hasBody,Declaration: hasBody (ObjectProperty),Skip,subject 'hasBody' not in alignment table
AX48-pred,pred,-,-,-,(subject not in alignment table),-,-
AX49-gold,gold,ObjectProperty,Range,hasBody,⊤ ⊑ ∀hasBody.WineBody,Skip,subject 'hasBody' not in alignment table
AX49-pred,pred,-,-,-,(subject not in alignment table),-,-
AX50-gold,gold,ObjectProperty,SubPropertyOf,hasBody,hasBody ⊑ hasWineDescriptor,Skip,subject 'hasBody' not in alignment table
AX50-pred,pred,-,-,-,(subject not in alignment table),-,-
AX51-gold,gold,ObjectProperty,Characteristics,hasColor,Functional(hasColor),Skip,subject 'hasColor' not in alignment table
AX51-pred,pred,-,-,-,(subject not in alignment table),-,-
AX52-gold,gold,ObjectProperty,Declaration,hasColor,Declaration: hasColor (ObjectProperty),Skip,subject 'hasColor' not in alignment table
AX52-pred,pred,-,-,-,(subject not in alignment table),-,-
