side,dimension,sub,sup,status,raw_pred_sub,raw_pred_sup
gold,class,AssetCollection,Asset,FN,,
gold,class,Duty,Rule,FN,,
gold,class,Permission,Rule,TP,,
gold,class,Prohibition,Rule,TP,,
pred,class,LogicalConstraint,Constraint,FP,,
pred,class,,,untranslated,Aggregation,TransferRight
pred,class,,,untranslated,AndConstraint,Constraint
pred,class,,,untranslated,AndConstraint,LogicalConstraint
pred,class,,,untranslated,Disaggregation,TransferRight
pred,class,,,untranslated,ExclusivePermission,Permission
pred,class,,,untranslated,ExclusivePermission,Rule
pred,class,,,untranslated,OrConstraint,Constraint
pred,class,,,untranslated,OrConstraint,LogicalConstraint
pred,class,,,untranslated,Sequencing,Constraint
pred,class,,,untranslated,XorConstraint,Constraint
pred,class,,,untranslated,XorConstraint,LogicalConstraint
gold,property,and,operand,FN,,
gold,property,andSequence,operand,FN,,
gold,property,assignee,function,FN,,
gold,property,assigner,function,FN,,
gold,property,consequence,failure,FN,,
gold,property,or,operand,FN,,
gold,property,remedy,failure,FN,,
gold,property,target,relation,FN,,
gold,property,xone,operand,FN,,
