Gold_term,Pre_term,Method,Score
Bordeaux,Bordeaux Wine,top3_avg(jaro_winkler+semantic+sequence_match),0.8591649876700508
RedWine,Red Wine,hard_match,1.0
Region,Wine Region,top3_avg(jaro_winkler+semantic+sequence_match),0.7571598529815674
VintageYear,Wine Vintage Characteristic,top3_avg(jaro_winkler+semantic+sequence_match),0.6368886175781788
WhiteWine,White Wine,hard_match,1.0
WineDescriptor,Wine Characteristic,top3_avg(jaro_winkler+semantic+sequence_match),0.6673073968616685
WineGrape,Grape Variety,top3_avg(jaro_winkler+semantic+sequence_match),0.6290454583823997
WineTaste,Wine Quality,top3_avg(jaro_winkler+levenshtein+semantic),0.7217110039007784
Zinfandel,Napa Zinfandel,top3_avg(jaro_winkler+semantic+sequence_match),0.8123313760207868
wine,Wine,hard_match,1.0
