Gold_term,Pre_term,Method,Score
Acceptability property,Physical Property,top3_avg(jaro_winkler+semantic+sequence_match),0.6300553306852803
Actuator,Actuator,hard_match,1.0
ChemicalProperty,Chemical Property,hard_match,1.0
Sensor,Sensor,hard_match,1.0
Tariff,Tariff,hard_match,1.0
Water,Water Indicator,top3_avg(jaro_winkler+semantic+sequence_match),0.7092799356706757
Water asset,Asset,top3_avg(jaro_winkler+semantic+sequence_match),0.7018537335925631
Water infrastructure,Water Infrastructure,hard_match,1.0
Water meter,Water Meter,hard_match,1.0
Water property,Water Property,hard_match,1.0
