id,source,term_type,axiom_type,term,dl,status,note
AX1-gold,gold,Class,SubClassOf,AssetCollection,AssetCollection ⊑ Asset,Skip,subject 'AssetCollection' not in alignment table
AX1-pred,pred,-,-,-,(subject not in alignment table),-,-
AX2-gold,gold,Class,DisjointClasses,Duty,"DisjointClasses(Duty, Permission)",FN,pred has no DisjointClasses axiom on 'Duty'
AX2-pred,pred,-,-,-,(no pred axiom on aligned subject),-,-
AX3-gold,gold,Class,DisjointClasses,Duty,"DisjointClasses(Duty, Prohibition)",FN,pred has no DisjointClasses axiom on 'Duty'
AX3-pred,pred,-,-,-,(no pred axiom on aligned subject),-,-
AX4-gold,gold,Class,SubClassOf,Duty,Duty ⊑ Rule,TP,matched pred AX6
AX4-pred,pred,Class,SubClassOf,Duty,Duty ⊑ Rule,-,-
AX5-gold,gold,Class,DisjointClasses,Permission,"DisjointClasses(Permission, Prohibition)",FN,pred has no DisjointClasses axiom on 'Permission'
AX5-pred,pred,-,-,-,(no pred axiom on aligned subject),-,-
AX6-gold,gold,Class,SubClassOf,Permission,Permission ⊑ Rule,TP,matched pred AX15
AX6-pred,pred,Class,SubClassOf,Permission,Permission ⊑ Rule,-,-
AX7-gold,gold,Class,SubClassOf,Prohibition,Prohibition ⊑ Rule,TP,matched pred AX18
AX7-pred,pred,Class,SubClassOf,Prohibition,Prohibition ⊑ Rule,-,-
AX8-gold,gold,ObjectProperty,Domain,action,∃action.⊤ ⊑ (Policy ⊔ Rule),Mismatch,pred AX26 differs: expr_type ObjectUnionOf vs Class
AX8-pred,pred,ObjectProperty,Domain,action,∃action.⊤ ⊑ Rule,-,-
AX9-gold,gold,ObjectProperty,Range,action,⊤ ⊑ ∀action.Action,TP,matched pred AX27
AX9-pred,pred,ObjectProperty,Range,action,⊤ ⊑ ∀action.Action,-,-
AX10-gold,gold,ObjectProperty,SubPropertyOf,and,and ⊑ operand,Skip,subject 'and' not in alignment table
AX10-pred,pred,-,-,-,(subject not in alignment table),-,-
AX11-gold,gold,ObjectProperty,SubPropertyOf,andSequence,andSequence ⊑ operand,Skip,subject 'andSequence' not in alignment table
AX11-pred,pred,-,-,-,(subject not in alignment table),-,-
AX12-gold,gold,ObjectProperty,Domain,assignee,∃assignee.⊤ ⊑ (Policy ⊔ Rule),Mismatch,pred AX36 differs: expr_type ObjectUnionOf vs Class
AX12-pred,pred,ObjectProperty,Domain,assignee,∃assignee.⊤ ⊑ Rule,-,-
AX13-gold,gold,ObjectProperty,Range,assignee,⊤ ⊑ ∀assignee.Party,TP,matched pred AX37
AX13-pred,pred,ObjectProperty,Range,assignee,⊤ ⊑ ∀assignee.Party,-,-
AX14-gold,gold,ObjectProperty,SubPropertyOf,assignee,assignee ⊑ function,FN,pred has no SubPropertyOf axiom on 'assignee'
