side,dimension,sub,sup,status,raw_pred_sub,raw_pred_sup
gold,class,SWO_1000008,SWO_0000002,TP,,
gold,class,SWO_1000059,SWO_1000058,FN,,
gold,class,SWO_1000060,SWO_1000058,FN,,
gold,class,SWO_9000051,SWO_9000050,FN,,
gold,class,SWO_9000054,SWO_9000050,FN,,
gold,class,SWO_9000073,SWO_9000061,FN,,
gold,class,format_2332,IAO_0000098,FN,,
pred,class,SWO_0000396,SWO_9000061,FP,,
pred,class,SWO_9000051,IAO_0000010,FP,,
pred,class,,,untranslated,CelFile,Format
pred,class,,,untranslated,CommunityDevelopment,DevelopmentType
pred,class,,,untranslated,Documentation,HelpResource
pred,class,,,untranslated,ExportCapability,Capability
pred,class,,,untranslated,Maintained,MaintenanceStatus
pred,class,,,untranslated,OpenFormat,Format
pred,class,,,untranslated,ProprietaryFormat,Format
pred,class,,,untranslated,ValidInput,Format
pred,class,,,untranslated,XmlEditing,Capability
gold,property,SWO_0004002,SWO_0000741,FN,,
