Gold_term,Pre_term,Method,Score
Action,Condition,top3_avg(jaro_winkler+semantic+sequence_match),0.6321985224146901
Asset,Asset,hard_match,1.0
ConflictTerm,Conflict Resolution Strategy,top3_avg(jaro_winkler+semantic+sequence_match),0.6643540364752244
Constraint,Constraint,hard_match,1.0
Duty,Right Duty,top3_avg(jaro_winkler+semantic+sequence_match),0.6428975989902348
LogicalConstraint,Or Constraint,top3_avg(jaro_winkler+semantic+sequence_match),0.7607706256229682
Operator,Operator,hard_match,1.0
Party,Contract Party,top3_avg(jaro_winkler+semantic+sequence_match),0.6077404629131328
Permission,Permission Duty,top3_avg(jaro_winkler+semantic+sequence_match),0.8767163808383639
Policy,Policy,hard_match,1.0
Prohibition,Prohibition,hard_match,1.0
Rule,Rule,hard_match,1.0
