prop_type,gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
ObjectProperty,constraint,has constraint,semantic+sequence_match+jaro_winkler,jaro_winkler=0.8231; levenshtein=0.7692; semantic=0.9340; sequence_match=0.8696,False,0.8755,True,selected
ObjectProperty,consequence,has consequence,sequence_match+jaro_winkler+semantic,jaro_winkler=0.8680; levenshtein=0.7857; semantic=0.8598; sequence_match=0.8800,False,0.8693,True,selected
ObjectProperty,remedy,has remedy,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8889; levenshtein=0.6667; semantic=0.8339; sequence_match=0.8000,False,0.8409,True,selected
ObjectProperty,consequence,is consequence of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8505; levenshtein=0.7333; semantic=0.8490; sequence_match=0.8462,False,0.8485,False,gold already mapped to 'has consequence'
ObjectProperty,remedy,is remedy for,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8485; levenshtein=0.5455; semantic=0.7881; sequence_match=0.7059,False,0.7808,False,gold already mapped to 'has remedy'
ObjectProperty,constraint,has constraint applied to,semantic+jaro_winkler+sequence_match,jaro_winkler=0.7182; levenshtein=0.4545; semantic=0.8686; sequence_match=0.6250,False,0.7373,False,gold already mapped to 'has constraint'
ObjectProperty,andSequence,has consequence,sequence_match+jaro_winkler+levenshtein,jaro_winkler=0.7411; levenshtein=0.6429; semantic=0.4854; sequence_match=0.8000,False,0.728,False,pred already taken by 'consequence'
ObjectProperty,conflict,resolves conflict with,semantic+jaro_winkler+sequence_match,jaro_winkler=0.7167; levenshtein=0.4000; semantic=0.7740; sequence_match=0.5714,False,0.6874,False,top-3 avg score 0.6874 < final_threshold 0.7
ObjectProperty,action,activates,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8222; levenshtein=0.4444; semantic=0.6760; sequence_match=0.5333,False,0.6772,False,top-3 avg score 0.6772 < final_threshold 0.7
ObjectProperty,andSequence,is consequence of,jaro_winkler+sequence_match+levenshtein,jaro_winkler=0.7690; levenshtein=0.5333; semantic=0.4946; sequence_match=0.6923,False,0.6649,False,top-3 avg score 0.6649 < final_threshold 0.7
ObjectProperty,implies,applies to,jaro_winkler+sequence_match+semantic,jaro_winkler=0.7566; levenshtein=0.5556; semantic=0.5757; sequence_match=0.6250,False,0.6524,False,top-3 avg score 0.6524 < final_threshold 0.7
ObjectProperty,conflict,has conflict resolution strategy,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7586; levenshtein=0.2759; semantic=0.7470; sequence_match=0.4324,False,0.646,False,top-3 avg score 0.6460 < final_threshold 0.7
ObjectProperty,operator,has logical operator,semantic+sequence_match+jaro_winkler,jaro_winkler=0.4907; levenshtein=0.4444; semantic=0.7882; sequence_match=0.6154,False,0.6315,False,top-3 avg score 0.6315 < final_threshold 0.7
ObjectProperty,implies,is applied to,jaro_winkler+sequence_match+semantic,jaro_winkler=0.7506; levenshtein=0.4545; semantic=0.5441; sequence_match=0.5556,False,0.6168,False,top-3 avg score 0.6168 < final_threshold 0.7
ObjectProperty,partOf,is asset of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7037; levenshtein=0.4444; semantic=0.5415; sequence_match=0.5333,False,0.5928,False,top-3 avg score 0.5928 < final_threshold 0.7
ObjectProperty,assigner,has asset,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6667; levenshtein=0.2500; semantic=0.5490; sequence_match=0.5000,False,0.5719,False,top-3 avg score 0.5719 < final_threshold 0.7
ObjectProperty,assignee,has asset,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6667; levenshtein=0.2500; semantic=0.5462; sequence_match=0.5000,False,0.5709,False,top-3 avg score 0.5709 < final_threshold 0.7
ObjectProperty,assignee,is asset of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6602; levenshtein=0.2222; semantic=0.5535; sequence_match=0.4706,False,0.5614,False,top-3 avg score 0.5614 < final_threshold 0.7
ObjectProperty,hasPolicy,has constraint,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6538; levenshtein=0.3846; semantic=0.5713; sequence_match=0.4545,False,0.5599,False,top-3 avg score 0.5599 < final_threshold 0.7
ObjectProperty,scope,has logical operator,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6926; levenshtein=0.2778; semantic=0.5416; sequence_match=0.4348,False,0.5563,False,top-3 avg score 0.5563 < final_threshold 0.7
ObjectProperty,assigner,is asset of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6602; levenshtein=0.2222; semantic=0.5338; sequence_match=0.4706,False,0.5549,False,top-3 avg score 0.5549 < final_threshold 0.7
ObjectProperty,scope,has consequence,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6952; levenshtein=0.2857; semantic=0.5453; sequence_match=0.4211,False,0.5539,False,top-3 avg score 0.5539 < final_threshold 0.7
ObjectProperty,operator,applies to,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6481; levenshtein=0.2222; semantic=0.5418; sequence_match=0.4706,False,0.5535,False,top-3 avg score 0.5535 < final_threshold 0.7
ObjectProperty,conflict,has constraint,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6032; levenshtein=0.3846; semantic=0.5657; sequence_match=0.4762,False,0.5484,False,top-3 avg score 0.5484 < final_threshold 0.7
ObjectProperty,hasPolicy,has logical operator,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6944; levenshtein=0.3333; semantic=0.5016; sequence_match=0.4444,False,0.5468,False,top-3 avg score 0.5468 < final_threshold 0.7
ObjectProperty,action,has constraint,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6726; levenshtein=0.3077; semantic=0.5357; sequence_match=0.4211,False,0.5431,False,top-3 avg score 0.5431 < final_threshold 0.7
ObjectProperty,hasPolicy,has remedy,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6296; levenshtein=0.4444; semantic=0.5470; sequence_match=0.4444,False,0.5404,False,top-3 avg score 0.5404 < final_threshold 0.7
ObjectProperty,action,has consequence,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6508; levenshtein=0.2143; semantic=0.5660; sequence_match=0.4000,False,0.5389,False,top-3 avg score 0.5389 < final_threshold 0.7
ObjectProperty,hasPolicy,has conflict resolution strategy,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5778; levenshtein=0.2759; semantic=0.6160; sequence_match=0.4211,False,0.5383,False,top-3 avg score 0.5383 < final_threshold 0.7
ObjectProperty,hasPolicy,applies to,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6296; levenshtein=0.2222; semantic=0.5393; sequence_match=0.4444,False,0.5378,False,top-3 avg score 0.5378 < final_threshold 0.7
ObjectProperty,assigner,has constraint,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6032; levenshtein=0.2308; semantic=0.5324; sequence_match=0.4762,False,0.5373,False,top-3 avg score 0.5373 < final_threshold 0.7
ObjectProperty,leftOperand,has logical operator,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4596; levenshtein=0.3333; semantic=0.7313; sequence_match=0.4138,False,0.5349,False,top-3 avg score 0.5349 < final_threshold 0.7
ObjectProperty,hasPolicy,has consequence,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5709; levenshtein=0.3571; semantic=0.5958; sequence_match=0.4348,False,0.5338,False,top-3 avg score 0.5338 < final_threshold 0.7
ObjectProperty,target,has asset,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6250; levenshtein=0.3750; semantic=0.5462; sequence_match=0.4286,False,0.5333,False,top-3 avg score 0.5333 < final_threshold 0.7
ObjectProperty,assigner,has logical operator,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6389; levenshtein=0.2778; semantic=0.5739; sequence_match=0.3846,False,0.5325,False,top-3 avg score 0.5325 < final_threshold 0.7
ObjectProperty,conflict,has consequence,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5952; levenshtein=0.2857; semantic=0.6300; sequence_match=0.3636,False,0.5296,False,top-3 avg score 0.5296 < final_threshold 0.7
ObjectProperty,constraint,has consequence,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5651; levenshtein=0.3571; semantic=0.6060; sequence_match=0.4167,False,0.5292,False,top-3 avg score 0.5292 < final_threshold 0.7
ObjectProperty,inheritFrom,is asset of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6034; levenshtein=0.2727; semantic=0.5786; sequence_match=0.4000,False,0.5273,False,top-3 avg score 0.5273 < final_threshold 0.7
ObjectProperty,assignee,has consequence,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6706; levenshtein=0.3571; semantic=0.4522; sequence_match=0.4545,False,0.5258,False,top-3 avg score 0.5258 < final_threshold 0.7
ObjectProperty,permission,applies to,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6185; levenshtein=0.3000; semantic=0.5376; sequence_match=0.4211,False,0.5257,False,top-3 avg score 0.5257 < final_threshold 0.7
ObjectProperty,scope,is consequence of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6889; levenshtein=0.2667; semantic=0.4840; sequence_match=0.4000,False,0.5243,False,top-3 avg score 0.5243 < final_threshold 0.7
ObjectProperty,permission,is asset of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6185; levenshtein=0.2000; semantic=0.5194; sequence_match=0.4211,False,0.5197,False,top-3 avg score 0.5197 < final_threshold 0.7
ObjectProperty,inheritFrom,applies to,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6027; levenshtein=0.1818; semantic=0.5307; sequence_match=0.4000,False,0.5111,False,top-3 avg score 0.5111 < final_threshold 0.7
ObjectProperty,scope,has constraint,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6103; levenshtein=0.2308; semantic=0.5847; sequence_match=0.3333,False,0.5094,False,top-3 avg score 0.5094 < final_threshold 0.7
ObjectProperty,target,is asset of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6111; levenshtein=0.3333; semantic=0.5167; sequence_match=0.4000,False,0.5093,False,top-3 avg score 0.5093 < final_threshold 0.7
ObjectProperty,assignee,has remedy,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6481; levenshtein=0.2222; semantic=0.4042; sequence_match=0.4706,False,0.5076,False,top-3 avg score 0.5076 < final_threshold 0.7
ObjectProperty,obligation,applies to,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6148; levenshtein=0.3000; semantic=0.4851; sequence_match=0.4211,False,0.507,False,top-3 avg score 0.5070 < final_threshold 0.7
ObjectProperty,assignee,has constraint,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5192; levenshtein=0.2308; semantic=0.5248; sequence_match=0.4762,False,0.5067,False,top-3 avg score 0.5067 < final_threshold 0.7
ObjectProperty,hasPolicy,has asset,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5694; levenshtein=0.3333; semantic=0.5976; sequence_match=0.3529,False,0.5067,False,top-3 avg score 0.5067 < final_threshold 0.7
ObjectProperty,target,has remedy,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6111; levenshtein=0.3333; semantic=0.5030; sequence_match=0.4000,False,0.5047,False,top-3 avg score 0.5047 < final_threshold 0.7
ObjectProperty,action,is activated by,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4915; levenshtein=0.3077; semantic=0.6001; sequence_match=0.4211,False,0.5042,False,top-3 avg score 0.5042 < final_threshold 0.7
ObjectProperty,implies,activates,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5873; levenshtein=0.2222; semantic=0.5399; sequence_match=0.3750,False,0.5007,False,top-3 avg score 0.5007 < final_threshold 0.7
ObjectProperty,hasPolicy,has constraint applied to,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5909; levenshtein=0.2727; semantic=0.5235; sequence_match=0.3871,False,0.5005,False,top-3 avg score 0.5005 < final_threshold 0.7
ObjectProperty,assigner,has constraint applied to,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5631; levenshtein=0.2273; semantic=0.5382; sequence_match=0.4000,False,0.5004,False,top-3 avg score 0.5004 < final_threshold 0.7
ObjectProperty,operator,is applied to,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5379; levenshtein=0.1818; semantic=0.5416; sequence_match=0.4211,False,0.5002,False,top-3 avg score 0.5002 < final_threshold 0.7
ObjectProperty,relation,applies to,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5935; levenshtein=0.1111; semantic=0.5525; sequence_match=0.3529,False,0.4997,False,top-3 avg score 0.4997 < final_threshold 0.7
ObjectProperty,assigner,has consequence,jaro_winkler+sequence_match+semantic,jaro_winkler=0.5940; levenshtein=0.2857; semantic=0.4476; sequence_match=0.4545,False,0.4987,False,top-3 avg score 0.4987 < final_threshold 0.7
ObjectProperty,target,activates,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5370; levenshtein=0.2222; semantic=0.5578; sequence_match=0.4000,False,0.4983,False,top-3 avg score 0.4983 < final_threshold 0.7
ObjectProperty,constraint,has conflict resolution strategy,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6149; levenshtein=0.2759; semantic=0.4607; sequence_match=0.4103,False,0.4953,False,top-3 avg score 0.4953 < final_threshold 0.7
ObjectProperty,hasPolicy,is applied to,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6034; levenshtein=0.2727; semantic=0.4815; sequence_match=0.4000,False,0.4949,False,top-3 avg score 0.4949 < final_threshold 0.7
ObjectProperty,inheritRelation,has conflict resolution strategy,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6268; levenshtein=0.3103; semantic=0.4484; sequence_match=0.4091,False,0.4948,False,top-3 avg score 0.4948 < final_threshold 0.7
ObjectProperty,permission,is applied to,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5848; levenshtein=0.0909; semantic=0.5172; sequence_match=0.3810,False,0.4943,False,top-3 avg score 0.4943 < final_threshold 0.7
ObjectProperty,scope,has constraint applied to,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5788; levenshtein=0.2273; semantic=0.5337; sequence_match=0.3704,False,0.4943,False,top-3 avg score 0.4943 < final_threshold 0.7
ObjectProperty,assignee,has constraint applied to,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5508; levenshtein=0.2273; semantic=0.5310; sequence_match=0.4000,False,0.4939,False,top-3 avg score 0.4939 < final_threshold 0.7
ObjectProperty,constraint,resolves conflict with,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5881; levenshtein=0.2000; semantic=0.4899; sequence_match=0.4000,False,0.4927,False,top-3 avg score 0.4927 < final_threshold 0.7
ObjectProperty,constraint,has logical operator,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5534; levenshtein=0.1667; semantic=0.5656; sequence_match=0.3571,False,0.4921,False,top-3 avg score 0.4921 < final_threshold 0.7
ObjectProperty,relation,is asset of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5694; levenshtein=0.1111; semantic=0.5500; sequence_match=0.3529,False,0.4908,False,top-3 avg score 0.4908 < final_threshold 0.7
ObjectProperty,conflict,has constraint applied to,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5508; levenshtein=0.2727; semantic=0.5083; sequence_match=0.4000,False,0.4863,False,top-3 avg score 0.4863 < final_threshold 0.7
ObjectProperty,operand,has constraint,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4597; levenshtein=0.3077; semantic=0.5993; sequence_match=0.4000,False,0.4863,False,top-3 avg score 0.4863 < final_threshold 0.7
ObjectProperty,function,activates,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5694; levenshtein=0.1111; semantic=0.5357; sequence_match=0.3529,False,0.486,False,top-3 avg score 0.4860 < final_threshold 0.7
ObjectProperty,function,has constraint,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6261; levenshtein=0.2308; semantic=0.5453; sequence_match=0.2857,False,0.4857,False,top-3 avg score 0.4857 < final_threshold 0.7
ObjectProperty,inheritRelation,is asset of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5704; levenshtein=0.2667; semantic=0.5534; sequence_match=0.3333,False,0.4857,False,top-3 avg score 0.4857 < final_threshold 0.7
ObjectProperty,obligation,is applied to,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6040; levenshtein=0.1818; semantic=0.4717; sequence_match=0.3810,False,0.4856,False,top-3 avg score 0.4856 < final_threshold 0.7
ObjectProperty,leftOperand,applies to,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5367; levenshtein=0.0909; semantic=0.5182; sequence_match=0.4000,False,0.485,False,top-3 avg score 0.4850 < final_threshold 0.7
ObjectProperty,constraint,is consequence of,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4778; levenshtein=0.3333; semantic=0.5692; sequence_match=0.4000,False,0.4823,False,top-3 avg score 0.4823 < final_threshold 0.7
ObjectProperty,assignee,is consequence of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6611; levenshtein=0.2667; semantic=0.4376; sequence_match=0.3478,False,0.4822,False,top-3 avg score 0.4822 < final_threshold 0.7
ObjectProperty,operator,is asset of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5648; levenshtein=0.2222; semantic=0.5283; sequence_match=0.3529,False,0.482,False,top-3 avg score 0.4820 < final_threshold 0.7
ObjectProperty,consequence,has constraint,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4797; levenshtein=0.3077; semantic=0.5494; sequence_match=0.4167,False,0.4819,False,top-3 avg score 0.4819 < final_threshold 0.7
ObjectProperty,failure,has remedy,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5873; levenshtein=0.2222; semantic=0.4829; sequence_match=0.3750,False,0.4817,False,top-3 avg score 0.4817 < final_threshold 0.7
ObjectProperty,scope,is applied to,jaro_winkler+semantic+levenshtein,jaro_winkler=0.6242; levenshtein=0.2727; semantic=0.5474; sequence_match=0.2500,False,0.4814,False,top-3 avg score 0.4814 < final_threshold 0.7
ObjectProperty,inheritFrom,is applied to,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5697; levenshtein=0.1818; semantic=0.5086; sequence_match=0.3636,False,0.4807,False,top-3 avg score 0.4807 < final_threshold 0.7
ObjectProperty,function,is consequence of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5861; levenshtein=0.2000; semantic=0.5079; sequence_match=0.3478,False,0.4806,False,top-3 avg score 0.4806 < final_threshold 0.7
